NS_den,NS_num,NS_rate,NS_strict_den,NS_strict_num,PS_den,PS_num,PS_rate,PS_strict_den,PS_strict_num,RS_den,RS_num,RS_rate,RS_strict_den,RS_strict_num,alias,arm,locality_target_new_all_tokens_correct_count,locality_target_new_correct_token_count,locality_target_new_nll_max,locality_target_new_nll_mean,locality_target_new_nll_median,locality_target_new_nll_p90,locality_target_new_row_count,locality_target_new_strict_teacher_forced_correct_den,locality_target_new_strict_teacher_forced_correct_num,locality_target_new_target_token_denominator,locality_target_true_all_tokens_correct_count,locality_target_true_correct_token_count,locality_target_true_nll_max,locality_target_true_nll_mean,locality_target_true_nll_median,locality_target_true_nll_p90,locality_target_true_row_count,locality_target_true_strict_teacher_forced_correct_den,locality_target_true_strict_teacher_forced_correct_num,locality_target_true_target_token_denominator,rephrase_target_new_all_tokens_correct_count,rephrase_target_new_correct_token_count,rephrase_target_new_nll_max,rephrase_target_new_nll_mean,rephrase_target_new_nll_median,rephrase_target_new_nll_p90,rephrase_target_new_row_count,rephrase_target_new_strict_teacher_forced_correct_den,rephrase_target_new_strict_teacher_forced_correct_num,rephrase_target_new_target_token_denominator,rephrase_target_true_all_tokens_correct_count,rephrase_target_true_correct_token_count,rephrase_target_true_nll_max,rephrase_target_true_nll_mean,rephrase_target_true_nll_median,rephrase_target_true_nll_p90,rephrase_target_true_row_count,rephrase_target_true_strict_teacher_forced_correct_den,rephrase_target_true_strict_teacher_forced_correct_num,rephrase_target_true_target_token_denominator,request_count,rewrite_target_new_all_tokens_correct_count,rewrite_target_new_correct_token_count,rewrite_target_new_nll_max,rewrite_target_new_nll_mean,rewrite_target_new_nll_median,rewrite_target_new_nll_p90,rewrite_target_new_row_count,rewrite_target_new_strict_teacher_forced_correct_den,rewrite_target_new_strict_teacher_forced_correct_num,rewrite_target_new_target_token_denominator,rewrite_target_true_all_tokens_correct_count,rewrite_target_true_correct_token_count,rewrite_target_true_nll_max,rewrite_target_true_nll_mean,rewrite_target_true_nll_median,rewrite_target_true_nll_p90,rewrite_target_true_row_count,rewrite_target_true_strict_teacher_forced_correct_den,rewrite_target_true_strict_teacher_forced_correct_num,rewrite_target_true_target_token_denominator,scope
10000,8820,0.882,1000,598,2000,227,0.1135,1000,66,1000,71,0.071,1000,71,llama3-8b-inst,PRE_EDIT_ORIGINAL_W0,24,164,25.890146255493164,10.999339418351651,10.919333457946777,15.789042758941653,10000,1000,0,10150,2053,2162,20.75478172302246,5.243947703215945,4.722671031951904,10.862124633789064,10000,1000,20,10110,7,33,21.190834045410156,10.05519407722354,10.067713260650635,14.313309478759766,2000,1000,0,2030,418,437,18.12644386291504,4.853643486197572,4.444220304489136,9.920338821411136,2000,1000,109,2022,1000,4,17,21.289546966552734,11.045759486630558,10.930408000946045,16.048844718933108,1000,1000,4,1015,236,247,17.286937713623047,4.696078376504593,4.298316240310669,9.97560510635376,1000,1000,236,1011,same1000_W0
10000,8463,0.8463,1000,538,2000,344,0.172,1000,93,1000,131,0.131,1000,131,qwen2.5-7b-inst,PRE_EDIT_ORIGINAL_W0,21,153,25.180347442626953,10.498653989960253,10.44567060470581,15.011627960205079,10000,1000,0,10150,1487,1594,25.69028091430664,5.640120481642708,5.074674367904663,10.863802528381349,10000,1000,5,10110,6,33,22.479808807373047,10.286303618192672,10.2143874168396,14.817905330657958,2000,1000,0,2030,342,364,18.595827102661133,5.809111447416944,5.338697195053101,11.58282632827759,2000,1000,84,2022,1000,3,14,20.701671600341797,10.331439436376094,10.297250747680664,14.81753673553467,1000,1000,3,1015,154,165,17.76457977294922,5.242664646817372,4.7825026512146,9.880698585510254,1000,1000,154,1011,same1000_W0
