arm,RS_percent,PS_percent,NS_percent,P_strict_percent,P_two_strict_count,S64_KL,Dev128_KL,program_seconds,program_ratio_N4
N4,99.9,96.7,80.26,67.7,513,0.021280895331074134,0.022651886956737144,4534.978909712285,1.0
F48,100.0,95.45,83.24,64.0,457,0.012498648904056608,0.013646587647599517,5554.163420922123,1.2247385338500942
G48,100.0,96.9,80.88,66.85,500,0.01911654221567005,0.01933608908257156,6815.739417755976,1.5029263759439162
C4,99.8,96.6,80.46,67.45,511,0.02138809947791742,0.02255922802214627,5274.589990301058,1.1630903021411618
C48,99.9,95.8,81.7,65.65,488,0.016007508290385886,0.017582472690264694,16701.544794794172,3.6828274457959447
C45678,100.0,96.8,81.12,65.9,481,0.017642504678406112,0.01938770240121812,19711.47628435027,4.346541996509711
