arm,metric,pooled_at_write,W10,net_change_pp
N4,PS,96.4,96.7,0.29999999999999716
N4,NS,83.79,80.26,-3.530000000000001
F48,PS,95.35,95.45,0.10000000000000853
F48,NS,85.29,83.24,-2.0500000000000114
G48,PS,96.6,96.9,0.30000000000001137
G48,NS,83.87,80.88,-2.990000000000009
C4,PS,96.4,96.6,0.19999999999998863
C4,NS,83.82,80.46,-3.3599999999999994
C48,PS,95.8,95.8,0.0
C48,NS,84.21,81.7,-2.509999999999991
C45678,PS,96.55,96.8,0.25
C45678,NS,83.96,81.12,-2.839999999999989
