cell_id,phase,arm,order_id,episode_id,start_state,reset_each_batch,batches,batch_size,ordinal_start,ordinal_end,native_fit_batches,native_target_calls_cap,native_adam_cap,extra_z_calls,correction_controllers,gradient_sweeps_cap,neural_gradient_sweeps_cap,trial_sweeps_cap,history_appends,role,required_gate
T-O0-cold8-TECH,T,TECH,O0,cold8,W0,true,1,8,0,8,2,16,384,0,0,0,0,0,0,technical_not_science,CPU_AND_RUNTIME_BINDING
M-O0-b001-N4,M,N4,O0,b001,W0_shared_native,true,1,100,0,100,1,100,2400,0,0,0,0,0,0,science,T_PASS
M-O0-b001-SCALE,M,SCALE,O0,b001,W0_shared_native,true,1,100,0,100,0,0,0,0,1,1,1,8,0,science,T_PASS
M-O0-b001-CA,M,CA,O0,b001,W0_shared_native,true,1,100,0,100,0,0,0,0,1,1,1,8,0,science,T_PASS
M-O0-b001-KL-P,M,KL-P,O0,b001,W0_shared_native,true,1,100,0,100,0,0,0,0,1,1,1,8,0,science,T_PASS
M-O0-b001-EN-S,M,EN-S,O0,b001,W0_shared_native,true,1,100,0,100,0,0,0,0,1,1,1,8,0,science,T_PASS
M-O0-b001-EN-F,M,EN-F,O0,b001,W0_shared_native,true,1,100,0,100,0,0,0,0,1,1,1,8,0,science,T_PASS
M-O0-b001-EN-COV,M,EN-COV,O0,b001,W0_shared_native,true,1,100,0,100,0,0,0,0,1,1,0,8,0,science,T_PASS
M-O0-b001-EN-F4,M,EN-F4,O0,b001,W0_shared_native,true,1,100,0,100,0,0,0,0,1,4,4,24,0,science,T_PASS
M-O0-b001-CA-EXACT,M,CA-EXACT,O0,b001,W0_shared_native,true,1,100,0,100,0,0,0,0,0,0,0,0,0,geometry_or_paired_random_diagnostic,T_PASS
M-O0-b001-RAND+,M,RAND+,O0,b001,W0_shared_native,true,1,100,0,100,0,0,0,0,0,0,0,0,0,geometry_or_paired_random_diagnostic,T_PASS
M-O0-b001-RAND-,M,RAND-,O0,b001,W0_shared_native,true,1,100,0,100,0,0,0,0,0,0,0,0,0,geometry_or_paired_random_diagnostic,T_PASS
M-O0-b002-N4,M,N4,O0,b002,W0_shared_native,true,1,100,100,200,1,100,2400,0,0,0,0,0,0,science,T_PASS
M-O0-b002-SCALE,M,SCALE,O0,b002,W0_shared_native,true,1,100,100,200,0,0,0,0,1,1,1,8,0,science,T_PASS
M-O0-b002-CA,M,CA,O0,b002,W0_shared_native,true,1,100,100,200,0,0,0,0,1,1,1,8,0,science,T_PASS
M-O0-b002-KL-P,M,KL-P,O0,b002,W0_shared_native,true,1,100,100,200,0,0,0,0,1,1,1,8,0,science,T_PASS
M-O0-b002-EN-S,M,EN-S,O0,b002,W0_shared_native,true,1,100,100,200,0,0,0,0,1,1,1,8,0,science,T_PASS
M-O0-b002-EN-F,M,EN-F,O0,b002,W0_shared_native,true,1,100,100,200,0,0,0,0,1,1,1,8,0,science,T_PASS
M-O0-b002-EN-COV,M,EN-COV,O0,b002,W0_shared_native,true,1,100,100,200,0,0,0,0,1,1,0,8,0,science,T_PASS
M-O0-b002-EN-F4,M,EN-F4,O0,b002,W0_shared_native,true,1,100,100,200,0,0,0,0,1,4,4,24,0,science,T_PASS
M-O0-b002-CA-EXACT,M,CA-EXACT,O0,b002,W0_shared_native,true,1,100,100,200,0,0,0,0,0,0,0,0,0,geometry_or_paired_random_diagnostic,T_PASS
M-O0-b002-RAND+,M,RAND+,O0,b002,W0_shared_native,true,1,100,100,200,0,0,0,0,0,0,0,0,0,geometry_or_paired_random_diagnostic,T_PASS
M-O0-b002-RAND-,M,RAND-,O0,b002,W0_shared_native,true,1,100,100,200,0,0,0,0,0,0,0,0,0,geometry_or_paired_random_diagnostic,T_PASS
M-O0-b003-N4,M,N4,O0,b003,W0_shared_native,true,1,100,200,300,1,100,2400,0,0,0,0,0,0,science,T_PASS
M-O0-b003-SCALE,M,SCALE,O0,b003,W0_shared_native,true,1,100,200,300,0,0,0,0,1,1,1,8,0,science,T_PASS
M-O0-b003-CA,M,CA,O0,b003,W0_shared_native,true,1,100,200,300,0,0,0,0,1,1,1,8,0,science,T_PASS
M-O0-b003-KL-P,M,KL-P,O0,b003,W0_shared_native,true,1,100,200,300,0,0,0,0,1,1,1,8,0,science,T_PASS
M-O0-b003-EN-S,M,EN-S,O0,b003,W0_shared_native,true,1,100,200,300,0,0,0,0,1,1,1,8,0,science,T_PASS
M-O0-b003-EN-F,M,EN-F,O0,b003,W0_shared_native,true,1,100,200,300,0,0,0,0,1,1,1,8,0,science,T_PASS
M-O0-b003-EN-COV,M,EN-COV,O0,b003,W0_shared_native,true,1,100,200,300,0,0,0,0,1,1,0,8,0,science,T_PASS
M-O0-b003-EN-F4,M,EN-F4,O0,b003,W0_shared_native,true,1,100,200,300,0,0,0,0,1,4,4,24,0,science,T_PASS
M-O0-b003-CA-EXACT,M,CA-EXACT,O0,b003,W0_shared_native,true,1,100,200,300,0,0,0,0,0,0,0,0,0,geometry_or_paired_random_diagnostic,T_PASS
M-O0-b003-RAND+,M,RAND+,O0,b003,W0_shared_native,true,1,100,200,300,0,0,0,0,0,0,0,0,0,geometry_or_paired_random_diagnostic,T_PASS
M-O0-b003-RAND-,M,RAND-,O0,b003,W0_shared_native,true,1,100,200,300,0,0,0,0,0,0,0,0,0,geometry_or_paired_random_diagnostic,T_PASS
M-O0-b004-N4,M,N4,O0,b004,W0_shared_native,true,1,100,300,400,1,100,2400,0,0,0,0,0,0,science,T_PASS
M-O0-b004-SCALE,M,SCALE,O0,b004,W0_shared_native,true,1,100,300,400,0,0,0,0,1,1,1,8,0,science,T_PASS
M-O0-b004-CA,M,CA,O0,b004,W0_shared_native,true,1,100,300,400,0,0,0,0,1,1,1,8,0,science,T_PASS
M-O0-b004-KL-P,M,KL-P,O0,b004,W0_shared_native,true,1,100,300,400,0,0,0,0,1,1,1,8,0,science,T_PASS
M-O0-b004-EN-S,M,EN-S,O0,b004,W0_shared_native,true,1,100,300,400,0,0,0,0,1,1,1,8,0,science,T_PASS
M-O0-b004-EN-F,M,EN-F,O0,b004,W0_shared_native,true,1,100,300,400,0,0,0,0,1,1,1,8,0,science,T_PASS
M-O0-b004-EN-COV,M,EN-COV,O0,b004,W0_shared_native,true,1,100,300,400,0,0,0,0,1,1,0,8,0,science,T_PASS
M-O0-b004-EN-F4,M,EN-F4,O0,b004,W0_shared_native,true,1,100,300,400,0,0,0,0,1,4,4,24,0,science,T_PASS
M-O0-b004-CA-EXACT,M,CA-EXACT,O0,b004,W0_shared_native,true,1,100,300,400,0,0,0,0,0,0,0,0,0,geometry_or_paired_random_diagnostic,T_PASS
M-O0-b004-RAND+,M,RAND+,O0,b004,W0_shared_native,true,1,100,300,400,0,0,0,0,0,0,0,0,0,geometry_or_paired_random_diagnostic,T_PASS
M-O0-b004-RAND-,M,RAND-,O0,b004,W0_shared_native,true,1,100,300,400,0,0,0,0,0,0,0,0,0,geometry_or_paired_random_diagnostic,T_PASS
M-O0-b005-N4,M,N4,O0,b005,W0_shared_native,true,1,100,400,500,1,100,2400,0,0,0,0,0,0,science,T_PASS
M-O0-b005-SCALE,M,SCALE,O0,b005,W0_shared_native,true,1,100,400,500,0,0,0,0,1,1,1,8,0,science,T_PASS
