cell_id,phase,entry,entry_origin,batch,ordinal_begin,ordinal_end,policy,first_target,second_target,second_layer,history_append_after_final,role
G1-E51-N4,G1,E51,COMMON_W50_M50,51,5000,5100,N4,SHARED_WITHIN_ENTRY_FRESH_OR_VERIFIED_CAPTURE,NONE,NONE,1,동일entry기준
G1-E51-S75,G1,E51,COMMON_W50_M50,51,5000,5100,S75,SHARED_WITHIN_ENTRY_FRESH_OR_VERIFIED_CAPTURE,NONE,NONE,1,축소기준
G1-E51-REFIT4,G1,E51,COMMON_W50_M50,51,5000,5100,REFIT4,SHARED_WITHIN_ENTRY_FRESH_OR_VERIFIED_CAPTURE,FRESH_ON_PARTIAL_OR_VERIFIED_CAPTURE,4,1,현재유망정책
G1-E51-NM4,G1,E51,COMMON_W50_M50,51,5000,5100,NM4,SHARED_WITHIN_ENTRY_FRESH_OR_VERIFIED_CAPTURE,NONE_NORM_ORACLE_USES_REFIT_ENDPOINT,NONE,1,동일norm진단
G1-E51-FZ4,G1,E51,COMMON_W50_M50,51,5000,5100,FZ4,SHARED_WITHIN_ENTRY_FRESH_OR_VERIFIED_CAPTURE,FROZEN_ABSOLUTE_FIRST_Z_RESIDUAL_RECOMPUTED,4,1,첫target재피팅
G1-E56R-N4,G1,E56-R,REFIT4_W55_M55,56,5500,5600,N4,SHARED_WITHIN_ENTRY_FRESH_OR_VERIFIED_CAPTURE,NONE,NONE,1,동일entry기준
G1-E56R-S75,G1,E56-R,REFIT4_W55_M55,56,5500,5600,S75,SHARED_WITHIN_ENTRY_FRESH_OR_VERIFIED_CAPTURE,NONE,NONE,1,축소기준
G1-E56R-REFIT4,G1,E56-R,REFIT4_W55_M55,56,5500,5600,REFIT4,SHARED_WITHIN_ENTRY_FRESH_OR_VERIFIED_CAPTURE,FRESH_ON_PARTIAL_OR_VERIFIED_CAPTURE,4,1,현재유망정책
G1-E56R-NM4,G1,E56-R,REFIT4_W55_M55,56,5500,5600,NM4,SHARED_WITHIN_ENTRY_FRESH_OR_VERIFIED_CAPTURE,NONE_NORM_ORACLE_USES_REFIT_ENDPOINT,NONE,1,동일norm진단
G1-E56R-FZ4,G1,E56-R,REFIT4_W55_M55,56,5500,5600,FZ4,SHARED_WITHIN_ENTRY_FRESH_OR_VERIFIED_CAPTURE,FROZEN_ABSOLUTE_FIRST_Z_RESIDUAL_RECOMPUTED,4,1,첫target재피팅
