policy,scope,RS_n,RS_d,PS_n,PS_d,PS_strict_n,NS_n,NS_d,online_seconds,online_ratio_N4
N4,W50_to_W60_new1000,1000,1000,1938,2000,1423,7108,10000,3048.9109355434775,1.0
REFIT4,W50_to_W60_new1000,999,1000,1950,2000,1405,7175,10000,3727.52581872046,1.2225761583475108
FROZEN2,W50_to_W60_new1000,1000,1000,1958,2000,1467,7070,10000,3254.333564837463,1.0673757396122063
I2,W50_to_W60_new1000,1000,1000,1961,2000,1456,7086,10000,3480.963488657959,1.1417071742167721
FROZEN4,W50_to_W60_new1000,999,1000,1969,2000,1487,7056,10000,3636.1753174467012,1.1926144758959782
I4,W50_to_W60_new1000,999,1000,1966,2000,1489,7056,10000,3891.8415133673698,1.2764694002691939
