batch,stage,state_group,native_passes,reference_gradient_sweeps,reference_candidate_sweeps_max,history_forward_pool,history_KL_fact_VJPs,history_NLL_fact_VJPs,history_candidate_fact_forwards_max,selection_exercised,extra_z
1,B2_CHECK,ALL,1,1,2,0,0,0,0,0,0
2,B2_CHECK,ALL,1,1,2,100,100,0,200,0,0
3,LIFELONG,UNIFORM,1,1,2,200,200,0,400,0,0
3,LIFELONG,REC,1,1,2,200,200,0,400,0,0
4,LIFELONG,UNIFORM,1,1,2,300,300,0,600,0,0
4,LIFELONG,REC,1,1,2,300,300,0,600,0,0
5,LIFELONG,UNIFORM,1,1,2,400,400,0,800,0,0
5,LIFELONG,REC,1,1,2,400,400,0,800,0,0
6,LIFELONG,UNIFORM,1,1,2,500,500,0,1000,0,0
6,LIFELONG,REC,1,1,2,500,500,0,1000,0,0
7,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
7,LIFELONG,GSS,1,1,2,600,600,600,1024,1,0
7,LIFELONG,REC,1,1,2,600,600,600,1024,1,0
8,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
8,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
8,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
9,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
9,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
9,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
10,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
10,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
10,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
11,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
11,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
11,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
12,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
12,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
12,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
13,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
13,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
13,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
14,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
14,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
14,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
15,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
15,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
15,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
16,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
16,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
16,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
17,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
17,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
17,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
18,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
18,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
18,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
19,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
19,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
19,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
20,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
20,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
20,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
21,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
21,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
21,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
22,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
22,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
22,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
23,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
23,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
23,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
24,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
24,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
24,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
25,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
25,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
25,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
26,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
26,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
26,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
27,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
27,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
27,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
28,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
28,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
28,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
29,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
29,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
29,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
30,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
30,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
30,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
31,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
31,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
31,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
32,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
32,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
32,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
33,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
33,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
33,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
34,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
34,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
34,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
35,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
35,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
35,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
36,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
36,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
36,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
37,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
37,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
37,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
38,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
38,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
38,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
39,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
39,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
39,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
40,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
40,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
40,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
41,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
41,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
41,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
42,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
42,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
42,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
43,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
43,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
43,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
44,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
44,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
44,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
45,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
45,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
45,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
46,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
46,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
46,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
47,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
47,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
47,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
48,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
48,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
48,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
49,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
49,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
49,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
50,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
50,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
50,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
51,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
51,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
51,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
52,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
52,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
52,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
53,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
53,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
53,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
54,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
54,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
54,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
55,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
55,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
55,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
56,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
56,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
56,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
57,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
57,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
57,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
58,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
58,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
58,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
59,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
59,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
59,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
60,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
60,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
60,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
61,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
61,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
61,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
62,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
62,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
62,LIFELONG,REC,1,1,2,612,612,612,1024,1,0
63,LIFELONG,RES,1,1,2,512,512,0,1024,0,0
63,LIFELONG,GSS,1,1,2,612,612,612,1024,1,0
