metric,quantity,denominator,mean,median,p90,max,positive_n,zero_n,negative_n
RS,standalone_E4,100,6.911663708040141,7.064592480659485,11.272048576176168,16.5137939453125,97,0,3
RS,standalone_E8,100,4.401396217588845,4.944012442370877,13.158507763314995,19.132436633110046,72,0,28
RS,standalone_E48,100,8.520629844752184,8.473675262277538,14.098689899500462,20.460776819381863,100,0,0
RS,signed_L4,100,5.51544866760174,5.183417831540282,9.209633002558258,14.644829470664263,97,0,3
RS,signed_L8,100,3.0051811771504435,3.0228335931897163,8.091815231609509,11.539709753589705,74,0,26
RS,interaction,100,-2.792430080876802,-2.54249132797122,4.5761555749923,18.42390012741089,35,0,65
PS,standalone_E4,200,5.0529373754584235,4.818567276000977,9.417848744988442,13.738965034484863,187,0,13
PS,standalone_E8,200,3.4285276667415747,2.6368064880371094,10.395386411994693,17.868485398590565,146,0,54
PS,standalone_E48,200,6.6060147137084275,6.403289016336203,11.79727499485016,17.854627780616283,193,0,7
PS,signed_L4,200,4.115212211212638,3.9146873354911804,8.234377641975879,11.969615143490955,189,0,11
PS,signed_L8,200,2.49080250249579,1.7839206624776125,6.713368519421783,12.93532583490014,158,0,42
PS,interaction,200,-1.87545032849157,-1.0980003587901592,3.394138979911804,14.208728171885014,73,0,127
