batch,finalz_Gen,finalz_strict,finalz_Loc,kstep_Gen,kstep_strict,kstep_Loc,paired_rephrase_finalW_NLL_delta,finalz_immediate_to_finalW10_rephrase_NLL_delta
1,0.83,0.72,0.852,0.91,0.85,0.834,0.567299,-0.049857
2,0.845,0.76,0.875,0.88,0.80,0.867,0.563792,-0.029786
3,0.81,0.70,0.875,0.815,0.71,0.864,0.192999,0.005411
4,0.83,0.72,0.846,0.87,0.78,0.842,0.245490,0.135005
5,0.78,0.65,0.864,0.84,0.76,0.842,0.435923,-0.009430
6,0.79,0.68,0.821,0.835,0.73,0.807,0.424317,0.001689
7,0.795,0.69,0.858,0.83,0.74,0.851,0.685208,-0.018480
8,0.845,0.74,0.818,0.875,0.79,0.809,0.241249,-0.024564
9,0.81,0.69,0.864,0.84,0.73,0.852,0.453234,-0.018102
10,0.785,0.65,0.889,0.80,0.67,0.885,0.288084,0.0
