method,final_W_Eff,final_W_Gen,final_W_strict,final_W_Loc,z_rewrite_mean,z_rewrite_median,z_rewrite_p90,z_rewrite_max,W_rewrite_mean,W_rewrite_median,W_rewrite_p90,W_rewrite_max,z_rephrase_mean,z_rephrase_median,z_rephrase_p90,z_rephrase_max,W_rephrase_mean,W_rephrase_median,W_rephrase_p90,W_rephrase_max
OFFICIAL-ALPHAEDIT-CACHE,0.994,0.967,0.943,0.781,0.001392,0.000743,0.003357,0.025194,0.04352576237318954,0.0010169935994781554,0.005215609911829233,8.8618803024292,0.797691,0.069259,2.721582,12.862535,1.2008818798193532,0.31812869664281607,3.407060593366623,12.973389625549316
OFFICIAL-MEMIT,0.954,0.9035,0.861,0.7239,0.002097,0.000903,0.004589,0.043856,0.7571528150301747,0.038795603439211845,2.4733715057373047,19.90550422668457,0.771799,0.081747,2.646872,12.733783,1.6675217712210033,0.7559563992545009,4.704381227493286,14.99956226348877
P1R54-FZ-KSTEP-WRITER8,1.0,0.8495,0.756,0.8453,0.008817008990365138,0.0006174922455102205,0.004827629309147596,2.775531768798828,0.018627236681428825,0.0005799638165626675,0.005624540150165558,8.71495246887207,1.2650328017407673,0.24902323121204972,3.850843347609043,18.477956295013428,2.306030945784841,1.447105615399778,6.100810527801514,13.292747020721436
P1R54-FZ-FINALZ-WRITER1,1.0,0.812,0.7,0.8562,0.019941869323184504,0.000582048756768927,0.0045609017834067345,4.438613414764404,0.02770741324451933,0.0005384426040109247,0.00534770917147398,7.1822638511657715,1.3433841997518945,0.2396625070250593,4.063507046550512,14.361774444580078,2.7157905601821906,1.94714630022645,6.675395488739014,17.598381996154785
