actual,error,expected,path,requirement,sha256,status
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/B/Middle/run-v1/terminal.json,Middle/B/terminal,,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/B/Middle/run-v1/direction-probes.json,Middle/directions,,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/B/Middle/run-v1/directions.pt,Middle/directions-bytes,dbac274f8794009c87e8ef83614eb0ab4ef228cf1bc34417838540a8012ebcff,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/B/Middle/run-v1/group-jacobian.json,Middle/group-jacobian,,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/B/Middle/run-v1/group-jacobian.pt,Middle/group-jacobian-bytes,fc3fb548a482bfe54d939a0ceb4a1e85099e5f02f725f034e71615e8b6311374,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/B/Middle/run-v1/GFminus-amplitude-0.03/receipt.json,Middle/GFminus-amplitude-0.03/terminal,,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/B/Middle/run-v1/GFminus-amplitude-0.03/endpoint.pt,Middle/GFminus-amplitude-0.03/endpoint-bytes,0db25aefdf5d4431a288ee09b2afdea9eb1d73d4ed4fa4c9c561003df82db7eb,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/B/Middle/run-v1/GFminus-amplitude-0.03/eval.json,Middle/GFminus-amplitude-0.03/evaluation,,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/B/Middle/run-v1/GFminus-amplitude-0.1/receipt.json,Middle/GFminus-amplitude-0.1/terminal,,PASS
,,,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/B/Middle/run-v1/GFminus-amplitude-0.1/endpoint.pt,Middle/GFminus-amplitude-0.1/endpoint-bytes,386ac9f1860232432507ed89e846e8ab4b5896ca1cdeabae1fef2910a716eedf,PASS
