arm,scope,denominator,before_num,after_num,before_rate,after_rate,delta_pp,retained,lost,gained,both_failed,conditional_loss_rate
MEMIT_ORIGINAL,no_exact_edited_prompt_match,97568,87344,52123,0.8952115447687766,0.5342222859954083,-36.09892587733683,48966,38378,3157,7067,0.43938908224949624
MEMIT_ORIGINAL,exact_edited_prompt_match,2432,1868,1164,0.7680921052631579,0.4786184210526316,-28.94736842105263,940,928,224,340,0.49678800856531047
AlphaEdit_ORIGINAL,no_exact_edited_prompt_match,97568,87344,62522,0.8952115447687766,0.6408043620859298,-25.440718268284684,59944,27400,2578,7646,0.31370214324967943
AlphaEdit_ORIGINAL,exact_edited_prompt_match,2432,1868,1204,0.7680921052631579,0.49506578947368424,-27.30263157894737,962,906,242,322,0.48501070663811563
MEMIT_L4_ONLY,no_exact_edited_prompt_match,97568,87344,56694,0.8952115447687766,0.5810716628402754,-31.413988192850116,53769,33575,2925,7299,0.3843996153141601
MEMIT_L4_ONLY,exact_edited_prompt_match,2432,1868,1154,0.7680921052631579,0.4745065789473684,-29.35855263157895,916,952,238,326,0.5096359743040685
AlphaEdit_L4_ONLY,no_exact_edited_prompt_match,97568,87344,64132,0.8952115447687766,0.6573056739914727,-23.790587077730404,61645,25699,2487,7737,0.29422742260487267
AlphaEdit_L4_ONLY,exact_edited_prompt_match,2432,1868,1216,0.7680921052631579,0.5,-26.80921052631579,984,884,232,332,0.4732334047109208
MEMIT_L8_ONLY,no_exact_edited_prompt_match,97568,87344,47243,0.8952115447687766,0.48420588717612334,-41.100565759265336,44335,43009,2908,7316,0.4924093240520242
MEMIT_L8_ONLY,exact_edited_prompt_match,2432,1868,1182,0.7680921052631579,0.48601973684210525,-28.207236842105264,948,920,234,330,0.4925053533190578
AlphaEdit_L8_ONLY,no_exact_edited_prompt_match,97568,87344,53570,0.8952115447687766,0.5490529681862906,-34.61585765824861,50528,36816,3042,7182,0.42150577028759845
AlphaEdit_L8_ONLY,exact_edited_prompt_match,2432,1868,1133,0.7680921052631579,0.46587171052631576,-30.22203947368421,912,956,221,343,0.5117773019271948
MEMIT_L5_ONLY,no_exact_edited_prompt_match,97568,87344,53101,0.8952115447687766,0.5442460642833716,-35.096548048540505,50165,37179,2936,7288,0.4256617512364902
MEMIT_L5_ONLY,exact_edited_prompt_match,2432,1868,1184,0.7680921052631579,0.4868421052631579,-28.125,963,905,221,343,0.48447537473233404
AlphaEdit_L5_ONLY,no_exact_edited_prompt_match,97568,87344,61618,0.8952115447687766,0.6315390291898983,-26.367251557887833,59053,28291,2565,7659,0.32390318739695917
AlphaEdit_L5_ONLY,exact_edited_prompt_match,2432,1868,1204,0.7680921052631579,0.49506578947368424,-27.30263157894737,990,878,214,350,0.47002141327623126
MEMIT_L6_ONLY,no_exact_edited_prompt_match,97568,87344,49334,0.8952115447687766,0.5056370941292226,-38.9574450639554,46285,41059,3049,7175,0.47008380655797766
MEMIT_L6_ONLY,exact_edited_prompt_match,2432,1868,1154,0.7680921052631579,0.4745065789473684,-29.35855263157895,923,945,231,333,0.5058886509635975
AlphaEdit_L6_ONLY,no_exact_edited_prompt_match,97568,87344,57197,0.8952115447687766,0.586227041653001,-30.898450311577566,54425,32919,2772,7452,0.37688908224949624
AlphaEdit_L6_ONLY,exact_edited_prompt_match,2432,1868,1199,0.7680921052631579,0.49300986842105265,-27.508223684210527,962,906,237,327,0.48501070663811563
MEMIT_L7_ONLY,no_exact_edited_prompt_match,97568,87344,47436,0.8952115447687766,0.48618399475237783,-40.90275500163988,44446,42898,2990,7234,0.49113848690236306
MEMIT_L7_ONLY,exact_edited_prompt_match,2432,1868,1111,0.7680921052631579,0.45682565789473684,-31.126644736842106,889,979,222,342,0.5240899357601713
AlphaEdit_L7_ONLY,no_exact_edited_prompt_match,97568,87344,55047,0.8952115447687766,0.5641911282387668,-33.10204165300098,52226,35118,2821,7403,0.40206539659278256
AlphaEdit_L7_ONLY,exact_edited_prompt_match,2432,1868,1230,0.7680921052631579,0.5057565789473685,-26.23355263157895,1017,851,213,351,0.4555674518201285
BASE_ALPHAEDIT,no_exact_edited_prompt_match,97568,87344,53966,0.8952115447687766,0.553111675959331,-34.20998688094457,50290,37054,3676,6548,0.42423062832020514
BASE_ALPHAEDIT,exact_edited_prompt_match,2432,1868,1319,0.7680921052631579,0.5423519736842105,-22.574013157894736,1048,820,271,293,0.43897216274089934
BASE_MEMIT,no_exact_edited_prompt_match,97568,87344,48703,0.8952115447687766,0.4991698097736963,-39.604173499508036,44581,42763,4122,6102,0.48959287415277525
BASE_MEMIT,exact_edited_prompt_match,2432,1868,1135,0.7680921052631579,0.4666940789473684,-30.13980263157895,884,984,251,313,0.5267665952890792
