arm,scope,n,new_nll_delta_mean,true_nll_delta_mean,true_weakened,competing_new_strengthened,both,true_weakened_only,competing_new_only,neither
MEMIT_ORIGINAL,all,100000,-2.402664391429321,3.1455338387347105,73302,68395,46966,26336,21429,5269
MEMIT_ORIGINAL,W0_correct,89212,-2.743377418204263,3.474837754917625,67484,63214,45098,22386,18116,3612
MEMIT_ORIGINAL,lost,39306,-4.845938978282843,5.523237355535352,34697,33184,28575,6122,4609,0
MEMIT_ORIGINAL,gained,3381,2.687134183847206,-1.6768465656524782,1147,917,0,1147,917,1317
AlphaEdit_ORIGINAL,all,100000,-2.537773869296635,1.8994564606023685,65712,74253,46063,19649,28190,6098
AlphaEdit_ORIGINAL,W0_correct,89212,-2.7927564049432476,2.1746995391307222,60967,67997,44264,16703,23733,4512
AlphaEdit_ORIGINAL,lost,28306,-4.7911626844700566,4.609746217181088,24372,24697,20763,3609,3934,0
AlphaEdit_ORIGINAL,gained,2820,1.161714821199206,-2.170933548924542,650,1077,0,650,1077,1093
MEMIT_L4_ONLY,all,100000,-4.099653243126335,1.022441438638489,58497,84302,47409,11088,36893,4610
MEMIT_L4_ONLY,W0_correct,89212,-4.3683128947346015,1.3653086138681996,55149,76611,45765,9384,30846,3217
MEMIT_L4_ONLY,lost,34527,-6.179957668673175,3.3502270064922506,26991,32358,24822,2169,7536,0
MEMIT_L4_ONLY,gained,3163,-0.14624630020605414,-3.7033137628716455,423,1704,0,423,1704,1036
AlphaEdit_L4_ONLY,all,100000,-2.903065852037575,1.455814293931075,63428,78275,47278,16150,30997,5575
AlphaEdit_L4_ONLY,W0_correct,89212,-3.1474513691738912,1.7404450356724248,59320,71476,45542,13778,25934,3958
AlphaEdit_L4_ONLY,lost,26583,-5.197673686355488,4.006623934124181,22341,24074,19832,2509,4242,0
AlphaEdit_L4_ONLY,gained,2719,0.4227697702361741,-2.725573536585,449,1216,0,449,1216,1054
MEMIT_L8_ONLY,all,100000,-4.139323109313609,1.9943567268978108,69321,82863,55723,13598,27140,3539
MEMIT_L8_ONLY,W0_correct,89212,-4.533683830466533,2.3618222313452457,65159,76433,54175,10984,22258,1795
MEMIT_L8_ONLY,lost,43929,-6.025027681774273,3.6097748257988433,36328,40846,33245,3083,7601,0
MEMIT_L8_ONLY,gained,3142,0.98026380983066,-2.946273555450336,621,1281,0,621,1281,1240
AlphaEdit_L8_ONLY,all,100000,-2.560795519231776,2.919896040142027,73713,70584,49312,24401,21272,5015
