arm,checkpoint_bytes,checkpoint_SHA256,W_SHA256,M_SHA256,history_append,CPU_tensor_validation,runtime_physical_reload,GPU_B2_continuation
N4,1057571045,f58b525df1d7c85988c5d4ea03cb9e508432c5edfc6928afac0e1724d01dbde5,3d33f44b13688fb3c18db8eb4d8be5cc6509aea161c96bed254e89240f265015,fa7d22b6e67cda36232c747d31b81cb9bf2b2196082bcad61664926284f6811e,1,PASS,PASS,NOT_RUN_NOT_AUTHORIZED
BPCW512,1057572709,dfea3100be58ea3bef61373724d06769ce95c5aefb1b90726904d0f1a9ad53b4,3d33f44b13688fb3c18db8eb4d8be5cc6509aea161c96bed254e89240f265015,fa7d22b6e67cda36232c747d31b81cb9bf2b2196082bcad61664926284f6811e,1,PASS,PASS,NOT_RUN_NOT_AUTHORIZED
