direction,scale,h,AD,FD,relative,signal,noise,match,actual_linear_FD,selected_adjacent
FD-pair0,0,0.07611652798666857,16.088480123478,16.30440248100683,0.013420929501832317,1.2410345077514648,2.220446049250313e-16,False,16.088480095042865,False
FD-pair0,1,0.038058263993334285,16.088480123478,16.19581246095572,0.006671378318769287,0.6163845062255859,2.220446049250313e-16,True,16.088480503958536,True
FD-pair0,2,0.019029131996667142,16.088480123478,16.11572622486865,0.0016935161793741023,0.3066682815551758,2.220446049250313e-16,True,16.088479561601595,True
FD-pair0,3,0.009514565998333571,16.088480123478,16.095529257945564,0.0004381479427181976,0.15314197540283203,2.220446049250313e-16,True,16.08847946718258,False
FD-pair0,4,0.004757282999166786,16.088480123478,16.09041737053575,0.00012041206148013192,0.07654666900634766,2.220446049250313e-16,True,16.088482219566746,False
FD-pair0,5,0.002378641499583393,16.088480123478,16.088613174979344,8.269985748958983e-06,0.03826904296875,2.220446049250313e-16,True,16.088478131902363,False
FD-pair0,6,0.0011893207497916964,16.088480123478,16.091820633746288,0.0002076336759376618,0.019138336181640625,2.220446049250313e-16,True,16.088485561568767,False
FD-pair0,7,0.0005946603748958482,16.088480123478,16.091820633746288,0.0002076336759376618,0.009569168090820312,2.220446049250313e-16,True,16.088467801782873,False
FD-pair0,8,0.0002973301874479241,16.088480123478,16.09502809251323,0.0004069973661261438,0.0047855377197265625,2.220446049250313e-16,True,16.088495200595844,False
FD-pair0,9,0.00014866509372396205,16.088480123478,16.088613174979344,8.269985748958983e-06,0.002391815185546875,2.220446049250313e-16,True,16.08849666160087,False
FD-pair0,10,7.433254686198102e-05,16.088480123478,16.088613174979344,8.269985748958983e-06,0.0011959075927734375,2.220446049250313e-16,True,16.08851810279659,False
FD-pair0,11,3.716627343099051e-05,16.088480123478,16.088613174979344,8.269985748958983e-06,0.0005979537963867188,2.220446049250313e-16,True,16.08850333903847,False
FD-pair1,0,0.07611652798666857,29.901377916654656,30.61430436181571,0.023842595051914387,2.330254554748535,2.220446049250313e-16,False,29.90137804571031,False
FD-pair1,1,0.038058263993334285,29.901377916654656,30.246912512507,0.01155580845857556,1.1511449813842773,2.220446049250313e-16,False,29.901377945804825,False
FD-pair1,2,0.019029131996667142,29.901377916654656,30.00094051831716,0.003329699451979111,0.5708918571472168,2.220446049250313e-16,True,29.901377326197426,True
FD-pair1,3,0.009514565998333571,29.901377916654656,29.927143908405885,0.0008616991438671196,0.2847437858581543,2.220446049250313e-16,True,29.901378520051427,True
FD-pair1,4,0.004757282999166786,29.901377916654656,29.907748806174535,0.0002130634092394161,0.14227962493896484,2.220446049250313e-16,True,29.90137681604601,False
FD-pair1,5,0.002378641499583393,29.901377916654656,29.902536685678253,3.8753030941480416e-05,0.07112741470336914,2.220446049250313e-16,True,29.901382571320486,False
FD-pair1,6,0.0011893207497916964,29.901377916654656,29.903138084197057,5.8865766898989374e-05,0.035564422607421875,2.220446049250313e-16,True,29.901375999959733,False
FD-pair1,7,0.0005946603748958482,29.901377916654656,29.902336219505322,3.204878562242958e-05,0.017781734466552734,2.220446049250313e-16,True,29.901373404178013,False
FD-pair1,8,0.0002973301874479241,29.901377916654656,29.906345542963997,0.00016613369200534737,0.008892059326171875,2.220446049250313e-16,True,29.90136579113222,False
FD-pair1,9,0.00014866509372396205,29.901377916654656,29.903138084197057,5.8865766898989374e-05,0.004445552825927734,2.220446049250313e-16,True,29.901354812812762,False
FD-pair1,10,7.433254686198102e-05,29.901377916654656,29.906345542963997,0.00016613369200534737,0.0022230148315429688,2.220446049250313e-16,True,29.90136058646145,False
FD-pair1,11,3.716627343099051e-05,29.901377916654656,29.8678560377607,0.001121081409271305,0.001110076904296875,2.220446049250313e-16,True,29.90144507583184,False
