round,pair_id,b,mu,raw_center_inner,two_head_margin,full_vocab_margin,seconds
1,allenai/c4@1588ec454efa1a09f29cd18ddd04fe05fc8653a2|train|en/c4-train.00000-of-01024.json.gz|113011|p133|c4639,-0.09807695617675781,0.09807695617675781,0.0,0.09815597534179688,0.09817695617675781,0.4262302443385124
1,allenai/c4@1588ec454efa1a09f29cd18ddd04fe05fc8653a2|train|en/c4-train.00000-of-01024.json.gz|113220|p135|c11,0.07199750671386719,-0.07199750671386719,0.0,-0.07189178466796875,-0.07189750671386719,0.4247806519269943
1,allenai/c4@1588ec454efa1a09f29cd18ddd04fe05fc8653a2|train|en/c4-train.00000-of-01024.json.gz|1140|p131|c3515,-0.05352701416015625,0.05352701416015625,0.0,0.053607940673828125,0.05362701416015625,0.42546543944627047
1,allenai/c4@1588ec454efa1a09f29cd18ddd04fe05fc8653a2|train|en/c4-train.00000-of-01024.json.gz|114540|p132|c513,-0.11311640014648437,0.11311640014648437,0.0,0.11321640014648438,0.11321640014648438,0.42551922891288996
1,allenai/c4@1588ec454efa1a09f29cd18ddd04fe05fc8653a2|train|en/c4-train.00000-of-01024.json.gz|11568|p129|c1053,-0.21449197998046876,0.21449197998046876,0.0,0.21457862854003906,0.21459197998046875,0.42530946247279644
1,allenai/c4@1588ec454efa1a09f29cd18ddd04fe05fc8653a2|train|en/c4-train.00000-of-01024.json.gz|11586|p139|c7172,0.018902642822265624,-0.018902642822265624,0.0,-0.018793106079101562,-0.018802642822265625,0.4245742578059435
1,allenai/c4@1588ec454efa1a09f29cd18ddd04fe05fc8653a2|train|en/c4-train.00000-of-01024.json.gz|116278|p128|c2731,-0.017916815185546876,0.017916815185546876,0.0,0.018007278442382812,0.018016815185546875,0.4298375407233834
1,allenai/c4@1588ec454efa1a09f29cd18ddd04fe05fc8653a2|train|en/c4-train.00000-of-01024.json.gz|117820|p142|c3363,0.05971227416992188,-0.05971227416992188,0.0,-0.059600830078125,-0.059612274169921875,0.42599121667444706
1,allenai/c4@1588ec454efa1a09f29cd18ddd04fe05fc8653a2|train|en/c4-train.00000-of-01024.json.gz|117846|p143|c1097,-0.041678564453125,0.041678564453125,0.0,0.041778564453125,0.041778564453125,0.42560765892267227
1,allenai/c4@1588ec454efa1a09f29cd18ddd04fe05fc8653a2|train|en/c4-train.00000-of-01024.json.gz|117963|p132|c2274,-0.12136377563476562,0.12136377563476562,0.0,0.12147903442382812,0.12146377563476562,0.4318674700334668
1,allenai/c4@1588ec454efa1a09f29cd18ddd04fe05fc8653a2|train|en/c4-train.00000-of-01024.json.gz|118663|p135|c574,-0.15534509887695314,0.15534509887695314,0.0,0.1554431915283203,0.15544509887695312,0.4287154823541641
1,allenai/c4@1588ec454efa1a09f29cd18ddd04fe05fc8653a2|train|en/c4-train.00000-of-01024.json.gz|118994|p138|c47846,-0.06367410888671875,0.06367410888671875,0.0,0.06377029418945312,0.06377410888671875,0.4293557219207287
1,allenai/c4@1588ec454efa1a09f29cd18ddd04fe05fc8653a2|train|en/c4-train.00000-of-01024.json.gz|1200|p143|c627,-0.04471124877929687,0.04471124877929687,0.0,0.0447998046875,0.044811248779296875,0.43047684896737337
