component,seconds,aggregation
answer_capsule_setup,541.5760032013059,EXCLUSIVE_TOP_LEVEL_PROGRAM_PHASE
native_shared_once,297.3078070273623,EXCLUSIVE_TOP_LEVEL_PROGRAM_PHASE
fixed_reference_key_cache_setup,18.242795838043094,EXCLUSIVE_TOP_LEVEL_PROGRAM_PHASE
base_capsule_validation,123.82757508940995,EXCLUSIVE_TOP_LEVEL_PROGRAM_PHASE
current_keys_geometry,118.03157621249557,EXCLUSIVE_TOP_LEVEL_PROGRAM_PHASE
integrated_technical,408.2964180856943,EXCLUSIVE_TOP_LEVEL_PROGRAM_PHASE
current_anchor,102.9117689114064,EXCLUSIVE_TOP_LEVEL_PROGRAM_PHASE
controller,1117.9600311368704,EXCLUSIVE_TOP_LEVEL_PROGRAM_PHASE
official_dev_generation_observers,294.08194366749376,EXCLUSIVE_TOP_LEVEL_PROGRAM_PHASE
CPU_QP_order_audit,0.2882956536486745,EXCLUSIVE_TOP_LEVEL_PROGRAM_PHASE
N4_commit,35.48474423959851,EXCLUSIVE_TOP_LEVEL_COMMIT
BPCW512_commit,38.22693750355393,EXCLUSIVE_TOP_LEVEL_COMMIT
N4_history_seconds,13.402681198902428,NESTED_IN_COMMIT_DO_NOT_SUM
N4_checkpoint_io_seconds,7.198091624304652,NESTED_IN_COMMIT_DO_NOT_SUM
BPCW512_history_seconds,13.883464381098747,NESTED_IN_COMMIT_DO_NOT_SUM
BPCW512_checkpoint_io_seconds,8.010433556511998,NESTED_IN_COMMIT_DO_NOT_SUM
N4_standalone_editing,332.7925512669608,COMPARISON_VIEW_NATIVE_INCLUDED
BPCW512_standalone_editing,1674.4381207916886,COMPARISON_VIEW_NATIVE_INCLUDED
program_wall,3308.3844804614782,TOTAL_NOT_ADD_TO_PHASES
