arm,split,documents,positions,retained_sequences,token_flips,base_EOS_sequences,base_censored_sequences,candidate_TF_EOS_choices,candidate_TF_EOS_sequences,minimum_margin,mean_d,max_d,outside_base_top8
N4,R512,512,8192,398,137,0,512,0,0,-1.2262840270996094,0.0016580168655254204,0.7407629489898682,0
BPCW512,R512,512,8192,398,137,0,512,0,0,-1.2262840270996094,0.0016580168655254204,0.7407629489898682,0
N4,Dev128,128,2048,104,28,0,128,0,0,-1.4869098663330078,0.004817555114197056,2.187227725982666,1
BPCW512,Dev128,128,2048,104,28,0,128,0,0,-1.4869098663330078,0.004817555114197056,2.187227725982666,1
