arm,metric,numerator,denominator,percent,delta_N4_pp,ties,new_TF_strict,true_TF_strict
W0,RS,5,100,5.0,-95.0,0,0,21
W0,PS,20,200,10.0,-87.0,0,0,43
W0,NS,886,1000,88.6,2.1,0,0,171
N4,RS,100,100,100.0,0.0,0,100,0
N4,PS,194,200,97.0,0.0,0,125,2
N4,NS,865,1000,86.5,0.0,0,8,160
BPCW512,RS,100,100,100.0,0.0,0,100,0
BPCW512,PS,194,200,97.0,0.0,0,125,2
BPCW512,NS,865,1000,86.5,0.0,0,8,160
