entry,arm,panel,metric,numerator,denominator,rate,strict_new_numerator,strict_true_numerator,ties,new_token_correct,new_token_count,true_token_correct,true_token_count,reference_success,loss,recovery,reference_failure,new_nll_lower,new_nll_equal,new_nll_higher,delta_pp,paired_ci_low,paired_ci_high,paired_requests,new_nll_mean,new_nll_median,new_nll_p90,new_nll_max,true_nll_mean,true_nll_median,true_nll_p90,true_nll_max,paired_new_nll_delta_mean,paired_new_nll_delta_median,paired_new_nll_delta_p90,paired_new_nll_delta_max,paired_true_nll_delta_mean,paired_true_nll_delta_median,paired_true_nll_delta_p90,paired_true_nll_delta_max,paired_margin_delta_mean,paired_margin_delta_median,paired_margin_delta_p90,paired_margin_delta_max,margin_mean,margin_median,margin_p90,margin_max
Early,N,Current100,RS,100,100,100.0,100,0,0,101,101,3,103,100,0,0,0,0,100,0,0.0,0.0,0.0,100,0.001548703510852647,0.0010872529237531126,0.003223023423925043,0.008684840053319931,14.559245595932007,14.748457908630371,19.03678359985352,25.318464279174805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.557696892421154,14.746450440317858,19.03548175156466,25.31646106741391
Early,N,Current100,PS,195,200,97.5,138,0,0,140,202,6,206,195,0,0,5,0,200,0,0.0,0.0,0.0,100,1.6271922386353252,0.18515890836715698,5.218408918380736,18.10067367553711,10.351426459550858,10.034245491027832,15.281836891174317,20.802494049072266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.724234220915532,8.206544559448957,14.665179138060193,19.061299971072003
Early,N,Current100,NS,813,1000,81.3,27,190,0,27,1010,220,1030,813,0,0,187,0,1000,0,0.0,0.0,0.0,100,8.915897382268799,8.85770845413208,13.49575424194336,20.938426971435547,5.210742794439197,4.78219199180603,10.10343179702759,17.637144088745117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.705154587829602,-3.7486969232559204,1.840322732925415,17.57926193124149
Early,N,Fixed100,RS,100,100,100.0,99,0,0,100,101,3,103,100,0,0,0,0,100,0,0.0,0.0,0.0,100,0.05602934896647639,0.0020922564435750246,0.009111484792083511,4.564671039581299,14.059178404808044,14.390233993530273,19.425039863586427,26.446958541870117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.003149055841568,14.384545257838909,19.423729784146417,26.44679047090176
Early,N,Fixed100,PS,194,200,97.0,133,2,0,135,202,8,206,194,0,0,6,0,200,0,0.0,0.0,0.0,100,1.4324656432399934,0.3466024100780487,4.129970169067382,9.133020401000977,9.903629738986492,9.482279777526855,14.618237495422362,21.410364151000977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.471164095746499,8.359962183516473,14.134496401622892,21.407462400384247
Early,N,Fixed100,NS,818,1000,81.8,15,133,0,19,1010,163,1030,818,0,0,182,0,1000,0,0.0,0.0,0.0,100,9.74080933730118,9.59241771697998,14.866794395446778,23.8116397857666,5.653135349046322,5.2595460414886475,10.428793907165527,23.15909767150879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.087673988254857,-4.116206169128418,2.0883977890014656,10.261886032298207
Early,N,Past100,RS,100,100,100.0,100,0,0,103,103,1,101,100,0,0,0,0,100,0,0.0,0.0,0.0,100,0.0023336228293192106,0.0011732246493920684,0.004440304823219777,0.03061535954475403,14.641474175453187,14.500941753387451,19.084987258911134,26.06043243408203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.639140552623866,14.499656966596376,19.084644924715395,26.053577600512654
Early,N,Past100,PS,198,200,99.0,126,0,0,132,206,2,202,198,0,0,2,0,200,0,0.0,0.0,0.0,100,1.66737266116932,0.3585706055164337,5.310209608078003,10.850053787231445,10.292287014126778,9.919422149658203,15.055825424194335,22.42913055419922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.624914352957457,8.40534646064043,14.31629383675754,22.426812000805512
Early,N,Past100,NS,792,1000,79.2,23,167,0,53,1030,177,1010,792,0,0,208,0,1000,0,0.0,0.0,0.0,100,8.99173313584458,9.023256778717041,13.616472244262695,21.45881462097168,5.402706143670075,4.970844268798828,10.699411582946778,18.026670455932617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5890269921745057,-3.7818756103515625,2.651387071609498,13.957431554794312
Early,OS,Current100,RS,100,100,100.0,100,0,0,101,101,3,103,100,0,0,0,39,1,60,0.0,0.0,0.0,100,0.0014634859817306278,0.0010857050074264407,0.002938025561161341,0.007089695893228054,14.584770488739014,14.714559555053711,18.79316959381104,25.91903305053711,-8.521752912201918e-05,1.8977196305058897e-05,0.00019934200681746007,0.0009404025040566921,0.025524892807006837,-0.03232526779174805,0.3731074333190918,2.891676902770996,0.025610110336128856,-0.03235940099693835,0.3734359675901942,2.8992807414615527,14.583307002757284,14.713293260720093,18.792687639212822,25.917150363442488
