entry,arm,Past,Base,BaseAudit
Early,N,0.030312198014660004,0.11814719770178965,0.04101710213929429
Early,OS,0.036892767676498586,0.20022039265428718,0.10429075847252131
Early,BF1,0.033857058246414815,0.1851980405546471,0.10403693804120612
Early,BF8,0.03365910958076371,0.18213983043312548,0.10401009574664018
Middle,N,0.017501801081293858,0.05903529695698263,0.03662795255332121
Middle,OS,0.036850395353314115,0.19879436193518954,0.13350771166616254
Middle,BF1,0.03384419165709388,0.18279418874416872,0.13349622137572728
Middle,BF8,0.0336388248089416,0.1798745731279583,0.133528711546889
Middle,Frozen-BF8,0.03364584059068352,0.18123621464743195,0.13349688919392272
Late,N,0.023383254784692813,0.05182043656939688,0.03536685775543086
Late,OS,0.03783633365900139,0.11058300564611327,0.05147451431513461
Late,BF1,0.03505936222248376,0.10207389091117897,0.05139301566732586
Late,BF8,0.03480580617131435,0.10072391625448765,0.05134396036112835
