method,endpoint,prompt,success_numerator,success_denominator,accuracy_numerator,accuracy_denominator,strict_success_numerator,strict_success_denominator,strict_accuracy_numerator,strict_accuracy_denominator,target_new_mean,target_new_median,target_new_p90,target_new_max,target_true_mean,target_true_median,target_true_p90,target_true_max
Official AlphaEdit,accepted_z,rewrite,1000,1000,1000,1000,1000,1000,1000,1000,0.0023065382779223,0.000690460205078125,0.0026848006527870893,0.9981651306152344,14.628757358789445,14.350395202636719,19.818744659423828,27.31596565246582
Official AlphaEdit,post_W,rewrite,999,1000,999,1000,999,1000,999,1000,0.0033151519038365222,0.0007467461109627038,0.002938360208645463,1.8773164749145508,14.51001994651556,14.228349685668945,19.696653366088867,27.063623428344727
Native MEMIT,accepted_z,rewrite,1000,1000,1000,1000,1000,1000,1000,1000,0.0010984351011029503,0.0006447739724535495,0.0023079682141542435,0.02549242600798607,14.820166948795318,14.542142391204834,19.804351806640625,27.45424461364746
Native MEMIT,post_W,rewrite,983,1000,963,1000,983,1000,963,1000,0.19672490518997074,0.0042555255349725485,0.10974674671888351,12.664019584655762,11.534597757350653,11.359379768371582,17.133033752441406,25.43890380859375
P1R54 FZ-INDEPENDENT,accepted_z,rewrite,999,1000,990,1000,999,1000,990,1000,0.036367405616695575,0.0012281740782782435,0.02037406526505947,3.3732686042785645,14.056988926291465,13.88035249710083,19.0660457611084,26.886266708374023
P1R54 FZ-INDEPENDENT,post_W,rewrite,998,1000,990,1000,998,1000,990,1000,0.03783224252229502,0.001213299110531807,0.02045547589659691,3.7465896606445312,14.042333333790303,13.905948162078857,19.069656372070312,26.8712158203125
Official AlphaEdit,accepted_z,rephrase,1974,2000,1525,2000,976,1000,625,1000,1.100521684650808,0.051957255229353905,4.3084917068481445,15.602556228637695,11.050088527980726,10.976290225982666,16.343198776245117,26.353649139404297
Official AlphaEdit,post_W,rephrase,1860,2000,1292,2000,880,1000,488,1000,1.8480393136327293,0.2934666723012924,5.901395797729492,17.445371627807617,9.396850217508618,9.368317127227783,14.641416549682617,24.31145477294922
Native MEMIT,accepted_z,rephrase,1972,2000,1521,2000,974,1000,624,1000,1.1047603197513154,0.05395769327878952,4.29409646987915,15.612509727478027,11.066664205111097,11.003041744232178,16.42639923095703,26.519575119018555
Native MEMIT,post_W,rephrase,1651,2000,1021,2000,745,1000,347,1000,2.8756256010443613,1.1551117300987244,8.353468894958496,20.605066299438477,7.794277056097053,7.66874623298645,13.102352142333984,23.182947158813477
P1R54 FZ-INDEPENDENT,accepted_z,rephrase,1955,2000,1451,2000,965,1000,586,1000,1.2905917834521534,0.0970492921769619,4.662908554077148,16.32414436340332,10.833720112904441,10.720064163208008,16.00335693359375,24.784622192382812
P1R54 FZ-INDEPENDENT,post_W,rephrase,1842,2000,1235,2000,867,1000,455,1000,1.9659541943251897,0.47565025091171265,6.100472450256348,17.943241119384766,9.027938764191699,8.917210102081299,14.186676979064941,25.48607063293457
