method,scope,total_or_sum_seconds,case_or_batch_seconds_mean,target_seconds_mean,writer_seconds_mean,field_evaluation_count,writer_call_count,layer_apply_count,model_forward_count,ratio_to_FZ_matching_scope
P1R54-FZ,SUM_OF_10_INDEPENDENT_CELLS_POST_MODEL_PREFLIGHT,10055.562696224079,1005.5562696224079,NOT_SEPARATELY_RECORDED,45.58769936783938,80,80,400,RECORDED_IN_JOB_LEDGER_SEPARATE,1.0
OFFICIAL-ALPHAEDIT,SUM_OF_10_INDEPENDENT_CASES_POST_MODEL_PREFLIGHT,9235.321535512805,923.5321535512805,631.2466761271469,164.0318591072224,NATIVE_COMPUTE_Z_NOT_FZ_FIELD,10,50,2755.0,1.0888156581833324
OFFICIAL-MEMIT,SUM_OF_10_INDEPENDENT_CASES_POST_MODEL_PREFLIGHT,8671.598277557641,867.1598277557641,631.4489584419877,107.6876196404919,NATIVE_COMPUTE_Z_NOT_FZ_FIELD,10,50,2730.8,1.1595973861298647
