method,final_W_Eff,final_W_Gen,final_W_Gen_strict,final_W_Loc,z_rewrite_new_mean,z_rewrite_new_median,z_rewrite_new_p90,z_rephrase_new_mean,z_rephrase_new_median,z_rephrase_new_p90,post_W_rewrite_new_mean,post_W_rewrite_new_median,post_W_rewrite_new_p90,post_W_rephrase_new_mean,post_W_rephrase_new_median,post_W_rephrase_new_p90
Official AlphaEdit,0.999,0.93,0.88,0.8626,0.0023065382779223,0.000690460205078125,0.0026848006527870893,1.100521684650808,0.051957255229353905,4.3084917068481445,0.0033151519038365222,0.0007467461109627038,0.002938360208645463,1.8480393136327293,0.2934666723012924,5.901395797729492
Native MEMIT,0.983,0.8255,0.745,0.8789,0.0010984351011029503,0.0006447739724535495,0.0023079682141542435,1.1047603197513154,0.05395769327878952,4.29409646987915,0.19672490518997074,0.0042555255349725485,0.10974674671888351,2.8756256010443613,1.1551117300987244,8.353468894958496
P1R54 FZ-INDEPENDENT,0.998,0.921,0.867,0.8747,0.036367405616695575,0.0012281740782782435,0.02037406526505947,1.2905917834521534,0.0970492921769619,4.662908554077148,0.03783224252229502,0.001213299110531807,0.02045547589659691,1.9659541943251897,0.47565025091171265,6.100472450256348
