interval_start,interval_end,entry_response_energy,interval_response_energy,cross_term,net_energy_change,maximum_closure_error,probe_count
1,5,0.2586651907530928,0.5781589631475741,0.1545884415231415,0.7327474046707158,1.7763568394002505e-15,512
5,10,0.9914125954238086,0.529853361292288,0.178284052799189,0.708137414091477,1.3322676295501878e-15,512
10,20,1.6995500095152856,0.7793556894366096,0.1992112292221101,0.9785669186587198,3.552713678800501e-15,512
20,30,2.6781169281740054,0.7201974532263126,0.1413631774127863,0.8615606306390989,3.191891195797325e-15,512
30,40,3.5396775588131044,0.6728675621014073,0.1064580366261764,0.7793255987275838,3.9968028886505635e-15,512
40,50,4.319003157540688,0.6512037383750165,0.0876340137871095,0.7388377521621261,4.218847493575595e-15,512
50,60,5.057840909702814,0.6277320562753029,0.07036644282987,0.698098499105173,4.440892098500626e-15,512
60,70,5.755939408807987,0.6127016225077423,0.0690151175431213,0.6817167400508637,6.661338147750939e-15,512
70,80,6.437656148858851,0.6486934403592293,0.0544236288337032,0.7031170691929325,6.744604874597826e-15,512
80,90,7.140773218051783,0.6205701381848846,0.0710346499160672,0.6916047881009517,6.328271240363392e-15,512
90,100,7.832378006152735,0.6018917333502425,0.0519172238600518,0.6538089572102943,6.106226635438361e-15,512
