interval_start,interval_end,role,n,actual_margin_change_mean,predicted_mean,absolute_remainder_mean,lost,sign_agree,sign_denominator,DK_squared_mean,cross_mean
1,10,lost,16,-6.793882398400456,-4.017636185490107,3.9265122990687047,16,15,16,12.962733004457167,1.6750853137107966
1,10,matched_retained,16,-1.6146290451288223,-0.5377695289892366,1.2915000582806735,0,11,16,10.382518200820511,1.4497498179764732
50,100,lost,16,-4.058658938854933,-2.7903498724658427,2.1870715954228177,16,13,16,57.34870340693148,3.979903515993045
50,100,matched_retained,16,0.2067032093182206,1.7439176029914143,2.65689484892926,0,10,16,48.702419543852216,3.423787029138282
