mode,gain,target_loading_squared,write_energy,near_degenerate_group,target_batch,entry_batch,provenance,receipt_status
0,0.4256501407634518,6.456783088597689,1.169827319754147,0,1,0,ACTUAL_ENDPOINT_REFERENCED_B1_UNCERTIFIED,PASS
1,0.4116581216695721,6.452664489435476,1.09348406972941,1,1,0,ACTUAL_ENDPOINT_REFERENCED_B1_UNCERTIFIED,PASS
2,0.4024822626160146,6.400669172118566,1.0368570195221491,2,1,0,ACTUAL_ENDPOINT_REFERENCED_B1_UNCERTIFIED,PASS
3,0.3997210639135176,6.5698370697726185,1.0497083906191726,3,1,0,ACTUAL_ENDPOINT_REFERENCED_B1_UNCERTIFIED,PASS
4,0.393818950237078,4.879881056515888,0.7568371766160076,4,1,0,ACTUAL_ENDPOINT_REFERENCED_B1_UNCERTIFIED,PASS
5,0.3824351429665171,6.757613920017433,0.9883458967349223,5,1,0,ACTUAL_ENDPOINT_REFERENCED_B1_UNCERTIFIED,PASS
6,0.3806849999784631,5.969038838801004,0.8650394906667167,6,1,0,ACTUAL_ENDPOINT_REFERENCED_B1_UNCERTIFIED,PASS
7,0.3747654461075125,4.815901105420819,0.6763891666365637,7,1,0,ACTUAL_ENDPOINT_REFERENCED_B1_UNCERTIFIED,PASS
8,0.3711097431456641,5.357218744421605,0.7378092449043802,8,1,0,ACTUAL_ENDPOINT_REFERENCED_B1_UNCERTIFIED,PASS
9,0.370710853986295,5.088566990810298,0.6993041411791259,8,1,0,ACTUAL_ENDPOINT_REFERENCED_B1_UNCERTIFIED,PASS
10,0.3688264994490241,5.02507321403457,0.6835757176702912,9,1,0,ACTUAL_ENDPOINT_REFERENCED_B1_UNCERTIFIED,PASS
11,0.3676378641642672,5.953155521545922,0.8046142077614895,10,1,0,ACTUAL_ENDPOINT_REFERENCED_B1_UNCERTIFIED,PASS
12,0.3663674545513306,5.231951065722964,0.7022592164903284,11,1,0,ACTUAL_ENDPOINT_REFERENCED_B1_UNCERTIFIED,PASS
13,0.3652121450037154,5.335918436041654,0.7117043253459412,12,1,0,ACTUAL_ENDPOINT_REFERENCED_B1_UNCERTIFIED,PASS
14,0.3639794453903776,5.032681671310784,0.666734885028687,13,1,0,ACTUAL_ENDPOINT_REFERENCED_B1_UNCERTIFIED,PASS
15,0.3626251859207031,4.935459433405294,0.648998234791156,14,1,0,ACTUAL_ENDPOINT_REFERENCED_B1_UNCERTIFIED,PASS
16,0.3620908939956849,4.106396484409346,0.5383888855006882,15,1,0,ACTUAL_ENDPOINT_REFERENCED_B1_UNCERTIFIED,PASS
17,0.3601730793619488,4.590521542430769,0.595503787083323,16,1,0,ACTUAL_ENDPOINT_REFERENCED_B1_UNCERTIFIED,PASS
18,0.3599688486074607,5.294760702475398,0.6860822359771845,16,1,0,ACTUAL_ENDPOINT_REFERENCED_B1_UNCERTIFIED,PASS
19,0.3592220887968383,4.904214865469756,0.6328423828757807,17,1,0,ACTUAL_ENDPOINT_REFERENCED_B1_UNCERTIFIED,PASS
20,0.3574134657729635,4.358628122516472,0.5567902712029322,18,1,0,ACTUAL_ENDPOINT_REFERENCED_B1_UNCERTIFIED,PASS
21,0.356714548559618,4.432126277638831,0.5639671011230772,19,1,0,ACTUAL_ENDPOINT_REFERENCED_B1_UNCERTIFIED,PASS
22,0.3565466274635198,4.473278083566576,0.5686677020780063,19,1,0,ACTUAL_ENDPOINT_REFERENCED_B1_UNCERTIFIED,PASS
