path,required_output,status,bytes,sha256
source_bindings.csv,source_bindings.csv,GENERATED_PUBLICATION,,
numerical-parity.json,numerical-parity.json,GENERATED_PUBLICATION,,
/mnt/raid5/janghj/ODE-edit/local/checkpoint-mechanism-audit/20260920-v1/attempt-v1/results/archival/request_registry.csv,request_registry.csv,MEASURED_LOCAL_RETAINED,5790526.0,6d8fd9a81c6de2c13da6c9da4f80e2b2e854478db70cb4a2274e73552508e097
/mnt/raid5/janghj/ODE-edit/local/checkpoint-mechanism-audit/20260920-v1/attempt-v1/results/archival/functional_long.parquet,functional_long.parquet,MEASURED_LOCAL_RETAINED,79039785.0,dc319578742ec98ff5c76444b7bac5c3a38eceee7a997f5389bf73e9b0d12fa7
/mnt/raid5/janghj/ODE-edit/local/checkpoint-mechanism-audit/20260920-v1/attempt-v1/results/archival/paired_transitions.csv,paired_transitions.csv,MEASURED_LOCAL_RETAINED,1159179.0,a66362ca66359668e8658f7ecb6eb6a3f2e517661b07fd0e06366e31dfafb399
/mnt/raid5/janghj/ODE-edit/local/checkpoint-mechanism-audit/20260920-v1/attempt-v1/results/archival/at_write_outcomes.csv,at_write_outcomes.csv,MEASURED_LOCAL_RETAINED,37044.0,5c0c8bed7da689577753c4e82efe8f94f2d5e62e2901b6e6b50ce9066b3ce8a9
/mnt/raid5/janghj/ODE-edit/local/checkpoint-mechanism-audit/20260920-v1/attempt-v1/results/geometry/checkpoint_geometry.csv,checkpoint_geometry.csv,MEASURED_LOCAL_RETAINED,38815.0,e7731ac3116b03ba6511b698ff7bc6d08ffb4abf02f5f44d9aadf7193298bbac
/mnt/raid5/janghj/ODE-edit/local/checkpoint-mechanism-audit/20260920-v1/resume-no-gates-r1/publication-r1/fixed_probe_history.csv,fixed_probe_history.csv,MEASURED_LOCAL_RETAINED,1188994.0,f40da00a8b6bbf13bf1c8b7d9d3409140f7b820a8a80574aee2306b042a8cf73
/mnt/raid5/janghj/ODE-edit/local/checkpoint-mechanism-audit/20260920-v1/resume-no-gates-r1/publication-r1/native_write_modes.csv,native_write_modes.csv,MEASURED_LOCAL_RETAINED,70658.0,3672a51f4473ca2060edf3d6d08b508fe3b0ee778ed0a649c2293d5fe7b3a7a5
/mnt/raid5/janghj/ODE-edit/local/checkpoint-mechanism-audit/20260920-v1/resume-no-gates-r1/publication-r1/reconstruction.csv,reconstruction.csv,MEASURED_LOCAL_RETAINED,62749.0,a596e27e21584bbd5c48f8ae9e3ecf1499efdaa62bbafa1ec200880a77fd67d8
/mnt/raid5/janghj/ODE-edit/local/checkpoint-mechanism-audit/20260920-v1/resume-no-gates-r1/publication-r1/counterfactuals.csv,counterfactuals.csv,MEASURED_LOCAL_RETAINED,79940.0,61bfef778d18abe0a12973c36e3683c278500802d1f6aae99553ec20ff0465dd
/mnt/raid5/janghj/ODE-edit/local/checkpoint-mechanism-audit/20260920-v1/attempt-v1/results/archival/mechanism_panel.csv,mechanism_panel.csv,MEASURED_LOCAL_RETAINED,20910.0,f34b4c1cd58d9e0d21f864a6b5d44447b2c41747f4fecbd4680f5961811a6bd7
/mnt/raid5/janghj/ODE-edit/local/checkpoint-mechanism-audit/20260920-v1/resume-no-gates-r1/publication-r1/activation_margin.csv,activation_margin.csv,MEASURED_LOCAL_RETAINED,25125.0,1d0827db0addef8aed1a84f8574c2bcd99db6843c2f27aaee9869ee5ed6ca767
timing.json,timing.json,GENERATED_PUBLICATION,,
report-ko.md,report-ko.md,GENERATED_PUBLICATION,,
