history_batch,seconds,factor_seconds,solve_verification_seconds,bank_prepare_seconds,downstream_algebra_and_verification_seconds,cache_io_seconds,peak_gpu_bytes,peak_rss_kib
0,19.10568279121071,14.448420887812972,2.9431903706863523,0.0550822997465729,1.6589896827936172,0.2745597353205085,10893306880,3651460
1,18.775757151655853,14.397111748345196,2.8201995324343443,0.0423687808215618,1.5160775305703282,0.295394092798233,10893306880,4074044
10,18.85739143006504,14.415139678865671,2.8195439893752337,0.1368156056851148,1.4858938856050372,0.3027868848294019,10893306880,4074044
100,18.424392689950764,14.423942126333714,2.84240965731442,0.0603949688374996,1.0976466573774817,0.2864017412066459,10893306880,4085252
5,18.7638296848163,14.527956429868937,2.8418702110648155,0.0464241662994027,1.3475803676992657,0.2811365341767669,10893306880,4085392
20,18.798719028942287,14.52777162566781,2.8415931053459644,0.0729437703266739,1.3564114077016711,0.3522408735007047,10893306880,4096608
30,18.37777689937502,14.52757339272648,2.8404402090236545,0.0585006084293127,0.9512632489204408,0.2803511274978518,10893306880,4096608
40,18.35983255505562,14.52783957310021,2.841454234905541,0.0387914553284645,0.951747691258788,0.2897613421082496,10893306880,4096608
50,18.838358225300908,14.527687594294548,2.8413124438375235,0.1235555913299322,1.3458048459142449,0.2830747170373797,10893306880,4096608
60,18.378410945646465,14.527440474368632,2.841073495335877,0.0582313127815723,0.9516668431460856,0.2759118285030126,10893306880,4096608
70,18.36828619707376,14.527480117976664,2.841267386451364,0.0440013324841856,0.9555388502776624,0.2846309645101428,10893306880,4096608
80,18.44953056797385,14.52736849244684,2.841182416304946,0.1263433508574962,0.9546377779915928,0.2929486585780978,10893306880,4096608
90,18.75164151377976,14.527733753435314,2.8413625322282314,0.0440820669755339,1.338464630767703,0.2913573943078518,10893306880,4096608
