arrival_batch,metric_tag,numerator,denominator,strict_numerator,token_correct,token_denominator,safety_margin_mean,safety_margin_q05,anchor
14,NS,761,1000,172,182,1010,3.612789695629152,-3.859567996114492,ACTUAL_ARRIVAL_CURRENT_JSON
14,PS,193,200,142,142,200,8.542239178731542,1.08269476890564,ACTUAL_ARRIVAL_CURRENT_JSON
14,RP_JOINT,93,100,56,242,300,6.734950952094514,-0.7098719596862791,ACTUAL_ARRIVAL_CURRENT_JSON
14,RS,100,100,100,100,100,14.48124890523286,8.312108943308704,ACTUAL_ARRIVAL_CURRENT_JSON
15,NS,799,1000,150,160,1010,3.988716524546093,-3.700827116519213,ACTUAL_ARRIVAL_CURRENT_JSON
15,PS,196,200,138,141,204,8.926355830615503,2.1143330097198487,ACTUAL_ARRIVAL_CURRENT_JSON
15,RP_JOINT,96,100,53,243,306,7.387178360538091,1.21134614944458,ACTUAL_ARRIVAL_CURRENT_JSON
15,RS,100,100,100,102,102,14.874509148560538,9.980787292745664,ACTUAL_ARRIVAL_CURRENT_JSON
16,NS,753,1000,165,175,1010,3.117765463587537,-3.960993719100952,ACTUAL_ARRIVAL_CURRENT_JSON
16,PS,197,200,160,160,200,9.192834034118569,2.231632113456726,ACTUAL_ARRIVAL_CURRENT_JSON
16,RP_JOINT,98,100,69,260,300,7.631500244509371,1.1029482647776605,ACTUAL_ARRIVAL_CURRENT_JSON
16,RS,100,100,100,100,100,14.118927004678262,8.518335960060359,ACTUAL_ARRIVAL_CURRENT_JSON
17,NS,772,1000,166,166,1000,3.375877470915206,-4.212503284215927,ACTUAL_ARRIVAL_CURRENT_JSON
17,PS,195,200,146,149,204,9.000287345032266,1.4362440586090088,ACTUAL_ARRIVAL_CURRENT_JSON
17,RP_JOINT,96,100,64,251,306,7.633021574320737,0.8949217319488526,ACTUAL_ARRIVAL_CURRENT_JSON
17,RS,100,100,100,102,102,14.571945495795736,8.853796303615672,ACTUAL_ARRIVAL_CURRENT_JSON
18,NS,806,1000,161,171,1010,3.549458414871246,-3.8088063716888425,ACTUAL_ARRIVAL_CURRENT_JSON
18,PS,198,200,139,139,200,9.250433461955982,1.9251477748155597,ACTUAL_ARRIVAL_CURRENT_JSON
18,RP_JOINT,99,100,57,238,300,7.878048495233525,0.8519700288772583,ACTUAL_ARRIVAL_CURRENT_JSON
18,RS,100,100,99,99,100,14.78520292099347,8.656399120087736,ACTUAL_ARRIVAL_CURRENT_JSON
19,NS,786,1000,165,165,1000,4.025993863367709,-3.896469593048096,ACTUAL_ARRIVAL_CURRENT_JSON
19,PS,195,200,149,149,200,8.945334626345721,1.9004634380340584,ACTUAL_ARRIVAL_CURRENT_JSON
19,RP_JOINT,95,100,62,249,300,7.115769599525956,0.0371997356414795,ACTUAL_ARRIVAL_CURRENT_JSON
19,RS,100,100,100,100,100,14.357332630119782,8.19110008357966,ACTUAL_ARRIVAL_CURRENT_JSON
20,NS,800,1000,140,160,1020,3.634109189425362,-5.207666516304016,ACTUAL_ARRIVAL_CURRENT_JSON
20,PS,195,200,145,145,200,9.470199095864665,1.5893648922443393,ACTUAL_ARRIVAL_CURRENT_JSON
20,RP_JOINT,97,100,60,245,300,8.04648761554272,1.0554017663002015,ACTUAL_ARRIVAL_CURRENT_JSON
20,RS,100,100,100,100,100,15.020081533709671,7.749964946124237,ACTUAL_ARRIVAL_CURRENT_JSON
21,NS,774,1000,170,190,1020,3.812935968469072,-3.937967818975448,ACTUAL_ARRIVAL_CURRENT_JSON
21,PS,192,200,131,135,204,8.138399332900299,1.806395483016968,ACTUAL_ARRIVAL_CURRENT_JSON
21,RP_JOINT,94,100,47,236,306,6.617093857808504,-1.731055760383606,ACTUAL_ARRIVAL_CURRENT_JSON
21,RS,100,100,99,101,102,14.549827470828603,8.793169928214047,ACTUAL_ARRIVAL_CURRENT_JSON
22,NS,789,1000,158,168,1010,3.282458323340121,-3.906704664230346,ACTUAL_ARRIVAL_CURRENT_JSON
22,PS,194,200,142,144,202,8.90781448722555,1.3597125053405763,ACTUAL_ARRIVAL_CURRENT_JSON
22,RP_JOINT,96,100,57,245,303,7.277955412957818,0.9398616313934328,ACTUAL_ARRIVAL_CURRENT_JSON
22,RS,100,100,100,101,101,14.573345155017597,10.012198156757222,ACTUAL_ARRIVAL_CURRENT_JSON
23,NS,775,1000,154,161,1010,3.2638255561074474,-5.6675656795501705,ACTUAL_ARRIVAL_CURRENT_JSON
23,PS,194,200,135,135,200,9.069389563060613,0.8899739265441897,ACTUAL_ARRIVAL_CURRENT_JSON
23,RP_JOINT,94,100,52,235,300,7.455380748345051,-0.098257827758789,ACTUAL_ARRIVAL_CURRENT_JSON
23,RS,100,100,100,100,100,14.900950155879473,8.59616086431779,ACTUAL_ARRIVAL_CURRENT_JSON
24,NS,771,1000,157,177,1020,3.108384340430144,-4.691663262248039,ACTUAL_ARRIVAL_CURRENT_JSON
24,PS,188,200,122,128,206,8.016370397293503,-0.9673644304275506,ACTUAL_ARRIVAL_CURRENT_JSON
24,RP_JOINT,90,100,46,230,309,6.434579661553143,-2.2662548422813416,ACTUAL_ARRIVAL_CURRENT_JSON
24,RS,100,100,99,102,103,14.158057238842591,7.686984280135948,ACTUAL_ARRIVAL_CURRENT_JSON
25,NS,771,1000,126,136,1020,3.075633709632275,-4.580511617660522,ACTUAL_ARRIVAL_CURRENT_JSON
25,PS,196,200,146,148,202,8.733099664467737,1.2542550504207612,ACTUAL_ARRIVAL_CURRENT_JSON
25,RP_JOINT,97,100,56,249,303,7.161781352463295,0.3261021256446838,ACTUAL_ARRIVAL_CURRENT_JSON
25,RS,100,100,100,101,101,14.259509113363784,8.482564259436913,ACTUAL_ARRIVAL_CURRENT_JSON
26,NS,760,1000,132,132,1000,2.8807780447229745,-4.860450160503388,ACTUAL_ARRIVAL_CURRENT_JSON
26,PS,196,200,143,149,206,9.127903336782328,1.5963956356048583,ACTUAL_ARRIVAL_CURRENT_JSON
26,RP_JOINT,96,100,54,252,309,7.428701278330409,0.6711009979248047,ACTUAL_ARRIVAL_CURRENT_JSON
26,RS,100,100,100,103,103,14.373676538566578,7.593610210297629,ACTUAL_ARRIVAL_CURRENT_JSON
27,NS,806,1000,189,189,1000,3.818946806308348,-4.342681115120649,ACTUAL_ARRIVAL_CURRENT_JSON
27,PS,192,200,143,144,202,8.421395480659848,0.5227902889251709,ACTUAL_ARRIVAL_CURRENT_JSON
27,RP_JOINT,94,100,54,244,303,6.950425870988983,-0.3524549961090087,ACTUAL_ARRIVAL_CURRENT_JSON
27,RS,100,100,99,100,101,14.661131005081495,8.50708201956004,ACTUAL_ARRIVAL_CURRENT_JSON
28,NS,721,1000,158,158,1000,2.933173586806748,-5.290007017366588,ACTUAL_ARRIVAL_CURRENT_JSON
28,PS,194,200,141,147,206,8.96485867876676,1.9818042516708376,ACTUAL_ARRIVAL_CURRENT_JSON
28,RP_JOINT,96,100,53,249,309,7.292529123111162,1.443275260925293,ACTUAL_ARRIVAL_CURRENT_JSON
28,RS,100,100,99,102,103,14.650673567076664,8.70220272601,ACTUAL_ARRIVAL_CURRENT_JSON
29,NS,721,1000,108,126,1020,2.286496344030602,-5.602791512012481,ACTUAL_ARRIVAL_CURRENT_JSON
29,PS,191,200,137,139,202,9.39956471072197,1.3570242881774914,ACTUAL_ARRIVAL_CURRENT_JSON
29,RP_JOINT,94,100,53,240,303,7.720187009703368,-0.6323621332645416,ACTUAL_ARRIVAL_CURRENT_JSON
29,RS,100,100,100,101,101,15.05846538143327,8.678959117579506,ACTUAL_ARRIVAL_CURRENT_JSON
30,NS,717,1000,120,140,1020,2.5036321828616783,-6.078889846801758,ACTUAL_ARRIVAL_CURRENT_JSON
30,PS,190,200,138,140,202,8.15188842484822,0.4996003627777106,ACTUAL_ARRIVAL_CURRENT_JSON
30,RP_JOINT,92,100,55,241,303,6.636771907769144,-1.3196562767028808,ACTUAL_ARRIVAL_CURRENT_JSON
30,RS,100,100,100,101,101,14.661292067664965,8.877754902117886,ACTUAL_ARRIVAL_CURRENT_JSON
31,NS,748,1000,165,165,1000,2.6328136929717147,-4.146638602018356,ACTUAL_ARRIVAL_CURRENT_JSON
31,PS,193,200,134,136,202,8.352032156408969,0.964731740951538,ACTUAL_ARRIVAL_CURRENT_JSON
31,RP_JOINT,94,100,50,237,303,6.846816108755302,-0.0935897827148437,ACTUAL_ARRIVAL_CURRENT_JSON
31,RS,100,100,100,101,101,13.784309045033588,8.471950724488124,ACTUAL_ARRIVAL_CURRENT_JSON
32,NS,768,1000,138,138,1000,3.054903851829469,-4.909936928749085,ACTUAL_ARRIVAL_CURRENT_JSON
32,PS,200,200,152,154,202,9.459342756279511,2.682445001602173,ACTUAL_ARRIVAL_CURRENT_JSON
32,RP_JOINT,100,100,61,253,303,8.029017833436374,1.824908828735352,ACTUAL_ARRIVAL_CURRENT_JSON
32,RS,100,100,98,99,101,14.805932056132953,9.088739333028206,ACTUAL_ARRIVAL_CURRENT_JSON
33,NS,674,1000,102,112,1010,2.106879119569261,-6.136901473999023,ACTUAL_ARRIVAL_CURRENT_JSON
33,PS,195,200,147,151,204,9.27645909080049,2.3073207259178163,ACTUAL_ARRIVAL_CURRENT_JSON
33,RP_JOINT,95,100,57,250,306,7.776726113815093,0.2082475662231445,ACTUAL_ARRIVAL_CURRENT_JSON
33,RS,100,100,97,99,102,14.180281275655323,7.697997182025574,ACTUAL_ARRIVAL_CURRENT_JSON
34,NS,744,1000,160,170,1010,2.767117516863393,-4.915502272360027,ACTUAL_ARRIVAL_CURRENT_JSON
34,PS,195,200,142,146,204,8.718769684167636,1.2111848413944246,ACTUAL_ARRIVAL_CURRENT_JSON
34,RP_JOINT,96,100,53,248,306,7.109276025383733,0.1529860496520996,ACTUAL_ARRIVAL_CURRENT_JSON
34,RS,100,100,100,102,102,14.178134385628528,8.462944949488156,ACTUAL_ARRIVAL_CURRENT_JSON
35,NS,732,1000,130,139,1010,2.6913293716534974,-5.133832216262817,ACTUAL_ARRIVAL_CURRENT_JSON
35,PS,195,200,143,147,204,8.484108327293653,1.5524721622467044,ACTUAL_ARRIVAL_CURRENT_JSON
35,RP_JOINT,95,100,55,248,306,6.785534798623994,0.0552486419677735,ACTUAL_ARRIVAL_CURRENT_JSON
35,RS,100,100,99,101,102,14.142461384404012,8.531613370485138,ACTUAL_ARRIVAL_CURRENT_JSON
36,NS,716,1000,106,116,1010,2.5135730083659293,-4.810792183876037,ACTUAL_ARRIVAL_CURRENT_JSON
36,PS,196,200,149,153,204,9.656001043315046,1.8049578621983529,ACTUAL_ARRIVAL_CURRENT_JSON
