history_batch,target_batch,kind,rows,energy_mean,energy_min,energy_max,target_error_mean
0,1,ORIGINAL_ALIGNMENT,1,57.91495296617496,57.91495296617496,57.91495296617496,0.1303553063363437
0,1,R_COLUMN_PERMUTATION,20,58.624840717170045,58.39390375589089,58.97451575121956,0.1312295749168957
0,2,ORIGINAL_ALIGNMENT,1,57.75622201692289,57.75622201692289,57.75622201692289,0.1326158965006368
0,2,R_COLUMN_PERMUTATION,20,58.52720523740879,58.15757792024697,58.86127454307409,0.133366046598363
1,1,ORIGINAL_ALIGNMENT,1,16.65904543391489,16.65904543391489,16.65904543391489,0.5336465297414499
1,1,R_COLUMN_PERMUTATION,20,16.86699640242752,16.784090232421846,16.979675689550394,0.5340513503677878
1,2,ORIGINAL_ALIGNMENT,1,59.54150277746688,59.54150277746688,59.54150277746688,0.1367859653004155
1,2,R_COLUMN_PERMUTATION,20,60.15658529203986,59.74765606887006,60.46158071992728,0.1371203567618325
10,1,ORIGINAL_ALIGNMENT,1,19.326778868464388,19.326778868464388,19.326778868464388,0.5428438090198556
10,1,R_COLUMN_PERMUTATION,20,19.32903447115184,19.20558050973733,19.454663702084748,0.5422577072837899
10,2,ORIGINAL_ALIGNMENT,1,19.33947180434554,19.33947180434554,19.33947180434554,0.5409101128536423
10,2,R_COLUMN_PERMUTATION,20,19.464837825407123,19.29978351515307,19.65921639416608,0.5410492722807965
100,1,ORIGINAL_ALIGNMENT,1,28.24455913229008,28.24455913229008,28.24455913229008,0.6036562074135062
100,1,R_COLUMN_PERMUTATION,20,28.14365211540371,27.938291776548432,28.392228009949005,0.5991461016060147
100,2,ORIGINAL_ALIGNMENT,1,28.221019892794803,28.221019892794803,28.221019892794803,0.601835816720719
100,2,R_COLUMN_PERMUTATION,20,28.24225714671509,28.04106575667712,28.47192822236721,0.5998741884225891
