model,comparison,left,right,delta_rewrite_target_new_nll_mean,delta_rephrase_target_new_nll_mean,delta_rewrite_success_numerator,delta_rewrite_accuracy_numerator,delta_rephrase_success_numerator,delta_strict_rephrase_success_numerator,delta_rephrase_accuracy_numerator,delta_strict_rephrase_accuracy_numerator,delta_locality_numerator,delta_rewrite_W_minus_z_nll,delta_rephrase_W_minus_z_nll,delta_total_actual_fp32_update_energy
Llama3-8B-Instruct,TARGET_M25_MINUS_M5,TARGET_ONLY_M25_Z,TARGET_ONLY_M5_Z,-0.2277387756987082,-0.41880184897672734,0,4,1,1,20,12,0,,,
Llama3-8B-Instruct,C1_MINUS_C0_Z,C1-FH_Z,C0-FH_Z,0.4285773372650148,0.08499583721160953,8,0,-5,-13,0,0,27,,,
Llama3-8B-Instruct,C1_MINUS_C0_W,C1-FH_W,C0-FH_W,0.428193273544311,0.08478472232818568,8,0,-5,-13,0,0,27,-0.0003840637207037645,-0.00021111488342384632,1006830521491386.8
Llama3-8B-Instruct,C1_MINUS_C3_W,C1-FH_W,C3-FH_W,14.260579027612838,11.77337976552837,-47,-98,-86,-61,-117,-42,-342,0.0004326823953302028,-0.6559158940409553,1006923672675507.5
Llama3-8B-Instruct,C3_MINUS_ALPHA_W,C3-FH_W,Official-AlphaEdit_W,0.14684853123406355,0.30741855157481024,0,-2,-2,-1,-5,-2,-4,-0.000672683660777692,-0.16588841893186346,24.744540468704656
Llama3-8B-Instruct,C3_MINUS_MEMIT_W,C3-FH_W,Official-MEMIT_W,-0.19860893197590485,-0.747366750304209,2,2,20,11,17,6,-19,-0.34641561415613975,-1.2275844283042534,48.17154678438213
Qwen2.5-7B-Instruct,TARGET_M25_MINUS_M5,TARGET_ONLY_M25_Z,TARGET_ONLY_M5_Z,-0.6868603744254506,-1.0033494627911932,3,14,12,10,32,16,0,,,
Qwen2.5-7B-Instruct,C1_MINUS_C0_Z,C1-FH_Z,C0-FH_Z,0.7943034267425553,0.5401668643951432,-11,0,8,3,0,0,-7,,,
Qwen2.5-7B-Instruct,C1_MINUS_C0_W,C1-FH_W,C0-FH_W,0.7942772006988523,0.540140790939331,-11,0,8,3,0,0,-7,-2.6226043702948232e-05,-2.6073455812181123e-05,-1151826591298782.5
Qwen2.5-7B-Instruct,C1_MINUS_C3_W,C1-FH_W,C3-FH_W,16.474992780938486,14.315676857014514,-56,-100,-76,-54,-126,-48,-289,5.513821508372985e-05,-0.057581674977520425,2704889932717770.5
Qwen2.5-7B-Instruct,C3_MINUS_ALPHA_W,C3-FH_W,Official-AlphaEdit_W,-0.05274588350177738,0.37938393543918214,0,1,-16,-11,-9,-5,-30,-0.0003121945140992491,-0.17280700964656703,3330.2994556372755
Qwen2.5-7B-Instruct,C3_MINUS_MEMIT_W,C3-FH_W,Official-MEMIT_W,-0.01963351557759097,0.37576331052059686,0,0,-16,-11,-7,-4,-34,0.002047602778638977,-0.17552837008797706,433.0949130658528
