model,endpoint,role,z_source,rewrite_target_new_nll_mean,rewrite_target_true_nll_mean,rewrite_success_numerator,rewrite_success_denominator,rewrite_success_rate,rewrite_accuracy_numerator,rewrite_accuracy_denominator,rewrite_accuracy_rate,rephrase_target_new_nll_mean,rephrase_target_true_nll_mean,rephrase_success_numerator,rephrase_success_denominator,rephrase_success_rate,strict_rephrase_success_numerator,strict_rephrase_success_denominator,strict_rephrase_success_rate,rephrase_accuracy_numerator,rephrase_accuracy_denominator,rephrase_accuracy_rate,strict_rephrase_accuracy_numerator,strict_rephrase_accuracy_denominator,strict_rephrase_accuracy_rate,locality_numerator,locality_denominator,locality_rate,rewrite_W_minus_z_nll,rephrase_W_minus_z_nll,total_actual_fp32_update_energy
Llama3-8B-Instruct,PRE_EDIT_W0,W0,PRE_EDIT_W0,11.102700235843658,4.942956403158605,13,100,0.13,0,100,0.0,9.821011565327645,5.002348951343447,28,200,0.14,8,100,0.08,1,200,0.005,0,100,0.0,893,1000,0.893,,,
Llama3-8B-Instruct,TARGET_ONLY_M5_Z,Z,TARGET_ONLY_M5_Z,0.22854616022952542,11.159915361404419,100,100,1.0,96,100,0.96,1.516556816395023,9.700552584771067,196,200,0.98,97,100,0.97,130,200,0.65,50,100,0.5,893,1000,0.893,,,
Llama3-8B-Instruct,TARGET_ONLY_M25_Z,Z,TARGET_ONLY_M25_Z,0.0008073845308172168,14.862382464408874,100,100,1.0,100,100,1.0,1.0977549674182956,11.356379470527171,197,200,0.985,98,100,0.98,150,200,0.75,62,100,0.62,893,1000,0.893,,,
Llama3-8B-Instruct,C0-FH_Z,Z,C0-FH_Z,13.98024582862854,13.57673414707184,45,100,0.45,0,100,0.0,13.9166304063797,13.93377980709076,103,200,0.515,39,100,0.39,0,200,0.0,0,100,0.0,498,1000,0.498,,,
Llama3-8B-Instruct,C0-FH_W,W,C0-FH_Z,13.980631818771363,13.577078080177307,45,100,0.45,0,100,0.0,13.916842522621154,13.933971037864685,103,200,0.515,39,100,0.39,0,200,0.0,0,100,0.0,498,1000,0.498,0.0003859901428224788,0.00021211624145500707,93151184244.64038
Llama3-8B-Instruct,C1-FH_Z,Z,C1-FH_Z,14.408823165893555,14.417692413330078,53,100,0.53,0,100,0.0,14.001626243591309,13.989581298828124,98,200,0.49,26,100,0.26,0,200,0.0,0,100,0.0,525,1000,0.525,,,
Llama3-8B-Instruct,C1-FH_W,W,C1-FH_Z,14.408825092315674,14.417694320678711,53,100,0.53,0,100,0.0,14.00162724494934,13.989582633972168,98,200,0.49,26,100,0.26,0,200,0.0,0,100,0.0,525,1000,0.525,1.9264221187142994e-06,1.0013580311607484e-06,1006923672675631.4
Llama3-8B-Instruct,C3-FH_Z,Z,C3-FH_Z,0.14867682067604618,13.092323932647705,100,100,1.0,98,100,0.98,1.5723305840219837,10.635150166153908,193,200,0.965,94,100,0.94,139,200,0.695,57,100,0.57,867,1000,0.867,,,
Llama3-8B-Instruct,C3-FH_W,W,C3-FH_Z,0.1482460647028347,13.098526406288148,100,100,1.0,98,100,0.98,2.22824747942097,9.290303277149796,184,200,0.92,87,100,0.87,117,200,0.585,42,100,0.42,867,1000,0.867,-0.0004307559732114885,0.6559168953989865,123.91806904025836
Llama3-8B-Instruct,Official-AlphaEdit_Z,Z,Official-AlphaEdit_Z,0.0011556057812049402,14.55503891468048,100,100,1.0,100,100,1.0,1.09902361351531,11.194963054060937,197,200,0.985,98,100,0.98,151,200,0.755,63,100,0.63,871,1000,0.871,,,
Llama3-8B-Instruct,Official-AlphaEdit_W,W,Official-AlphaEdit_Z,0.0013975334687711437,14.436127996444702,100,100,1.0,100,100,1.0,1.9208289278461599,9.410299559384585,186,200,0.93,88,100,0.88,122,200,0.61,44,100,0.44,871,1000,0.871,0.00024192768756620348,0.8218053143308499,99.1735285715537
Llama3-8B-Instruct,Official-MEMIT_Z,Z,Official-MEMIT_Z,0.0008701384958112612,14.768056874275208,100,100,1.0,100,100,1.0,1.0921129060219392,11.23709006547928,197,200,0.985,98,100,0.98,150,200,0.75,62,100,0.62,886,1000,0.886,,,
Llama3-8B-Instruct,Official-MEMIT_W,W,Official-MEMIT_Z,0.34685499667873954,11.506425999067723,98,100,0.98,96,100,0.96,2.975614229725179,7.9972281640022995,164,200,0.82,76,100,0.76,100,200,0.5,36,100,0.36,886,1000,0.886,0.3459848581829283,1.8835013237032399,75.74652225587623
Qwen2.5-7B-Instruct,PRE_EDIT_W0,W0,PRE_EDIT_W0,10.371339614391326,5.325201855693012,11,100,0.11,0,100,0.0,10.019638007581234,5.539293149076403,39,200,0.195,10,100,0.1,1,200,0.005,0,100,0.0,849,1000,0.849,,,
Qwen2.5-7B-Instruct,TARGET_ONLY_M5_Z,Z,TARGET_ONLY_M5_Z,0.6888234861430829,11.819975042939186,97,100,0.97,86,100,0.86,2.43969210632029,10.280909616947174,183,200,0.915,87,100,0.87,114,200,0.57,46,100,0.46,849,1000,0.849,,,
Qwen2.5-7B-Instruct,TARGET_ONLY_M25_Z,Z,TARGET_ONLY_M25_Z,0.001963111717632273,17.023361020088196,100,100,1.0,100,100,1.0,1.4363426435290967,12.719730355143547,195,200,0.975,97,100,0.97,146,200,0.73,62,100,0.62,849,1000,0.849,,,
Qwen2.5-7B-Instruct,C0-FH_Z,Z,C0-FH_Z,15.680718765258788,15.905524473190308,55,100,0.55,0,100,0.0,15.909144163131714,15.706642737388611,93,200,0.465,28,100,0.28,0,200,0.0,0,100,0.0,514,1000,0.514,,,
Qwen2.5-7B-Instruct,C0-FH_W,W,C0-FH_Z,15.680800170898438,15.905534029006958,55,100,0.55,0,100,0.0,15.909219632148742,15.706651124954224,93,200,0.465,28,100,0.28,0,200,0.0,0,100,0.0,514,1000,0.514,8.140563964964542e-05,7.546901702859543e-05,3856716524022259.5
Qwen2.5-7B-Instruct,C1-FH_Z,Z,C1-FH_Z,16.475022192001344,16.054942827224732,44,100,0.44,0,100,0.0,16.449311027526857,16.382524394989012,101,200,0.505,31,100,0.31,0,200,0.0,0,100,0.0,507,1000,0.507,,,
Qwen2.5-7B-Instruct,C1-FH_W,W,C1-FH_Z,16.47507737159729,16.05494993209839,44,100,0.44,0,100,0.0,16.449360423088073,16.382530941963196,101,200,0.505,31,100,0.31,0,200,0.0,0,100,0.0,507,1000,0.507,5.517959594669719e-05,4.939556121641431e-05,2704889932723477.0
Qwen2.5-7B-Instruct,C3-FH_Z,Z,C3-FH_Z,8.454927794218747e-05,18.43364300727844,100,100,1.0,100,100,1.0,2.0760524955348227,10.133778558298946,181,200,0.905,86,100,0.86,128,200,0.64,48,100,0.48,796,1000,0.796,,,
Qwen2.5-7B-Instruct,C3-FH_W,W,C3-FH_Z,8.459065880515481e-05,18.426852283477782,100,100,1.0,100,100,1.0,2.1336835660735596,10.07391697101295,177,200,0.885,85,100,0.85,126,200,0.63,48,100,0.48,796,1000,0.796,4.138086296733912e-08,0.05763107053873684,5706.612612538096
Qwen2.5-7B-Instruct,Official-AlphaEdit_Z,Z,Official-AlphaEdit_Z,0.05251823826562031,14.740905590057373,100,100,1.0,99,100,0.99,1.5238615504490736,11.912541080117226,195,200,0.975,97,100,0.97,144,200,0.72,59,100,0.59,826,1000,0.826,,,
Qwen2.5-7B-Instruct,Official-AlphaEdit_W,W,Official-AlphaEdit_Z,0.05283047416058253,14.723821816444397,100,100,1.0,99,100,0.99,1.7542996306343774,11.686103305071592,193,200,0.965,96,100,0.96,135,200,0.675,53,100,0.53,826,1000,0.826,0.00031223589496221643,0.23043808018530387,2376.3131569008206
Qwen2.5-7B-Instruct,Official-MEMIT_Z,Z,Official-MEMIT_Z,0.021765667634172134,14.779822378158569,100,100,1.0,100,100,1.0,1.5247608149262488,11.874771919548511,195,200,0.975,97,100,0.97,145,200,0.725,61,100,0.61,830,1000,0.83,,,
Qwen2.5-7B-Instruct,Official-MEMIT_W,W,Official-MEMIT_Z,0.019718106236396124,15.060031476020812,100,100,1.0,100,100,1.0,1.7579202555529627,11.626662761867046,193,200,0.965,96,100,0.96,133,200,0.665,52,100,0.52,830,1000,0.83,-0.00204756139777601,0.2331594406267139,5273.517699472243
