model,arm,outer_step_index,pi,beta,minimax_t,selected_p,selected_c,selected_p_normalized,selected_c_normalized,stationarity_residual,primal_residual,complementarity_residual,kkt_active_set_tolerance,fallback_count,hard_budget_count
Llama3-8B-Instruct,C0-FH,0,"[0.19940073559324603,0.22541435189801723,0.2130388437958041,0.17666020169814808,0.1854858670147844]","[0.1994007355932461,0.28155703098859314,0.3703832266159593,0.4878147713324588,1.0]",,0.0010609736169384359,,,,,,,NOT_RECORDED,0,0
Llama3-8B-Instruct,C0-FH,1,"[0.0,0.0,0.0,1.0,0.0]","[0.0,0.0,0.0,1.0,0.0]",,0.0037984858246360967,,,,,,,NOT_RECORDED,0,0
Llama3-8B-Instruct,C0-FH,2,"[0.0,0.24071691756429428,0.08837561228741761,0.1434621199849169,0.5274453501633712]","[0.0,0.24071691756429428,0.11639349582756052,0.2138329447326142,1.0]",,0.08082516738518997,,,,,,,NOT_RECORDED,0,0
Llama3-8B-Instruct,C0-FH,3,"[0.0,0.9118540984624469,0.0,0.0,0.08814590153755311]","[0.0,0.9118540984624469,0.0,0.0,1.0]",,0.0014142443687259778,,,,,,,NOT_RECORDED,0,0
Llama3-8B-Instruct,C0-FH,4,"[0.0,0.041524331539532854,0.9584756684604672,0.0,0.0]","[0.0,0.041524331539532854,1.0,0.0,0.0]",,6.0889470163687055e-06,,,,,,,NOT_RECORDED,0,0
Llama3-8B-Instruct,C0-FH,5,,,,,,,,,,,NOT_RECORDED,0,0
Llama3-8B-Instruct,C0-FH,6,,,,,,,,,,,NOT_RECORDED,0,0
Llama3-8B-Instruct,C0-FH,7,"[0.9999925583960251,0.0,5.633542197707306e-07,6.180237122488513e-06,6.980126326976271e-07]","[0.9999925583960251,0.0,0.07570333246254153,0.8985188590787457,1.0]",,0.0004417532460570386,,,,,,,NOT_RECORDED,0,0
Llama3-8B-Instruct,C1-FH,0,"[0.18323302268981934,0.21578222513198853,0.22090256214141846,0.20100831985473633,0.17907385528087616]","[0.18323302542020417,0.26419068726231043,0.3675676742512528,0.528854897715256,1.0]",0.9929333951105619,1.1176473465093147e-05,0.0040990508362076265,0.9929333951105926,0.992933395110594,1.1537776118301384e-15,,1.8727822833424847e-09,NOT_RECORDED,0,0
Llama3-8B-Instruct,C1-FH,1,"[0.1975097805261612,0.19883720576763153,0.1832243651151657,0.19015327095985413,0.23027537763118744]","[0.1975097805261612,0.2477752388035349,0.3035259676585321,0.4522842855668944,1.0]",0.9939720813377232,0.005329792735968305,2.138705593985793,0.9939720813377232,0.993972081337723,9.899056296961976e-16,,6.928115593143414e-13,NOT_RECORDED,0,0
Llama3-8B-Instruct,C1-FH,2,,,,,,,,,,,NOT_RECORDED,0,0
Llama3-8B-Instruct,C1-FH,3,"[0.1872357577085495,0.1800396889448166,0.19844403862953186,0.22522975504398346,0.20905077457427979]","[0.18723575491851932,0.22151526392990747,0.3136341602461924,0.5186273380525777,1.0]",0.9937262843670285,2.9489508309975,1513.0896135120943,0.9937262843670366,0.9809788102484295,1.0181102274354482e-15,,2.8944676910667837e-08,NOT_RECORDED,0,0
Llama3-8B-Instruct,C1-FH,4,,,,,,,,,,,NOT_RECORDED,0,0
Llama3-8B-Instruct,C1-FH,5,,,,,,,,,,,NOT_RECORDED,0,0
