model,endpoint,weight,layer,actual_fp32_update_norm,actual_fp32_norm_share,actual_fp32_update_energy,actual_fp32_squared_energy_share,total_actual_fp32_update_energy,nonfinite_count
Llama3-8B-Instruct,C0-FH,model.layers.4.mlp.down_proj.weight,4,17129.19825710493,0.0410540675228675,293409432.9312066,0.003149819675514092,93151184244.64038,0
Llama3-8B-Instruct,C0-FH,model.layers.5.mlp.down_proj.weight,5,2001.361967102413,0.004796724756282214,4005449.7233640403,4.2999450364953365e-05,93151184244.64038,0
Llama3-8B-Instruct,C0-FH,model.layers.6.mlp.down_proj.weight,6,21665.842627669932,0.05192718029328917,469408736.76695955,0.005039213839022855,93151184244.64038,0
Llama3-8B-Instruct,C0-FH,model.layers.7.mlp.down_proj.weight,7,84461.67376850778,0.20243184800248668,7133774335.777836,0.07658275515899617,93151184244.64038,0
Llama3-8B-Instruct,C0-FH,model.layers.8.mlp.down_proj.weight,8,291977.0304141081,0.6997901794250745,85250586289.44101,0.9151852118761019,93151184244.64038,0
Llama3-8B-Instruct,C1-FH,model.layers.4.mlp.down_proj.weight,4,386231.6853929398,0.008513048579959088,149174914801.4708,0.00014814917838318193,1006923672675631.4,0
Llama3-8B-Instruct,C1-FH,model.layers.5.mlp.down_proj.weight,5,3472098.925844954,0.0765295752472259,12055470950853.684,0.011972576748364135,1006923672675631.4,0
Llama3-8B-Instruct,C1-FH,model.layers.6.mlp.down_proj.weight,6,4334567.672968913,0.09553950793955007,18788476911547.133,0.018659286122076922,1006923672675631.4,0
Llama3-8B-Instruct,C1-FH,model.layers.7.mlp.down_proj.weight,7,6653302.309868077,0.1466474344885437,44266431626495.88,0.04396205276301592,1006923672675631.4,0
Llama3-8B-Instruct,C1-FH,model.layers.8.mlp.down_proj.weight,8,30523173.46332018,0.6727704337447212,931664118271933.2,0.9252579351881599,1006923672675631.4,0
Llama3-8B-Instruct,C3-FH,model.layers.4.mlp.down_proj.weight,4,2.953646168751716,0.12731854574418364,8.724025690181692,0.07040156256265938,123.91806904025836,0
Llama3-8B-Instruct,C3-FH,model.layers.5.mlp.down_proj.weight,5,3.160239353630527,0.13622385882389684,9.987112772235092,0.08059448351305805,123.91806904025836,0
Llama3-8B-Instruct,C3-FH,model.layers.6.mlp.down_proj.weight,6,3.8868445883757112,0.16754457787162394,15.107560854185554,0.12191572198625389,123.91806904025836,0
Llama3-8B-Instruct,C3-FH,model.layers.7.mlp.down_proj.weight,7,5.373519290629732,0.23162851016119945,28.87470956676985,0.23301452153349056,123.91806904025836,0
Llama3-8B-Instruct,C3-FH,model.layers.8.mlp.down_proj.weight,8,7.8246188505821905,0.33728450739909616,61.224660156886166,0.49407371040453807,123.91806904025836,0
Llama3-8B-Instruct,Official-AlphaEdit,model.layers.4.mlp.down_proj.weight,4,2.912284806473503,0.13786487460289082,8.48140279401641,0.08552083319186407,99.1735285715537,0
Llama3-8B-Instruct,Official-AlphaEdit,model.layers.5.mlp.down_proj.weight,5,3.060717836561932,0.14489155723866226,9.367993675048353,0.09446062684246781,99.1735285715537,0
Llama3-8B-Instruct,Official-AlphaEdit,model.layers.6.mlp.down_proj.weight,6,3.632370749692615,0.17195307849165098,13.194117263222491,0.1330407161393167,99.1735285715537,0
Llama3-8B-Instruct,Official-AlphaEdit,model.layers.7.mlp.down_proj.weight,7,4.813800178385465,0.22788085714738412,23.172672157423932,0.23365783683601465,99.1735285715537,0
Llama3-8B-Instruct,Official-AlphaEdit,model.layers.8.mlp.down_proj.weight,8,6.705023689879292,0.3174096325194118,44.95734268184252,0.4533199869903368,99.1735285715537,0
Llama3-8B-Instruct,Official-MEMIT,model.layers.4.mlp.down_proj.weight,4,2.6218507788336973,0.1432569397423677,6.874101506470865,0.09075138107660895,75.74652225587623,0
Llama3-8B-Instruct,Official-MEMIT,model.layers.5.mlp.down_proj.weight,5,2.618854505510604,0.14309322449573225,6.8583989210331895,0.09054407670183343,75.74652225587623,0
Llama3-8B-Instruct,Official-MEMIT,model.layers.6.mlp.down_proj.weight,6,3.00910587100744,0.16441641222353506,9.054718142931444,0.11953972107582803,75.74652225587623,0
Llama3-8B-Instruct,Official-MEMIT,model.layers.7.mlp.down_proj.weight,7,3.9217206789577728,0.2142813418396633,15.379893083765015,0.20304421411996748,75.74652225587623,0
Llama3-8B-Instruct,Official-MEMIT,model.layers.8.mlp.down_proj.weight,8,6.130204776487953,0.3349520816987017,37.57941060167571,0.49612060702576205,75.74652225587623,0
Qwen2.5-7B-Instruct,C0-FH,model.layers.4.mlp.down_proj.weight,4,36740.745863507436,0.000504654426682636,1349882406.6068387,3.5000819951345944e-07,3856716524022259.5,0
Qwen2.5-7B-Instruct,C0-FH,model.layers.5.mlp.down_proj.weight,5,1948.7514852959152,2.67671774332635e-05,3797632.3514430355,9.846801878719352e-10,3856716524022259.5,0
