model,ordinal,case_id,arm,layer,normalized_coefficient,block_frobenius_energy,energy_share
Llama3-8B-Instruct,26,17454,NATIVE_ALPHAEDIT_N1_T1,4,0.3284147739631394,0.10785626375725994,0.0999108532487516
Llama3-8B-Instruct,26,17454,NATIVE_ALPHAEDIT_N1_T1,5,0.2953146194459743,0.08721072445852063,0.08078620183527414
Llama3-8B-Instruct,26,17454,NATIVE_ALPHAEDIT_N1_T1,6,0.3645187463008517,0.13287391640474466,0.12308553903164235
Llama3-8B-Instruct,26,17454,NATIVE_ALPHAEDIT_N1_T1,7,0.5010494585149194,0.251050559878094,0.2325565041122503
Llama3-8B-Instruct,26,17454,NATIVE_ALPHAEDIT_N1_T1,8,0.7074839464889201,0.5005335345395372,0.4636609017720817
Llama3-8B-Instruct,26,17454,STATIC_SPLIT_OFF_N4,4,0.3284147739631394,0.10785626375725994,0.0999108532487516
Llama3-8B-Instruct,26,17454,STATIC_SPLIT_OFF_N4,5,0.2953146194459743,0.08721072445852063,0.08078620183527414
Llama3-8B-Instruct,26,17454,STATIC_SPLIT_OFF_N4,6,0.3645187463008517,0.13287391640474466,0.12308553903164235
Llama3-8B-Instruct,26,17454,STATIC_SPLIT_OFF_N4,7,0.5010494585149194,0.251050559878094,0.2325565041122503
Llama3-8B-Instruct,26,17454,STATIC_SPLIT_OFF_N4,8,0.7074839464889201,0.5005335345395372,0.4636609017720817
Llama3-8B-Instruct,26,17454,BARRIER_ODE_N2,4,0.18114394071833959,0.03281312725896932,0.0660904657179068
Llama3-8B-Instruct,26,17454,BARRIER_ODE_N2,5,0.05485166112938905,0.0030087047286533296,0.006059973959660096
Llama3-8B-Instruct,26,17454,BARRIER_ODE_N2,6,0.0999716520851131,0.009994331220626899,0.02013005342944552
Llama3-8B-Instruct,26,17454,BARRIER_ODE_N2,7,0.32761528651009225,0.10733177595508983,0.21618198726434742
Llama3-8B-Instruct,26,17454,BARRIER_ODE_N2,8,0.5859523215323417,0.3433401231091407,0.6915375196286401
Llama3-8B-Instruct,26,17454,BARRIER_ODE_N4,4,0.05447397945205999,0.0029674144373434542,0.009325755713128719
Llama3-8B-Instruct,26,17454,BARRIER_ODE_N4,5,-0.026005006389467955,0.0006762603573162692,0.0021252976367030878
Llama3-8B-Instruct,26,17454,BARRIER_ODE_N4,6,-0.04895531374608045,0.0023966227439771734,0.007531916663069225
Llama3-8B-Instruct,26,17454,BARRIER_ODE_N4,7,0.246474897339368,0.060749875018452,0.19091990889293234
Llama3-8B-Instruct,26,17454,BARRIER_ODE_N4,8,0.5014034580434246,0.2514054277379042,0.7900971210941666
Llama3-8B-Instruct,61,9936,NATIVE_ALPHAEDIT_N1_T1,4,0.30736708164603044,0.09447452287959754,0.09329178625066788
Llama3-8B-Instruct,61,9936,NATIVE_ALPHAEDIT_N1_T1,5,0.32393451618338875,0.10493357077496615,0.10361989620983386
Llama3-8B-Instruct,61,9936,NATIVE_ALPHAEDIT_N1_T1,6,0.3917551778141576,0.15347211934420224,0.15155078551223164
Llama3-8B-Instruct,61,9936,NATIVE_ALPHAEDIT_N1_T1,7,0.48872337404119287,0.23885053633420772,0.23586034099316336
Llama3-8B-Instruct,61,9936,NATIVE_ALPHAEDIT_N1_T1,8,0.6488043405622338,0.42094707233239503,0.4156771910341033
Llama3-8B-Instruct,61,9936,STATIC_SPLIT_OFF_N4,4,0.30736708164603044,0.09447452287959754,0.09329178625066788
Llama3-8B-Instruct,61,9936,STATIC_SPLIT_OFF_N4,5,0.32393451618338875,0.10493357077496615,0.10361989620983386
Llama3-8B-Instruct,61,9936,STATIC_SPLIT_OFF_N4,6,0.3917551778141576,0.15347211934420224,0.15155078551223164
Llama3-8B-Instruct,61,9936,STATIC_SPLIT_OFF_N4,7,0.48872337404119287,0.23885053633420772,0.23586034099316336
Llama3-8B-Instruct,61,9936,STATIC_SPLIT_OFF_N4,8,0.6488043405622338,0.42094707233239503,0.4156771910341033
Llama3-8B-Instruct,61,9936,BARRIER_ODE_N2,4,0.06186322685918619,0.0038270588374311352,0.006608934611557423
Llama3-8B-Instruct,61,9936,BARRIER_ODE_N2,5,0.08111268252024689,0.0065792672656303655,0.011361713785330251
Llama3-8B-Instruct,61,9936,BARRIER_ODE_N2,6,0.2819774229101498,0.07951126703104948,0.13730773082208805
Llama3-8B-Instruct,61,9936,BARRIER_ODE_N2,7,0.40393786777717455,0.16316580102437014,0.2817704549680458
Llama3-8B-Instruct,61,9936,BARRIER_ODE_N2,8,0.5709554245828313,0.3259900968605612,0.5629511658129785
Llama3-8B-Instruct,61,9936,BARRIER_ODE_N4,4,-0.07490543408721673,0.0056108240557943695,0.013990049825155502
Llama3-8B-Instruct,61,9936,BARRIER_ODE_N4,5,-0.037410428996777226,0.0013995401977229102,0.003489618798192639
Llama3-8B-Instruct,61,9936,BARRIER_ODE_N4,6,0.19365010665139165,0.03750036380609536,0.09350354830088424
Llama3-8B-Instruct,61,9936,BARRIER_ODE_N4,7,0.3239322471267825,0.10493210072860687,0.26163809502018126
Llama3-8B-Instruct,61,9936,BARRIER_ODE_N4,8,0.5016127598534403,0.2516153608477852,0.6273786880555864
Llama3-8B-Instruct,110,6813,NATIVE_ALPHAEDIT_N1_T1,4,0.31080936787462893,0.09660246315862642,0.08973444702330026
Llama3-8B-Instruct,110,6813,NATIVE_ALPHAEDIT_N1_T1,5,0.30204451300285673,0.09123088783513289,0.08474476740709626
Llama3-8B-Instruct,110,6813,NATIVE_ALPHAEDIT_N1_T1,6,0.3647421172081427,0.13303681206547852,0.12357847175010046
Llama3-8B-Instruct,110,6813,NATIVE_ALPHAEDIT_N1_T1,7,0.500318810426074,0.25031891206616175,0.23252232313007345
Llama3-8B-Instruct,110,6813,NATIVE_ALPHAEDIT_N1_T1,8,0.7108783614817697,0.5053480448230057,0.4694199906894295
Llama3-8B-Instruct,110,6813,STATIC_SPLIT_OFF_N4,4,0.31080936787462893,0.09660246315862642,0.08973444702330026
Llama3-8B-Instruct,110,6813,STATIC_SPLIT_OFF_N4,5,0.30204451300285673,0.09123088783513289,0.08474476740709626
Llama3-8B-Instruct,110,6813,STATIC_SPLIT_OFF_N4,6,0.3647421172081427,0.13303681206547852,0.12357847175010046
Llama3-8B-Instruct,110,6813,STATIC_SPLIT_OFF_N4,7,0.500318810426074,0.25031891206616175,0.23252232313007345
Llama3-8B-Instruct,110,6813,STATIC_SPLIT_OFF_N4,8,0.7108783614817697,0.5053480448230057,0.4694199906894295
Llama3-8B-Instruct,110,6813,BARRIER_ODE_N2,4,0.05013257609706678,0.002513275186128192,0.00469736590872876
Llama3-8B-Instruct,110,6813,BARRIER_ODE_N2,5,0.10557879535786252,0.011146882029217412,0.020833764611877408
Llama3-8B-Instruct,110,6813,BARRIER_ODE_N2,6,0.15688404768190356,0.02461260441705779,0.046001492216943864
Llama3-8B-Instruct,110,6813,BARRIER_ODE_N2,7,0.35972969556156315,0.1294054538688149,0.2418616038394845
Llama3-8B-Instruct,110,6813,BARRIER_ODE_N2,8,0.6061031643667947,0.3673610458554417,0.6866057734229655
Llama3-8B-Instruct,110,6813,BARRIER_ODE_N4,4,0.033763037811724114,0.0011399427222759122,0.0032181445669727917
Llama3-8B-Instruct,110,6813,BARRIER_ODE_N4,5,0.09726453099182143,0.009460388989058991,0.026707394004679225
Llama3-8B-Instruct,110,6813,BARRIER_ODE_N4,6,-0.06489075602275163,0.004210810217204277,0.01188743588449313
Llama3-8B-Instruct,110,6813,BARRIER_ODE_N4,7,0.17884240515246916,0.03198460588071993,0.09029496274716454
Llama3-8B-Instruct,110,6813,BARRIER_ODE_N4,8,0.5544617591724282,0.3074278423845838,0.8678920627966903
Llama3-8B-Instruct,112,12021,NATIVE_ALPHAEDIT_N1_T1,4,0.3027339431897025,0.09164784035918601,0.09436338169804977
