model,cases,rewrite_nll_mean,rewrite_nll_median,rewrite_nll_p90,rewrite_nll_max,rewrite_exact_count,rewrite_exact_rate,rephrase_nll_mean,rephrase_nll_median,rephrase_nll_p90,rephrase_nll_max,rephrase_exact_count,rephrase_exact_rate,locality_forward_kl_mean,locality_forward_kl_median,locality_forward_kl_p90,locality_forward_kl_max,compute_count,recompute_count
Llama3-8B-Instruct,8,0.0009541808503854554,0.0007883282960392535,0.001556075538974255,0.0021386826410889626,8,1.0,2.3312738239765167,2.405606508255005,3.674551177024841,3.920593023300171,1,0.125,1.3081177200656384,0.752056211233139,3.1682839632034296,5.130311012268066,8,0
Qwen2.5-7B-Instruct,8,0.005874904964002781,0.0046203404199332,0.01042129467241466,0.01738072745501995,8,1.0,2.9492217749357224,2.918922781944275,4.5013697147369385,4.721726894378662,0,0.0,1.0636987797915936,0.5504572689533234,2.257828819751739,4.664679050445557,8,0
