model,ordinal,case_id,arm,node,time,barrier_kl,target_probability,source_probability,theta_norm,gradient_dot_nominal,gradient_dot_velocity,gradient_norm,nominal_norm,velocity_norm,projection_active,zero_gradient
Llama3-8B-Instruct,26,17454,BARRIER_ODE_N2,0,0.0,0.0,1.1248524720185421e-07,0.0033310589016171187,0.0,-1.1886438921556827e-16,-1.1886438921556827e-16,1.9341972280437705e-16,1.039001924463163,1.039001924463163,False,True
Llama3-8B-Instruct,26,17454,BARRIER_ODE_N2,1,0.5,0.3797378408038872,3.5499331148706655e-05,0.012221424138554919,0.5195009622315815,2.1122499833496393,1.6653345369377348e-16,2.3956750641077105,1.039001924463163,0.5496748281337989,True,False
Llama3-8B-Instruct,26,17454,BARRIER_ODE_N4,0,0.0,0.0,1.1248524720185421e-07,0.0033310589016171187,0.0,-1.1886438921556827e-16,-1.1886438921556827e-16,1.9341972280437705e-16,1.039001924463163,1.039001924463163,False,True
Llama3-8B-Instruct,26,17454,BARRIER_ODE_N4,1,0.25,0.06269026890349583,8.95288044147492e-07,0.006389374424272683,0.25975048111579074,0.6175012889610435,-4.163336342344337e-17,0.6838891385486143,1.039001924463163,0.5140521620313381,True,False
Llama3-8B-Instruct,26,17454,BARRIER_ODE_N4,2,0.5,0.06265947729306734,8.175993902699524e-07,0.006446643550515506,0.34207764788361966,0.5997882246977452,0.0,0.6649377795150789,1.039001924463163,0.5156375404172778,True,False
Llama3-8B-Instruct,26,17454,BARRIER_ODE_N4,3,0.75,0.06239781813742141,7.427410431462062e-07,0.006531738006264976,0.44718881485716366,0.5731725369683447,-2.0816681711721685e-17,0.6381214639952301,1.039001924463163,0.5222340788075636,True,False
Llama3-8B-Instruct,61,9936,BARRIER_ODE_N2,0,0.0,0.0,2.2541252759327987e-05,0.0021532002449568236,0.0,2.8429745191800347e-17,2.8429745191800347e-17,2.889655691450784e-16,1.0063189462915665,1.0063189462915665,False,True
Llama3-8B-Instruct,61,9936,BARRIER_ODE_N2,1,0.5,0.5495515180204711,0.10058569489762885,0.004517241709512846,0.5031594731457832,2.321495070458296,-2.498001805406602e-16,3.0531742570672886,1.0063189462915665,0.6591955052463067,True,False
Llama3-8B-Instruct,61,9936,BARRIER_ODE_N4,0,0.0,0.0,2.2541252759327987e-05,0.0021532002449568236,0.0,2.8429745191800347e-17,2.8429745191800347e-17,2.889655691450784e-16,1.0063189462915665,1.0063189462915665,False,True
Llama3-8B-Instruct,61,9936,BARRIER_ODE_N4,1,0.25,0.09438346207570274,0.00038837070897806687,0.0038495065133633617,0.2515797365728916,0.9839175086028596,9.71445146547012e-17,1.2704066293400849,1.0063189462915665,0.642528382491193,True,False
