model,arm,node,cases,projection_active_count,zero_gradient_count,barrier_kl_mean,barrier_kl_median,barrier_kl_p90,barrier_kl_max,target_probability_mean,target_probability_median,target_probability_p90,target_probability_max,source_probability_mean,source_probability_median,source_probability_p90,source_probability_max,theta_norm_mean,theta_norm_median,theta_norm_p90,theta_norm_max,gradient_dot_nominal_mean,gradient_dot_nominal_median,gradient_dot_nominal_p90,gradient_dot_nominal_max,gradient_dot_velocity_mean,gradient_dot_velocity_median,gradient_dot_velocity_p90,gradient_dot_velocity_max,gradient_norm_mean,gradient_norm_median,gradient_norm_p90,gradient_norm_max,velocity_norm_mean,velocity_norm_median,velocity_norm_p90,velocity_norm_max
Llama3-8B-Instruct,BARRIER_ODE_N2,0,8,0,8,0.0,0.0,0.0,0.0,0.00010767420315474972,2.4966616915836766e-06,0.0002609105642154618,0.0008171056242797744,0.003462768121552405,0.001417957922363667,0.00816618432447434,0.015936482983066956,0.0,0.0,0.0,0.0,-2.7724193507013226e-18,3.2110127433127306e-18,3.746200202084454e-17,5.853726795528102e-17,-2.7724193507013226e-18,3.2110127433127306e-18,3.746200202084454e-17,5.853726795528102e-17,1.32965294066467e-16,1.385101078277104e-16,2.418244464195341e-16,2.889655691450784e-16,0.9915451346209881,0.9857108189942227,1.0379947248953771,1.039001924463163
Llama3-8B-Instruct,BARRIER_ODE_N2,1,8,8,0,0.5015729814635604,0.45718235590386735,1.0987230737801965,1.1653740979804723,0.04331721814909794,0.0019171837807317172,0.13216395518342805,0.20584656251695962,0.015096316349149819,0.008369332924033883,0.03489975206165021,0.05709580043461466,0.49577256731049407,0.4928554094971114,0.5189973624476886,0.5195009622315815,4.463882594767464,2.216872526903968,10.960225389802417,17.194753329280026,3.642919299551295e-16,-1.0408340855860843e-17,1.1185496973098447e-15,2.886579864025407e-15,5.289502068597081,2.6792930373856843,13.13697735142453,19.79571375320447,0.5291917409108277,0.5213663870971942,0.6145614680568323,0.6591955052463067
Llama3-8B-Instruct,BARRIER_ODE_N4,0,8,0,8,0.0,0.0,0.0,0.0,0.00010767420315474972,2.4966616915836766e-06,0.0002609105642154618,0.0008171056242797744,0.003462768121552405,0.001417957922363667,0.00816618432447434,0.015936482983066956,0.0,0.0,0.0,0.0,-2.7724193507013226e-18,3.2110127433127306e-18,3.746200202084454e-17,5.853726795528102e-17,-2.7724193507013226e-18,3.2110127433127306e-18,3.746200202084454e-17,5.853726795528102e-17,1.32965294066467e-16,1.385101078277104e-16,2.418244464195341e-16,2.889655691450784e-16,0.9915451346209881,0.9857108189942227,1.0379947248953771,1.039001924463163
Llama3-8B-Instruct,BARRIER_ODE_N4,1,8,8,0,0.054650919931271844,0.04312686336297082,0.10997038474472527,0.14446005005821247,0.0013046002779817105,1.338253219197688e-05,0.0032389996975827505,0.00989046733766035,0.004260625972767028,0.001987203455688711,0.01011599047500208,0.018811427926704014,0.24788628365524704,0.2464277047485557,0.2594986812238443,0.25975048111579074,0.522572225158713,0.41569369375854315,1.0723666681021393,1.2787480402671256,1.691355389077387e-17,0.0,1.096345236817342e-16,1.3877787807814457e-16,0.6438430686035159,0.4635098009763584,1.4047642572381203,1.7182653890002029,0.5310175636343363,0.5367242478750108,0.6138399376114596,0.642528382491193
Llama3-8B-Instruct,BARRIER_ODE_N4,2,8,8,0,0.056511580616202234,0.04319333181844226,0.11544801580931353,0.1518259338777089,0.0013080654889637226,1.647770431958809e-05,0.0032601973685862707,0.009915604984197326,0.004494353748845932,0.0023874555656476556,0.010378801554255492,0.019553836896315468,0.3388843311006433,0.3404849246752968,0.36009618265935917,0.37510048558566406,0.523150699974614,0.40910708700896525,1.052179583275429,1.3340903097209675,3.7838655819744105e-17,-1.951563910473908e-18,1.4779844015322397e-16,1.5265566588595902e-16,0.62761006940979,0.45644797871023246,1.3214182108694457,1.718782662691261,0.48314974462225607,0.480569903518657,0.5712879743746574,0.5983717948008308
Llama3-8B-Instruct,BARRIER_ODE_N4,3,8,8,0,0.05768341618844645,0.04291979570907755,0.11978935792826464,0.15721200383855005,0.0012709371941957595,1.802191675541088e-05,0.0031538300469360044,0.009692285707769747,0.0046535955040194876,0.0028394517955541627,0.010504236065844386,0.01977339820486302,0.43669770264548013,0.4316764917263676,0.48429320409535814,0.5057123553295567,0.5074350413985913,0.39530140931108815,1.0227626755787003,1.3429486494870906,-3.3393426912553537e-17,-6.938893903907228e-18,6.45317133063372e-17,1.1796119636642288e-16,0.5987535345735177,0.44401928077126623,1.208333294258917,1.6792704788530222,0.4536057767155549,0.4891685965795178,0.5620818848231622,0.5653497705462528
Qwen2.5-7B-Instruct,BARRIER_ODE_N2,0,8,0,8,0.0,0.0,0.0,0.0,9.652547783373544e-05,3.6186415205103096e-05,0.0002844279430854367,0.0003417629035533399,0.0036893961763684426,0.0004708075078726344,0.009116141872080406,0.023168798447902258,0.0,0.0,0.0,0.0,3.085523914561058e-17,3.4435204180350826e-17,1.649540160161435e-16,2.548200265054005e-16,3.085523914561058e-17,3.4435204180350826e-17,1.649540160161435e-16,2.548200265054005e-16,1.0710487907232441e-16,4.991593121130334e-17,2.1253344482712182e-16,4.777265937854909e-16,4.764281161105346,4.579699200916987,5.92606865566698,6.207595040884628
Qwen2.5-7B-Instruct,BARRIER_ODE_N2,1,8,8,0,2.82090390808423,2.2507646107469865,5.9639546583975,7.117748599638225,0.7263201021360254,0.9512437420982588,0.9911340616120676,0.9958362174864712,2.6134847883913024e-05,7.603535022461836e-07,7.017537931949076e-05,0.00018142285776638744,2.382140580552673,2.2898496004584934,2.96303432783349,3.103797520442314,8.473599796356314,4.057594978636267,19.12152402723057,34.53928155658597,3.677613769070831e-16,-2.0816681711721685e-16,1.7208456881689918e-15,4.440892098500626e-15,2.2488419666466277,1.107009970433717,4.918779039002654,9.887185733604067,2.7125183017563823,2.3882468170790982,3.921117643737474,4.472638344025025
Qwen2.5-7B-Instruct,BARRIER_ODE_N4,0,8,0,8,0.0,0.0,0.0,0.0,9.652547783373544e-05,3.6186415205103096e-05,0.0002844279430854367,0.0003417629035533399,0.0036893961763684426,0.0004708075078726344,0.009116141872080406,0.023168798447902258,0.0,0.0,0.0,0.0,3.085523914561058e-17,3.4435204180350826e-17,1.649540160161435e-16,2.548200265054005e-16,3.085523914561058e-17,3.4435204180350826e-17,1.649540160161435e-16,2.548200265054005e-16,1.0710487907232441e-16,4.991593121130334e-17,2.1253344482712182e-16,4.777265937854909e-16,4.764281161105346,4.579699200916987,5.92606865566698,6.207595040884628
Qwen2.5-7B-Instruct,BARRIER_ODE_N4,1,8,8,0,0.771385522219624,0.27408404331208086,1.6656681386976926,4.156707343265419,0.1001753520808018,0.007548943776077214,0.36099090531599076,0.38613583656310996,0.002810871358733314,0.000345986815645787,0.00684151264588066,0.019579187798387118,1.1910702902763366,1.1449248002292467,1.481517163916745,1.551898760221157,3.152428030186565,1.9239796872762966,5.965857029732749,11.285850897272615,2.0296264668928643e-16,1.1102230246251565e-16,4.773959005888173e-16,5.551115123125783e-16,0.8025814929830867,0.5164302540378806,1.3715328305248538,2.6480419149489482,3.104384756894151,3.1762132164247685,3.9891775404916308,4.306685372821281
