model,comparison,left_arm,right_arm,metric,pairs,mean,median,p90,max
Llama3-8B-Instruct,STATIC_MINUS_NATIVE,STATIC_SPLIT_OFF_N4,NATIVE_ALPHAEDIT_N1_T1,rewrite_target_new_nll,8,0.0,0.0,0.0,0.0
Llama3-8B-Instruct,STATIC_MINUS_NATIVE,STATIC_SPLIT_OFF_N4,NATIVE_ALPHAEDIT_N1_T1,rephrase_target_new_nll,8,0.0,0.0,0.0,0.0
Llama3-8B-Instruct,STATIC_MINUS_NATIVE,STATIC_SPLIT_OFF_N4,NATIVE_ALPHAEDIT_N1_T1,rewrite_target_true_nll,8,0.0,0.0,0.0,0.0
Llama3-8B-Instruct,STATIC_MINUS_NATIVE,STATIC_SPLIT_OFF_N4,NATIVE_ALPHAEDIT_N1_T1,rephrase_target_true_nll,8,0.0,0.0,0.0,0.0
Llama3-8B-Instruct,STATIC_MINUS_NATIVE,STATIC_SPLIT_OFF_N4,NATIVE_ALPHAEDIT_N1_T1,locality_forward_kl,8,0.0,0.0,0.0,0.0
Llama3-8B-Instruct,STATIC_MINUS_NATIVE,STATIC_SPLIT_OFF_N4,NATIVE_ALPHAEDIT_N1_T1,event_q_kl_from_w0,8,0.0,0.0,0.0,0.0
Llama3-8B-Instruct,STATIC_MINUS_NATIVE,STATIC_SPLIT_OFF_N4,NATIVE_ALPHAEDIT_N1_T1,event_target_probability,8,0.0,0.0,0.0,0.0
Llama3-8B-Instruct,STATIC_MINUS_NATIVE,STATIC_SPLIT_OFF_N4,NATIVE_ALPHAEDIT_N1_T1,event_source_probability,8,0.0,0.0,0.0,0.0
Llama3-8B-Instruct,STATIC_MINUS_NATIVE,STATIC_SPLIT_OFF_N4,NATIVE_ALPHAEDIT_N1_T1,coefficient_norm,8,0.0,0.0,0.0,0.0
Llama3-8B-Instruct,BARRIER_N2_MINUS_NATIVE,BARRIER_ODE_N2,NATIVE_ALPHAEDIT_N1_T1,rewrite_target_new_nll,8,4.5519672922673635,5.0038059670478106,6.303231350565329,7.14503288816195
Llama3-8B-Instruct,BARRIER_N2_MINUS_NATIVE,BARRIER_ODE_N2,NATIVE_ALPHAEDIT_N1_T1,rephrase_target_new_nll,8,4.151677966117859,4.290835618972778,6.20988438129425,6.952001333236694
Llama3-8B-Instruct,BARRIER_N2_MINUS_NATIVE,BARRIER_ODE_N2,NATIVE_ALPHAEDIT_N1_T1,rewrite_target_true_nll,8,-8.921176210045815,-8.673807978630066,-6.219319176673889,-4.553788900375366
Llama3-8B-Instruct,BARRIER_N2_MINUS_NATIVE,BARRIER_ODE_N2,NATIVE_ALPHAEDIT_N1_T1,rephrase_target_true_nll,8,-3.581581324338913,-3.204246997833252,-0.5671183347702029,0.5436398983001709
Llama3-8B-Instruct,BARRIER_N2_MINUS_NATIVE,BARRIER_ODE_N2,NATIVE_ALPHAEDIT_N1_T1,locality_forward_kl,8,-1.2095421620470006,-0.6996822208166122,-0.04233314532320947,-0.02616171003319323
Llama3-8B-Instruct,BARRIER_N2_MINUS_NATIVE,BARRIER_ODE_N2,NATIVE_ALPHAEDIT_N1_T1,event_q_kl_from_w0,8,-3.5590275812624275,-3.84859475498188,-1.4233014562812285,-1.2839889855546014
Llama3-8B-Instruct,BARRIER_N2_MINUS_NATIVE,BARRIER_ODE_N2,NATIVE_ALPHAEDIT_N1_T1,event_target_probability,8,-0.9525370235037058,-0.9960540605810262,-0.8509071528702179,-0.746277559905299
Llama3-8B-Instruct,BARRIER_N2_MINUS_NATIVE,BARRIER_ODE_N2,NATIVE_ALPHAEDIT_N1_T1,event_source_probability,8,0.016375472355314943,0.008101014032990544,0.038643179336046676,0.05050267733827276
Llama3-8B-Instruct,BARRIER_N2_MINUS_NATIVE,BARRIER_ODE_N2,NATIVE_ALPHAEDIT_N1_T1,coefficient_norm,8,-0.31538819024784026,-0.31292325694082906,-0.28524506207680966,-0.24535016176815239
Llama3-8B-Instruct,BARRIER_N4_MINUS_NATIVE,BARRIER_ODE_N4,NATIVE_ALPHAEDIT_N1_T1,rewrite_target_new_nll,8,7.5007618732634,7.928869105875492,9.897782532358542,10.812537675607018
Llama3-8B-Instruct,BARRIER_N4_MINUS_NATIVE,BARRIER_ODE_N4,NATIVE_ALPHAEDIT_N1_T1,rephrase_target_new_nll,8,5.344671785831451,5.556354522705078,7.36653082370758,9.458497762680054
Llama3-8B-Instruct,BARRIER_N4_MINUS_NATIVE,BARRIER_ODE_N4,NATIVE_ALPHAEDIT_N1_T1,rewrite_target_true_nll,8,-8.399330049753189,-8.954288244247437,-5.077468252182007,-4.578227519989014
Llama3-8B-Instruct,BARRIER_N4_MINUS_NATIVE,BARRIER_ODE_N4,NATIVE_ALPHAEDIT_N1_T1,rephrase_target_true_nll,8,-3.872976243495941,-4.03618860244751,-0.8165384531021121,0.5333998203277588
Llama3-8B-Instruct,BARRIER_N4_MINUS_NATIVE,BARRIER_ODE_N4,NATIVE_ALPHAEDIT_N1_T1,locality_forward_kl,8,-1.325194869772531,-0.8157637398689985,-0.08157717864960434,-0.027340760454535484
Llama3-8B-Instruct,BARRIER_N4_MINUS_NATIVE,BARRIER_ODE_N4,NATIVE_ALPHAEDIT_N1_T1,event_q_kl_from_w0,8,-3.966602987151511,-4.332028033499296,-1.7349939535678651,-1.3182855357942618
Llama3-8B-Instruct,BARRIER_N4_MINUS_NATIVE,BARRIER_ODE_N4,NATIVE_ALPHAEDIT_N1_T1,event_target_probability,8,-0.9968595642149781,-0.997871301169269,-0.9938536103320846,-0.988575028593317
Llama3-8B-Instruct,BARRIER_N4_MINUS_NATIVE,BARRIER_ODE_N4,NATIVE_ALPHAEDIT_N1_T1,event_source_probability,8,0.004768977504893975,0.0031516716650750332,0.010580202070543325,0.019765127411053605
Llama3-8B-Instruct,BARRIER_N4_MINUS_NATIVE,BARRIER_ODE_N4,NATIVE_ALPHAEDIT_N1_T1,coefficient_norm,8,-0.4568977896057339,-0.47814362100696317,-0.3699139334415314,-0.3626491910923162
Llama3-8B-Instruct,BARRIER_N4_MINUS_N2,BARRIER_ODE_N4,BARRIER_ODE_N2,rewrite_target_new_nll,8,2.9487945809960365,2.762674331665039,4.353379702568054,5.910990953445435
Llama3-8B-Instruct,BARRIER_N4_MINUS_N2,BARRIER_ODE_N4,BARRIER_ODE_N2,rephrase_target_new_nll,8,1.1929938197135925,1.1036245822906494,2.1624748706817627,2.5064964294433594
Llama3-8B-Instruct,BARRIER_N4_MINUS_N2,BARRIER_ODE_N4,BARRIER_ODE_N2,rewrite_target_true_nll,8,0.5218461602926254,0.4980384111404419,1.492272889614105,2.2192455530166626
Llama3-8B-Instruct,BARRIER_N4_MINUS_N2,BARRIER_ODE_N4,BARRIER_ODE_N2,rephrase_target_true_nll,8,-0.2913949191570282,-0.24357223510742188,0.05416162014007564,0.20443224906921387
Llama3-8B-Instruct,BARRIER_N4_MINUS_N2,BARRIER_ODE_N4,BARRIER_ODE_N2,locality_forward_kl,8,-0.11565270772553049,-0.06096295826137066,-0.027360201091505595,-0.0011790504213422537
Llama3-8B-Instruct,BARRIER_N4_MINUS_N2,BARRIER_ODE_N4,BARRIER_ODE_N2,event_q_kl_from_w0,8,-0.4075754058890841,-0.36898601235751816,-0.0904251205450477,-0.034296550239660356
