model,cases,job_total_wall_seconds,model_load_seconds,case_panel_wall_seconds_mean,case_panel_wall_seconds_median,case_panel_wall_seconds_p90,case_panel_wall_seconds_max,functional_observer_wall_seconds_mean,functional_observer_wall_seconds_median,functional_observer_wall_seconds_p90,functional_observer_wall_seconds_max,functional_observer_model_forward_invocations,functional_observer_jvp_call_count,functional_observer_primal_prefix_count,functional_observer_temporary_materialization_count,functional_observer_physical_write_count,authoritative_case_arm_terminal_write_count,authoritative_layer_apply_count,peak_gpu_allocated_bytes,peak_gpu_reserved_bytes,peak_host_rss_kib,barrier_arm_specific_integration_wall,alphaedit_paired_end_to_end_overhead
Llama3-8B-Instruct,8,2177.1485282676294,4.830279874615371,270.2131250000093,266.7728200480342,283.8180436315015,302.3028570190072,13.97517433797475,13.894051261246204,14.713560001552105,14.780682518146932,496,480,112,0,0,32,160,40002290176,43534778368,18403848,NOT_RECORDED_SCHEMA_GAP,NOT_COMPARABLE_SCHEMA_GAP
Qwen2.5-7B-Instruct,8,2590.4680753750727,4.300459631718695,321.4935908416519,320.3380791246891,339.32643113154916,353.0195365138352,13.533078003092669,13.473771701566875,14.390899405628442,14.455525433644652,496,480,112,0,0,32,160,41297320448,44851789824,30499192,NOT_RECORDED_SCHEMA_GAP,NOT_COMPARABLE_SCHEMA_GAP
