model,ordinal,case_id,arm,rewrite_target_new_nll,rephrase_target_new_nll,rewrite_target_true_nll,rephrase_target_true_nll,rewrite_exact_satisfied,rephrase_exact_satisfied,locality_forward_kl,event_q_kl_from_w0,event_target_probability,event_source_probability,event_normalization_log_residual,accepted_z_rewrite_nll,accepted_z_rephrase_nll,w_minus_z_rewrite_nll,w_minus_z_rephrase_nll,coefficient_norm,native_edit_core_wall_seconds,post_trajectory_terminal_and_eval_wall_seconds,physical_action_wall_seconds,case_panel_wall_seconds,node_count,node_physical_write_count,terminal_write_count,w0_pointer_restore,w0_bytes_restore
Llama3-8B-Instruct,26,17454,NATIVE_ALPHAEDIT_N1_T1,0.004338167142122984,3.485710859298706,15.78039264678955,10.604320526123047,True,False,0.8458479642868042,6.576989421234923,0.9962886309168021,1.4017401868221728e-07,1.663599813461758e-15,0.001306386780925095,3.1958255767822266,0.003031780361197889,0.2898852825164795,1.039001924463163,11.977286910638213,NOT_RECORDED_NATIVE,NOT_RECORDED_NATIVE,302.3028570190072,0,0,1,True,True
Llama3-8B-Instruct,26,17454,STATIC_SPLIT_OFF_N4,0.004338167142122984,3.485710859298706,15.78039264678955,10.604320526123047,True,False,0.8458479642868042,6.576989421234923,0.9962886309168021,1.4017401868221728e-07,1.663599813461758e-15,0.001306386780925095,3.1958255767822266,0.003031780361197889,0.2898852825164795,1.039001924463163,NOT_APPLICABLE,22.50103404186666,6.4954037154093385,302.3028570190072,0,0,1,True,True
Llama3-8B-Instruct,26,17454,BARRIER_ODE_N2,4.375833511352539,5.8395795822143555,4.392638683319092,5.749875068664551,False,False,0.07335063815116882,0.36933550095334716,2.0850540396110332e-05,0.012367610226008833,4.440892098500626e-16,0.001306386780925095,3.1958255767822266,4.374527124571614,2.643754005432129,0.7046190901987258,NOT_APPLICABLE,21.866186337545514,6.276279907673597,302.3028570190072,2,0,1,True,True
Llama3-8B-Instruct,26,17454,BARRIER_ODE_N4,5.988075256347656,6.8407979011535645,5.0140180587768555,5.028847694396973,False,False,0.010671817697584629,0.0619399508307941,6.753174515108471e-07,0.006643945670057603,6.661338147750939e-16,0.001306386780925095,3.1958255767822266,5.986768869566731,3.644972324371338,0.5640882912230967,NOT_APPLICABLE,21.434752860106528,5.872053509578109,302.3028570190072,4,0,1,True,True
Llama3-8B-Instruct,61,9936,NATIVE_ALPHAEDIT_N1_T1,0.005430709570646286,3.1175103187561035,7.335567474365234,5.412191390991211,True,False,0.1602403223514557,2.623389294430764,0.9981868639438352,4.2501756962124943e-07,8.57603918436034e-16,0.0021386826410889626,3.5691046714782715,0.0032920269295573235,-0.45159435272216797,1.0063189462915665,10.591295112855732,NOT_RECORDED_NATIVE,NOT_RECORDED_NATIVE,264.5167052941397,0,0,1,True,True
Llama3-8B-Instruct,61,9936,STATIC_SPLIT_OFF_N4,0.005430709570646286,3.1175103187561035,7.335567474365234,5.412191390991211,True,False,0.1602403223514557,2.623389294430764,0.9981868639438352,4.2501756962124943e-07,8.57603918436034e-16,0.0021386826410889626,3.5691046714782715,0.0032920269295573235,-0.45159435272216797,1.0063189462915665,NOT_APPLICABLE,20.957496782764792,5.686480887234211,264.5167052941397,0,0,1,True,True
Llama3-8B-Instruct,61,9936,BARRIER_ODE_N2,2.6315181255340576,7.468946933746338,2.781778573989868,4.147870063781738,False,False,0.11097656190395355,0.5491906774408477,0.10243845694579491,0.00383498303156056,2.220446049250313e-16,0.0021386826410889626,3.5691046714782715,2.6293794428929687,3.8998422622680664,0.7609687845234141,NOT_APPLICABLE,21.36199395917356,6.214240833185613,264.5167052941397,2,0,1,True,True
Llama3-8B-Instruct,61,9936,BARRIER_ODE_N4,8.542509078979492,9.483983993530273,2.7573399543762207,3.8665342330932617,False,False,0.055418964475393295,0.10598331361661932,0.00027301476493677785,0.004027110310770787,6.661338147750939e-16,0.0021386826410889626,3.5691046714782715,8.540370396338403,5.914879322052002,0.6332915518432286,NOT_APPLICABLE,21.276084448210895,5.753184486180544,264.5167052941397,4,0,1,True,True
Llama3-8B-Instruct,110,6813,NATIVE_ALPHAEDIT_N1_T1,0.032096657902002335,2.4306960105895996,20.62697982788086,16.255462646484375,True,False,5.072070598602295,5.421116012275702,0.9978294159778799,1.1010681902782168e-09,7.3075226425523e-16,0.00106124731246382,1.5908852815628052,0.031035410589538515,0.8398107290267944,1.0375630679377545,11.431223860010505,NOT_RECORDED_NATIVE,NOT_RECORDED_NATIVE,259.849697239697,0,0,1,True,True
Llama3-8B-Instruct,110,6813,STATIC_SPLIT_OFF_N4,0.032096657902002335,2.4306960105895996,20.62697982788086,16.255462646484375,True,False,5.072070598602295,5.421116012275702,0.9978294159778799,1.1010681902782168e-09,7.3075226425523e-16,0.00106124731246382,1.5908852815628052,0.031035410589538515,0.8398107290267944,1.0375630679377545,NOT_APPLICABLE,20.36771006975323,5.384196589700878,259.849697239697,0,0,1,True,True
Llama3-8B-Instruct,110,6813,BARRIER_ODE_N2,5.857210636138916,6.817750453948975,6.8979363441467285,8.253292083740234,False,False,0.28935959935188293,0.19613379241814863,3.65918865567581e-05,0.0010098333667713222,8.881784197001252e-16,0.00106124731246382,1.5908852815628052,5.856149388826452,5.226865172386169,0.7314637799349056,NOT_APPLICABLE,21.42331298161298,6.211759400554001,259.849697239697,2,0,1,True,True
Llama3-8B-Instruct,110,6813,BARRIER_ODE_N4,7.352756500244141,8.120842933654785,8.078649520874023,8.230894088745117,False,False,0.041594840586185455,0.023049554270434452,6.628182401815974e-07,0.000310076533768461,4.440892098500626e-16,0.00106124731246382,1.5908852815628052,7.351695252931677,6.52995765209198,0.5951668591192246,NOT_APPLICABLE,21.122962571680546,5.98485781531781,259.849697239697,4,0,1,True,True
Llama3-8B-Instruct,112,12021,NATIVE_ALPHAEDIT_N1_T1,0.0017617567209526896,3.650076389312744,9.003527641296387,5.266543865203857,True,False,0.8048280477523804,4.2000177757932,0.9998406938973171,1.512304880501099e-08,2.318159770045569e-15,0.0006014923565089703,3.1522483825683594,0.0011602643644437194,0.49782800674438477,0.9855062198200205,10.409592563286424,NOT_RECORDED_NATIVE,NOT_RECORDED_NATIVE,257.8141958806664,0,0,1,True,True
Llama3-8B-Instruct,112,12021,STATIC_SPLIT_OFF_N4,0.0017617567209526896,3.650076389312744,9.003527641296387,5.266543865203857,True,False,0.8048280477523804,4.2000177757932,0.9998406938973171,1.512304880501099e-08,2.318159770045569e-15,0.0006014923565089703,3.1522483825683594,0.0011602643644437194,0.49782800674438477,0.9855062198200205,NOT_APPLICABLE,20.602719615213573,5.534962605684996,257.8141958806664,0,0,1,True,True
