arm,job_id,state,exit_code,start,end,elapsed_seconds,elapsed,allocated_cpu_seconds,requested_memory,allocated_tres,runtime_after_model_preflight_seconds,target_field_evaluations,writer_calls,writer_layer_applies,added_model_forward_count,added_backward_count,per_request_backward_loop_count,model_forward_total,model_backward_total,peak_allocated_bytes,peak_reserved_bytes,W0_restored
FZ,23375_0,COMPLETED,0:0,2026-08-24T01:07:40,2026-08-24T01:28:47,1267,00:21:07,10136,65000M,"billing=8,cpu=8,gres/gpu=1,mem=65000M,node=1",1216.433182951063,8,8,40,0,0,0,NOT_RECORDED,NOT_RECORDED,38027805184,42618322944,True
PDZ,23375_1,COMPLETED,0:0,2026-08-24T01:07:40,2026-08-24T01:28:44,1264,00:21:04,10112,65000M,"billing=8,cpu=8,gres/gpu=1,mem=65000M,node=1",1212.5548519399017,8,8,40,0,0,0,NOT_RECORDED,NOT_RECORDED,38027805184,42618322944,True
