method,endpoint,prompt,prompt_denominator,target_new_mean,target_new_median,target_new_p10,target_new_p90,target_new_min,target_new_max,target_true_mean,target_true_median,target_true_p10,target_true_p90,target_true_min,target_true_max,margin_definition,margin_mean,margin_median,margin_p10,margin_p90,margin_min,margin_max,success_numerator,success_denominator,strict_success_numerator,strict_success_denominator,accuracy_numerator,accuracy_denominator,strict_accuracy_numerator,strict_accuracy_denominator,locality_numerator,locality_denominator,hard_tail_top10_count,hard_tail_top10_mean,hard_tail_gt1_count,hard_tail_gt5_count,hard_tail_gt10_count
FZ,accepted_z,rewrite,100,0.048273141012105045,0.001016934053041041,0.0002256495019537397,0.0165924604982138,4.088794958079234e-05,2.775531768798828,14.045874400138855,13.536025524139404,9.672945308685302,19.378932571411134,5.248987197875977,24.135387420654297,target_new_minus_target_true,-13.99760125912675,-13.535552303495933,-19.37879825893542,-9.410403149202466,-24.13515606218425,-2.4734554290771484,100,100,100,100,98,100,98,100,892,1000,10,0.46217207461595533,1,0,0
FZ,accepted_z,rephrase,200,1.2749256088755283,0.08403219282627106,0.0011396586894989013,4.438152217864991,9.655486064730212e-05,10.709609031677246,11.098135681003333,11.420191764831543,6.102836418151856,15.64541606903076,0.18687257170677185,21.83785629272461,target_new_minus_target_true,-9.823210072127804,-9.851817949675024,-15.52270476880949,-4.447448554076256,-21.837315705546644,10.117601305246353,196,200,97,100,140,200,55,100,892,1000,20,6.86024808883667,59,16,2
FZ,post_W,rewrite,100,0.0506041182093395,0.0010071091237477958,0.00022864101920276882,0.017022757418453698,4.160317621426657e-05,2.7645864486694336,14.036979475021361,13.52394723892212,9.795926380157471,19.34611053466797,4.834392547607422,24.042272567749023,target_new_minus_target_true,-13.986375356812022,-13.51411457384529,-19.345969540648365,-9.582067208737133,-24.042039302381454,-2.0698060989379883,100,100,100,100,98,100,98,100,890,1000,10,0.4852609453722835,2,0,0
FZ,post_W,rephrase,200,1.9830234788511008,0.4174214154481888,0.0030283901607617756,5.6019345760345445,0.0002411313180346042,16.3079833984375,9.185285932272672,9.245967864990234,3.6988261461257936,14.084210968017576,0.09181658178567886,21.230175018310547,target_new_minus_target_true,-7.202262453421572,-7.550728521309793,-13.257680951431393,-0.7608537673950199,-21.228160861413926,14.1767543181777,183,200,85,100,123,200,46,100,890,1000,20,9.50972957611084,80,26,7
PDZ,accepted_z,rewrite,100,0.0938202689238824,0.03456701897084713,0.008877583779394627,0.10953406617045404,0.0008390005677938461,2.6633315086364746,10.657238574028016,10.225903511047363,6.313543128967285,14.806486511230473,4.402407646179199,20.123628616333008,target_new_minus_target_true,-10.563418305104133,-10.084389898460358,-14.78951984215528,-6.186980089545248,-20.06651721149683,-3.5678253173828125,100,100,100,100,98,100,98,100,884,1000,10,0.5982490949332714,2,0,0
PDZ,accepted_z,rephrase,200,1.5841295525175518,0.40596774220466614,0.02534089330583811,5.151646471023559,0.002568162977695465,12.987313270568848,9.152234972715378,9.014606475830078,4.783902645111084,13.33573246002197,0.6400107145309448,18.304920196533203,target_new_minus_target_true,-7.568105420197826,-7.512158170342445,-12.647289284318685,-3.216305232048035,-17.995497930794954,12.271695494651794,195,200,96,100,132,200,52,100,884,1000,20,7.428996014595032,74,21,4
PDZ,post_W,rewrite,100,0.09277006831776817,0.03510061465203762,0.008741876017302275,0.11241858303546906,0.0007875440060161054,2.575956106185913,10.656298203468323,10.205887794494629,6.267092037200928,14.802126407623296,4.382760047912598,20.159473419189453,target_new_minus_target_true,-10.563528135150555,-10.056321436539292,-14.784075585007667,-6.140451808273791,-20.102801330387592,-3.3550236225128174,100,100,100,100,98,100,98,100,883,1000,10,0.5881749592721462,2,0,0
PDZ,post_W,rephrase,200,2.4214878406305798,1.149193525314331,0.06095595359802248,6.500852966308594,0.0020681675523519516,16.034889221191406,7.802702793702483,7.457604646682739,3.237831687927246,12.403481769561767,0.14632071554660797,18.774322509765625,target_new_minus_target_true,-5.381214953071903,-5.636486113071442,-10.64731386899948,0.011955547332763387,-18.735663879662752,13.864518746733665,179,200,82,100,102,200,32,100,883,1000,20,9.804206061363221,104,33,9
Global P1R52 Z0-COARSE†,accepted_z,rewrite,100,0.07540872373981983,0.018222185783088207,0.0045749441720545295,0.04924485459923745,8.34430247778073e-05,4.83649206161499,11.69076630115509,11.097914218902588,7.063022947311401,16.204022598266608,4.252441883087158,21.001537322998047,target_new_minus_target_true,-11.61535757741527,-11.089815952349454,-16.199160548392683,-6.965187170077115,-21.000509671051987,-3.0052404403686523,100,100,100,100,99,100,99,100,889,1000,10,0.5981230765581131,1,0,0
Global P1R52 Z0-COARSE†,accepted_z,rephrase,200,1.4248422997939634,0.23764705657958984,0.014965109340846541,4.197616434097288,0.0013393727131187916,12.096726417541504,9.867747112214566,9.931493282318115,5.164758157730102,14.042744064331055,0.6054968237876892,19.408241271972656,target_new_minus_target_true,-8.442904812420602,-8.310094172484241,-13.78063669851981,-3.364375400543213,-19.405280209844932,11.491229593753815,195,200,96,100,138,200,52,100,889,1000,20,7.170592308044434,70,18,3
