reference,cell,prompt,statistic,cell_NLL,native_NLL,cell_minus_native
OFFICIAL-ALPHAEDIT,Z1-REFINE,rewrite,mean,0.011388642331148731,0.0013624582591364742,0.010026184072012256
OFFICIAL-ALPHAEDIT,Z1-REFINE,rewrite,median,0.008624684996902943,0.0006589506228920072,0.007965734374010935
OFFICIAL-ALPHAEDIT,Z1-REFINE,rewrite,p90,0.02485778834670783,0.0024251237977296115,0.02243266454897822
OFFICIAL-ALPHAEDIT,Z1-REFINE,rewrite,max,0.07385782152414322,0.028182290494441986,0.04567553102970123
OFFICIAL-ALPHAEDIT,Z15,rewrite,mean,0.00602363068406703,0.0013624582591364742,0.004661172424930556
OFFICIAL-ALPHAEDIT,Z15,rewrite,median,0.004298787796869874,0.0006589506228920072,0.0036398371739778668
OFFICIAL-ALPHAEDIT,Z15,rewrite,p90,0.01129101952537895,0.0024251237977296115,0.008865895727649339
OFFICIAL-ALPHAEDIT,Z15,rewrite,max,0.034824125468730927,0.028182290494441986,0.00664183497428894
OFFICIAL-ALPHAEDIT,Z20,rewrite,mean,0.005007783950350131,0.0013624582591364742,0.003645325691213657
OFFICIAL-ALPHAEDIT,Z20,rewrite,median,0.0037220503436401486,0.0006589506228920072,0.0030630997207481414
OFFICIAL-ALPHAEDIT,Z20,rewrite,p90,0.009429677668958901,0.0024251237977296115,0.00700455387122929
OFFICIAL-ALPHAEDIT,Z20,rewrite,max,0.03291933611035347,0.028182290494441986,0.004737045615911484
OFFICIAL-ALPHAEDIT,Z30,rewrite,mean,0.002263748010445852,0.0013624582591364742,0.0009012897513093778
OFFICIAL-ALPHAEDIT,Z30,rewrite,median,0.0018950019148178399,0.0006589506228920072,0.0012360512919258326
OFFICIAL-ALPHAEDIT,Z30,rewrite,p90,0.005073873838409781,0.0024251237977296115,0.00264875004068017
OFFICIAL-ALPHAEDIT,Z30,rewrite,max,0.007707854732871056,0.028182290494441986,-0.02047443576157093
OFFICIAL-ALPHAEDIT,Z1-REFINE,rephrase,mean,1.3846419972757575,1.1035635590716992,0.2810784382040583
OFFICIAL-ALPHAEDIT,Z1-REFINE,rephrase,median,0.16618631035089493,0.0643963236361742,0.10178998671472073
OFFICIAL-ALPHAEDIT,Z1-REFINE,rephrase,p90,4.586139440536498,3.287929606437681,1.298209834098817
OFFICIAL-ALPHAEDIT,Z1-REFINE,rephrase,max,11.199920654296875,13.755802154541016,-2.5558815002441406
OFFICIAL-ALPHAEDIT,Z15,rephrase,mean,1.2993071575605426,1.1035635590716992,0.19574359848884337
OFFICIAL-ALPHAEDIT,Z15,rephrase,median,0.12485925480723381,0.0643963236361742,0.06046293117105961
OFFICIAL-ALPHAEDIT,Z15,rephrase,p90,4.337726259231566,3.287929606437681,1.049796652793885
OFFICIAL-ALPHAEDIT,Z15,rephrase,max,11.223796844482422,13.755802154541016,-2.5320053100585938
OFFICIAL-ALPHAEDIT,Z20,rephrase,mean,1.3197753610555083,1.1035635590716992,0.21621180198380907
OFFICIAL-ALPHAEDIT,Z20,rephrase,median,0.11355981603264809,0.0643963236361742,0.049163492396473885
OFFICIAL-ALPHAEDIT,Z20,rephrase,p90,4.320386838912962,3.287929606437681,1.0324572324752812
OFFICIAL-ALPHAEDIT,Z20,rephrase,max,11.32551383972168,13.755802154541016,-2.430288314819336
OFFICIAL-ALPHAEDIT,Z30,rephrase,mean,1.2661305052036187,1.1035635590716992,0.16256694613191947
OFFICIAL-ALPHAEDIT,Z30,rephrase,median,0.10752428323030472,0.0643963236361742,0.043127959594130516
OFFICIAL-ALPHAEDIT,Z30,rephrase,p90,4.439337587356566,3.287929606437681,1.151407980918885
OFFICIAL-ALPHAEDIT,Z30,rephrase,max,11.723058700561523,13.755802154541016,-2.032743453979492
OFFICIAL-MEMIT,Z1-REFINE,rewrite,mean,0.011388642331148731,0.0008853422875108663,0.010503300043637864
OFFICIAL-MEMIT,Z1-REFINE,rewrite,median,0.008624684996902943,0.0005956901586614549,0.008028994838241488
OFFICIAL-MEMIT,Z1-REFINE,rewrite,p90,0.02485778834670783,0.001914830610621721,0.02294295773608611
OFFICIAL-MEMIT,Z1-REFINE,rewrite,max,0.07385782152414322,0.005451574455946684,0.06840624706819654
