method,endpoint,prompt,prompt_denominator,target_new_mean,target_new_median,target_new_p10,target_new_p90,target_new_min,target_new_max,target_true_mean,target_true_median,target_true_p10,target_true_p90,target_true_min,target_true_max,margin_definition,margin_mean,margin_median,margin_p10,margin_p90,margin_min,margin_max,success_numerator,success_denominator,strict_success_numerator,strict_success_denominator,accuracy_numerator,accuracy_denominator,strict_accuracy_numerator,strict_accuracy_denominator,locality_numerator,locality_denominator
LP-S,accepted_z,rewrite,100,0.10225471468424076,0.0356720183044672,0.004627174930647016,0.2610288292169571,0.00021598390594590455,0.8969006538391113,10.897021837234497,9.919829368591309,6.687460136413574,16.232907485961913,2.89125394821167,21.7154598236084,target_new_minus_target_true,-10.794767122550256,-9.764109820127487,-16.224986378278118,-6.6655798614025095,-21.714822852867655,-2.6200371086597443,100,100,100,100,99,100,99,100,881,1000
LP-S,accepted_z,rephrase,200,1.517653324090643,0.327990397810936,0.017422551475465297,4.628399991989134,0.0005078217945992947,11.463404655456543,9.47159054785967,8.936604976654053,4.680863094329834,15.053311252593994,0.5793808102607727,22.496959686279297,target_new_minus_target_true,-7.953937223769026,-7.702835423871875,-13.764830123633146,-2.9914861679077154,-22.33097715675831,10.88402384519577,195,200,96,100,130,200,49,100,881,1000
LP-S,post_W,rewrite,100,0.10193437273090239,0.035611286759376526,0.004501619655638934,0.2532296150922777,0.00024136967840604484,0.8844287395477295,10.884134294986724,9.862061500549316,6.704539775848389,16.267809677124024,2.814812421798706,21.791685104370117,target_new_minus_target_true,-10.782199922255822,-9.771060386672616,-16.25815192423761,-6.677848606184123,-21.791051469394006,-2.5446881353855133,100,100,100,100,99,100,99,100,881,1000
LP-S,post_W,rephrase,200,2.3262213236297247,0.9806054830551147,0.04228696636855602,5.881142663955687,0.00043823651503771544,16.703304290771484,8.109066396206618,7.738687515258789,3.4192750215530396,13.013228416442871,0.3110218644142151,18.234182357788086,target_new_minus_target_true,-5.782845072576893,-5.708314083516598,-11.660632048547267,-0.10858306884765694,-18.189549807459116,13.124338269233704,181,200,84,100,107,200,37,100,881,1000
LFD-E,accepted_z,rewrite,100,1.1589802298825815,0.418229803442955,0.005204300954937935,3.4929590702056887,0.0004661188868340105,8.489590644836426,8.2102463388443,7.745973348617554,4.034839749336243,12.905159950256348,2.2070987224578857,19.930150985717773,target_new_minus_target_true,-7.051266108961718,-7.019265353679657,-12.488324870768702,-2.2025949478149314,-19.86502607166767,3.91947603225708,95,100,95,100,73,100,73,100,884,1000
LFD-E,accepted_z,rephrase,200,2.6486798649071717,1.6304534673690796,0.03684564195573331,6.59098844528198,0.0005357022164389491,12.353717803955078,7.788278184384108,7.421232223510742,3.5774556159973145,12.260013008117676,0.10553178191184998,18.220197677612305,target_new_minus_target_true,-5.139598319476936,-4.919408768415451,-10.709379732608795,-0.2760682106018084,-16.841167712700553,12.248186022043228,180,200,87,100,92,200,28,100,884,1000
LFD-E,post_W,rewrite,100,1.155583471416903,0.4198760837316513,0.005026257317513227,3.489253520965576,0.00047219570842571557,8.46455192565918,8.212749090194702,7.7668187618255615,4.008036661148071,12.888119983673095,2.2265894412994385,19.970590591430664,target_new_minus_target_true,-7.057165618777799,-7.026256084442139,-12.49772397301276,-2.2075596809387115,-19.90696159005165,3.8827104568481445,95,100,95,100,73,100,73,100,888,1000
LFD-E,post_W,rephrase,200,3.677507216730155,2.8137593269348145,0.11665835678577424,8.63551912307739,0.0028546794783324003,17.005483627319336,6.859108327701688,6.040303945541382,2.5880585908889775,11.853774070739746,0.19935251772403717,16.42388153076172,target_new_minus_target_true,-3.181601110971533,-3.154707908630371,-9.270517963171006,2.5815493106842,-15.910971010103822,13.011214956641197,153,200,66,100,72,200,20,100,888,1000
Global P1R52 Z0-COARSE†,accepted_z,rewrite,100,0.07540872373981983,0.018222185783088207,0.0045749441720545295,0.04924485459923745,8.34430247778073e-05,4.83649206161499,11.69076630115509,11.097914218902588,7.063022947311401,16.204022598266608,4.252441883087158,21.001537322998047,target_new_minus_target_true,-11.61535757741527,-11.089815952349454,-16.199160548392683,-6.965187170077115,-21.000509671051987,-3.0052404403686523,100,100,100,100,99,100,99,100,889,1000
Global P1R52 Z0-COARSE†,accepted_z,rephrase,200,1.4248422997939634,0.23764705657958984,0.014965109340846541,4.197616434097288,0.0013393727131187916,12.096726417541504,9.867747112214566,9.931493282318115,5.164758157730102,14.042744064331055,0.6054968237876892,19.408241271972656,target_new_minus_target_true,-8.442904812420602,-8.310094172484241,-13.78063669851981,-3.364375400543213,-19.405280209844932,11.491229593753815,195,200,96,100,138,200,52,100,889,1000
