arm,outer_K,request_index,request_sha256,current_target_new_nll,selected_target_new_nll,actual_selected_nll_decrease,local_parent_speed,selected_speed,fd_to_lp_speed_ratio,semantic_slope_sigma,local_kappa,current_to_entry_gradient_norm_ratio,semantic_to_kdc_direction_cosine,preservation_to_semantic_norm_ratio,pre_clamp_velocity_norm,post_clamp_actual_velocity_norm,clamp_hit,selection,nominal_nll_decrease,realized_demand_ratio,unmet_demand
LP-S,1,0,285a3add6f31d8546b0d76689a016bc0f9f7d8e58c95f54e87bba48ad5cabc65,12.262548446655273,9.38394832611084,2.8786001205444336,6.073643467496069,6.073643467496069,1.0,5.7276939326400464,0.0,0.9999999999998254,0.9999999999999986,3.215176603061749e-08,6.073643467496069,6.073643502149852,0,PRIMARY,,,
LP-S,1,1,6abbaf2496b409f11036390da3b47c9272a243b8a164ca3d9f9a65fafbec985d,9.80288028717041,7.646365642547607,2.1565146446228027,6.0736434674955655,6.0736434674955655,1.0,3.9174854590137334,0.0,0.9999999999997448,0.9999999999999997,2.4182805428903146e-08,6.0736434674955655,6.073643458952567,0,PRIMARY,,,
LP-S,1,2,9e6706cd1a722d31b1dbfa3eba84ea86ef6cdb2c3c17d63b21f5cc7e76ef6e7d,14.721683502197266,9.559947967529297,5.161735534667969,6.073643467496495,6.073643467496495,1.0,9.518929894668425,0.0,0.999999999999895,1.0,8.699554011972556e-09,6.073643467496495,6.073643501837327,0,PRIMARY,,,
LP-S,1,3,90537afae22e47988418137733b2bba6fe78ac3f2cf3e8a710430cb784b35dc9,11.605352401733398,9.291074752807617,2.3142776489257812,6.073643467495598,6.073643467495598,1.0,3.9688425503887164,0.0,0.999999999999748,1.0000000000000004,1.1805449329591088e-08,6.073643467495598,6.073643483841126,0,PRIMARY,,,
LP-S,1,4,a77982960263f0dfb48efd2b8425a460b3d20430fb61ce562f7e2ffbbd3561fd,5.595385551452637,2.847196340560913,2.7481892108917236,6.07364346749629,6.07364346749629,1.0,7.281029062777701,0.0,0.9999999999998627,0.9999999999999978,7.441954866460199e-09,6.07364346749629,6.073643438450541,0,PRIMARY,,,
LP-S,1,5,cc987485b7f9961ef45a3aeb9301abf629d197b349e59b58ed6f5592212f16a5,10.42148208618164,7.609580039978027,2.8119020462036133,6.073643467495762,6.073643467495762,1.0,4.508621696203355,0.0,0.9999999999997782,1.000000000000001,1.4716106897073574e-08,6.073643467495762,6.073643501364322,0,PRIMARY,,,
LP-S,1,6,042d6957cbf51889a68f9ec05692ae02395bbfb258ab0b145b56d98b06844fc8,10.640462875366211,8.412263870239258,2.228199005126953,6.073643467495834,6.073643467495834,1.0,4.740210198620787,0.0,0.9999999999997891,0.9999999999999998,9.675237419538559e-09,6.073643467495834,6.073643488884716,0,PRIMARY,,,
LP-S,1,7,05dcb1cec09134d2efacd122ce09e701a8db7624e92b7aacd3194a7f4fdb415c,13.124518394470215,8.044679641723633,5.079838752746582,6.073643467496218,6.073643467496218,1.0,6.756838185241422,0.0,0.999999999999852,1.0000000000000016,2.663857464795109e-08,6.073643467496218,6.073643484985157,0,PRIMARY,,,
LP-S,1,8,db99bc188dd5a31df5e5c30a1acc5379a51ae45dff15346ebc2be90a1d016ffb,16.47486114501953,14.517030715942383,1.9578304290771484,6.073643467494934,6.073643467494934,1.0,2.763051113368276,0.0,0.9999999999996381,1.0000000000000004,5.188356125612839e-08,6.073643467494934,6.0736434678596245,0,PRIMARY,,,
LP-S,1,9,4042d278f9a0433f41f891fcbc391eee910a5adfea1cc73f3792d75698ffdd46,11.559005737304688,9.984896659851074,1.5741090774536133,6.073643467494314,6.073643467494314,1.0,2.1492601591450993,0.0,0.9999999999995347,1.0000000000000013,1.591271476643427e-08,6.073643467494314,6.0736435003925955,0,PRIMARY,,,
