state,panel,metric,numerator,denominator,percent,mean_new_nll,mean_true_nll,TF_strict_numerator,TF_strict_denominator,token_numerator,token_denominator,ties
B-OS,Current100,RS,100,100,100.0,0.03218117530559539,13.86077516078949,99,100,100,101,0
B-OS,Current100,PS,197,200,98.5,0.7214872916531749,10.213814483880997,169,200,170,202,0
B-OS,Current100,NS,706,1000,70.6,8.19167976632528,5.640649664716795,122,1000,152,1030,0
B-OS,Fixed100,RS,100,100,100.0,0.21343255337298614,12.511553092002869,97,100,98,101,0
B-OS,Fixed100,PS,192,200,96.0,1.227014860502386,9.262561629414558,142,200,144,202,0
B-OS,Fixed100,NS,695,1000,69.5,8.416586308222264,6.2627206521197225,89,1000,119,1030,0
B-OS,Past100,RS,100,100,100.0,0.022505554567906073,13.197545928955078,100,100,101,101,0
B-OS,Past100,PS,191,200,95.5,1.081097199114447,9.682975612133742,146,200,148,202,0
B-OS,Past100,NS,697,1000,69.7,7.432674278513063,5.504968291766941,136,1000,164,1030,0
W0,Current100,RS,12,100,12.0,11.241733033657074,4.87490652371198,0,100,1,101,0
W0,Current100,PS,23,200,11.5,10.389654750823974,4.835782280936837,0,200,1,202,0
W0,Current100,NS,888,1000,88.8,11.36197849792242,5.070170894880691,172,1000,202,1030,0
W0,Fixed100,RS,5,100,5.0,11.743397884368896,4.899287044950761,0,100,0,101,0
W0,Fixed100,PS,20,200,10.0,10.184147419929504,5.011512755323201,0,200,0,202,0
W0,Fixed100,NS,886,1000,88.6,11.702866084575653,5.548876629311417,171,1000,200,1030,0
W0,Past100,RS,11,100,11.0,10.86838402748108,5.146401657238602,0,100,1,101,0
W0,Past100,PS,20,200,10.0,9.589275226593017,4.848980815527029,0,200,2,202,0
W0,Past100,NS,879,1000,87.9,10.526689789682045,5.142167703992047,219,1000,249,1030,0
We,Current100,RS,30,100,30.0,8.809954380691051,6.173867802880705,3,100,4,101,0
We,Current100,PS,53,200,26.5,8.648566141873598,6.087802741080522,4,200,5,202,0
We,Current100,NS,724,1000,72.4,8.623838197804988,5.8974339674478395,103,1000,133,1030,0
We,Fixed100,RS,100,100,100.0,0.2106895739410538,12.7361226272583,97,100,98,101,0
We,Fixed100,PS,194,200,97.0,1.52231230892241,9.61725381553173,133,200,135,202,0
We,Fixed100,NS,693,1000,69.3,8.691332597865722,6.519098874703748,81,1000,111,1030,0
We,Past100,RS,100,100,100.0,0.019518377679487456,13.667411437034607,100,100,101,101,0
We,Past100,PS,192,200,96.0,1.3170950577760232,9.950877227783202,138,200,140,202,0
We,Past100,NS,685,1000,68.5,7.772851611431455,5.894224673379212,109,1000,139,1030,0
N4,Current100,RS,100,100,100.0,0.026669071845753935,14.254081435203553,99,100,100,101,0
N4,Current100,PS,197,200,98.5,1.194420348558633,10.573924385309219,149,200,150,202,0
N4,Current100,NS,711,1000,71.1,8.478977380886674,5.960384629011154,101,1000,131,1030,0
N4,Fixed100,RS,100,100,100.0,0.2273578988427471,12.724215713739396,97,100,98,101,0
N4,Fixed100,PS,194,200,97.0,1.5020766990911216,9.628624231815339,134,200,136,202,0
N4,Fixed100,NS,696,1000,69.6,8.672806901887059,6.515947302433196,79,1000,109,1030,0
N4,Past100,RS,100,100,100.0,0.027742637576302513,13.628888692855835,99,100,100,101,0
N4,Past100,PS,193,200,96.5,1.3197504089114955,9.972619814276696,137,200,139,202,0
N4,Past100,NS,686,1000,68.6,7.743244072382921,5.90732610468939,113,1000,143,1030,0
