reference,endpoint,panel,metric,denominator,reference_success,success_to_failure,failure_to_success,NLL_new_delta_mean
N4,B-OS,Current100,RS,100,100,0,0,0.005512103459841456
N4,B-OS,Current100,PS,200,197,1,1,-0.4729330569054582
N4,B-OS,Current100,NS,1000,711,19,14,-0.28729761456139385
N4,B-OS,Fixed100,RS,100,100,0,0,-0.01392534546976094
N4,B-OS,Fixed100,PS,200,194,3,1,-0.27506183858873556
N4,B-OS,Fixed100,NS,1000,696,12,11,-0.25622059366479516
N4,B-OS,Past100,RS,100,100,0,0,-0.005237083008396439
N4,B-OS,Past100,PS,200,193,2,0,-0.2386532097970485
N4,B-OS,Past100,NS,1000,686,11,22,-0.31056979386985767
We,B-OS,Current100,RS,100,30,0,70,-8.777773205385456
We,B-OS,Current100,PS,200,53,0,144,-7.927078850220423
We,B-OS,Current100,NS,1000,724,31,13,-0.43215843147970734
We,B-OS,Fixed100,RS,100,100,0,0,0.0027429794319323263
We,B-OS,Fixed100,PS,200,194,3,1,-0.29529744842002403
We,B-OS,Fixed100,NS,1000,693,14,16,-0.27474628964345904
We,B-OS,Past100,RS,100,100,0,0,0.0029871768884186167
We,B-OS,Past100,PS,200,192,1,0,-0.2359978586615762
We,B-OS,Past100,NS,1000,685,15,27,-0.34017733291839247
