job,status,reason,published_batches,canonical_denominator
37151_1,FAILED,PURE_TECHNICAL_ALPHA_CACHE_BINDING_B2,1,0
37151_3,CANCELLED_BEFORE_START,PREVENT_SAME_TECHNICAL_DEFECT,0,0
