cell,model,writer,job,result_root,source_head,source_tree,result_sha256,terminal_identity,easyedit_head,easyedit_tree,cell_wall_seconds,model_load_seconds,model_forward_count,peak_allocated_GiB,peak_reserved_GiB,requests,batches,full_fp32
LM,llama3-8b-inst,MEMIT,37151_0,/data/janghj/ODE-edit/local/state/orbode-sequential-b100x10-server4-v1/tech-r1/results/task-0,9b167455c1562be076aa2437fa63565187804aa7,2af244e2dfe45d9fc8902d889b688b40231c6662,d06a0f50a4a5b029dd600799d36ebdcda077f37d3e96fedc45b03ec98a13ec20,337306d8852c9f1bf73610f48feb1f297bac724029ffcf98e65d0797e6095227,14cea8245f06715684592ab55184939b99d70784,9c52aadbc0883da422badf0a730fff21aaa3a8a7,42700.001270687208,13.07944324798882,141761,41.681000232696533,47.30078125,5000,50,True
LA,llama3-8b-inst,AlphaEdit,37214_1,/data/janghj/ODE-edit/local/state/orbode-sequential-b100x10-server4-v1/tech-r2/execution-2/results/task-1,f47d035dc1ac35b1adcd8c036336ea69c5f32a4e,ce6debc1f0b0d8b03b3c9355320251f169c7e09c,1d977ca38d6b32f457427ad194c01324b562738af7d06491ba416e5681990b79,e3d727ae5f972c31431aa6c2f5810d65937fc0ff7bcae24bf0a7b5a565f3345c,14cea8245f06715684592ab55184939b99d70784,9c52aadbc0883da422badf0a730fff21aaa3a8a7,44596.398514422588,9.0024489481002092,148644,39.712059497833252,47.240234375,5000,50,True
QM,qwen2.5-7b-inst,MEMIT,37151_2,/data/janghj/ODE-edit/local/state/orbode-sequential-b100x10-server4-v1/tech-r1/results/task-2,9b167455c1562be076aa2437fa63565187804aa7,2af244e2dfe45d9fc8902d889b688b40231c6662,f8336e3fbb742d77fdf87e3802a8a0b5ab950babc6c25cd80ac136a26f0d293c,1f7f94eec45eaf2c6652c1820b3048bc8925a46d8f68520220acd390a8cdd267,14cea8245f06715684592ab55184939b99d70784,9c52aadbc0883da422badf0a730fff21aaa3a8a7,35252.969603721984,6.517851710319519,90677,45.147125720977783,51.142578125,5000,50,True
QA,qwen2.5-7b-inst,AlphaEdit,37214_3,/data/janghj/ODE-edit/local/state/orbode-sequential-b100x10-server4-v1/tech-r2/execution-2/results/task-3,f47d035dc1ac35b1adcd8c036336ea69c5f32a4e,ce6debc1f0b0d8b03b3c9355320251f169c7e09c,92ecb4a3280aec8620dfbeac12d02b001be61ae09ad17a1e34b53ef94841254a,3e3462c8db84085f41697a2edbff3f9e7c301c80879de209d9f8b73903c49f0f,14cea8245f06715684592ab55184939b99d70784,9c52aadbc0883da422badf0a730fff21aaa3a8a7,42189.93176382035,7.3108720239251852,110877,41.977941989898682,46.52734375,5000,50,True
