cell,arm,stage,category,scope,unit,nll_new_n,nll_new_mean,nll_new_median,nll_new_q25,nll_new_q75,nll_new_p90,nll_new_max,nll_true_n,nll_true_mean,nll_true_median,nll_true_q25,nll_true_q75,nll_true_p90,nll_true_max,margin_true_minus_new_n,margin_true_minus_new_mean,margin_true_minus_new_median,margin_true_minus_new_q25,margin_true_minus_new_q75,margin_true_minus_new_p90,margin_true_minus_new_max
LM,O,ENTRY_CURRENT_COHORT,rewrite,ALL_BATCH_ENDPOINTS,prompt,1000,10.019546168640256,9.8902778625488281,7.2271566390991211,12.928500890731812,15.437070655822755,22.646419525146484,1000,4.2084139772406779,3.6099535226821899,1.4750350713729858,6.2192622423171997,9.0829391479492188,16.082382202148438,1000,-5.8111321913995777,-5.8404287695884705,-9.0260141119360924,-2.5576595664024353,0.51709871292114351,14.183220267295837
LM,O,ENTRY_CURRENT_COHORT,rewrite,ALL_BATCH_ENDPOINTS,request_cluster,1000,10.019546168640256,9.8902778625488281,7.2271566390991211,12.928500890731812,15.437070655822755,22.646419525146484,1000,4.2084139772406779,3.6099535226821899,1.4750350713729858,6.2192622423171997,9.0829391479492188,16.082382202148438,1000,-5.8111321913995777,-5.8404287695884705,-9.0260141119360924,-2.5576595664024353,0.51709871292114351,14.183220267295837
LM,O,ENTRY_CURRENT_COHORT,rewrite,B10_ONLY,prompt,100,9.5457254183292388,9.3257989883422852,6.8142894506454468,12.590160608291626,14.560137557983399,19.629377365112305,100,4.5052762416284535,3.8684623241424561,2.1499868631362915,6.2303899526596069,9.1178908348083532,13.759068489074707,100,-5.0404491767007862,-5.0559408664703369,-8.3680149912834167,-1.8003946542739868,1.1114969253540083,5.7825155258178711
LM,O,ENTRY_CURRENT_COHORT,rewrite,B10_ONLY,request_cluster,100,9.5457254183292388,9.3257989883422852,6.8142894506454468,12.590160608291626,14.560137557983399,19.629377365112305,100,4.5052762416284535,3.8684623241424561,2.1499868631362915,6.2303899526596069,9.1178908348083532,13.759068489074707,100,-5.0404491767007862,-5.0559408664703369,-8.3680149912834167,-1.8003946542739868,1.1114969253540083,5.7825155258178711
LM,O,ENTRY_CURRENT_COHORT,rephrase,ALL_BATCH_ENDPOINTS,prompt,2000,9.4389432344821245,9.4017806053161621,6.9909927845001221,11.885154485702515,14.168044471740725,21.519075393676758,2000,4.2492539351768794,3.7298684120178223,1.3693453371524811,6.3191874027252197,8.9736747741699237,20.656232833862305,2000,-5.1896892993052459,-5.2351421713829041,-8.3547804057598114,-2.1510553359985352,0.81183013916016111,17.398310482880333
LM,O,ENTRY_CURRENT_COHORT,rephrase,ALL_BATCH_ENDPOINTS,request_cluster,1000,9.4389432344821245,9.4349052906036377,7.2147206664085388,11.701961040496826,13.748721504211426,20.063069343566895,1000,4.2492539351768794,3.7991814017295837,1.953491285443306,6.0758714526891708,8.4321151733398452,16.049556255340576,1000,-5.1896892993052459,-5.2157601118087769,-8.2372854584828019,-2.4693031311035156,0.51616019010544012,10.160806060026516
LM,O,ENTRY_CURRENT_COHORT,rephrase,B10_ONLY,prompt,200,9.4459383917599915,9.3872280120849609,7.1712139844894409,11.748162984848022,14.183229255676268,18.06163215637207,200,4.4098127991240474,4.2055275440216064,1.5402989089488983,6.5299935340881348,8.9546793937683109,14.039410591125488,200,-5.0361255926359441,-5.0731734186410904,-8.3279719352722168,-1.954662561416626,1.1100421905517575,9.1684144139289856
LM,O,ENTRY_CURRENT_COHORT,rephrase,B10_ONLY,request_cluster,100,9.4459383917599915,9.4692423343658447,7.2605701088905334,11.470797538757324,13.731427049636842,17.203306198120117,100,4.4098127991240474,4.1061610579490662,2.1307001411914825,5.8700312376022339,8.6811753988266016,12.100894927978516,100,-5.0361255926359441,-5.2622607350349426,-8.1357229053974152,-1.7133854627609253,1.0659107208251957,7.5475436821579933
LM,O,ENTRY_CURRENT_COHORT,locality,ALL_BATCH_ENDPOINTS,prompt,10000,9.9649866367754871,9.9845161437988281,7.2504009008407593,12.68317985534668,15.069405460357668,24.426849365234375,10000,4.584852646290261,3.9548128843307495,1.5570380985736847,6.9536886215209961,9.7457881927490266,20.685436248779297,10000,-5.380133990485227,-5.4249433800578117,-8.8354618847370148,-1.8993671834468842,1.1419592857360852,18.298119060695171
LM,O,ENTRY_CURRENT_COHORT,locality,ALL_BATCH_ENDPOINTS,request_cluster,1000,9.9649866367754871,10.043242144584656,7.8054233372211455,12.103737807273864,14.099056234359741,19.649558448791502,1000,4.584852646290261,4.2871811866760252,2.843096239713486,6.0060153886675831,7.8935590171813965,12.852423667907715,1000,-5.380133990485227,-5.2494387236423794,-8.0349439112469554,-2.7772056460380554,-0.46935835556127126,6.0847759604454037
LM,O,ENTRY_CURRENT_COHORT,locality,B10_ONLY,prompt,1000,9.2228351661267229,9.1993770599365234,6.6246309280395508,11.856344223022461,14.34007740020752,22.493947982788086,1000,4.5685270683760759,3.9024537801742554,1.6302752494812012,6.9098274707794189,9.3787352561950676,17.186494827270508,1000,-4.654308097750647,-4.7999136447906494,-7.9046930968761444,-1.3978663682937622,1.6427780151367188,13.796793906018138
LM,O,ENTRY_CURRENT_COHORT,locality,B10_ONLY,request_cluster,100,9.2228351661267212,8.8024365663528457,7.3890640169382094,11.295228147506714,13.878437681198122,19.649558448791502,100,4.5685270683760759,4.3800567239522934,2.9125488813035192,6.0555599629878998,7.8952910876274132,11.718822193145751,100,-4.6543080977506461,-4.4402978375554083,-6.9018003141507505,-2.1035359501838684,-0.15352546453475832,4.2318667165935038
LM,O,IMMEDIATE_POST,rewrite,ALL_BATCH_ENDPOINTS,prompt,1000,0.084218298614414377,0.0026585257146507502,0.00098671496380120516,0.0071420423919335008,0.019961985200643542,13.503738403320312,1000,13.035720917675643,12.778017997741699,10.200168609619141,15.810544013977051,18.285474395751955,25.959300994873047,1000,12.95150261906123,12.766767257155152,10.197330131773924,15.809041677275673,18.281027252972127,25.958925556100439
LM,O,IMMEDIATE_POST,rewrite,ALL_BATCH_ENDPOINTS,request_cluster,1000,0.084218298614414377,0.0026585257146507502,0.00098671496380120516,0.0071420423919335008,0.019961985200643542,13.503738403320312,1000,13.035720917675643,12.778017997741699,10.200168609619141,15.810544013977051,18.285474395751955,25.959300994873047,1000,12.95150261906123,12.766767257155152,10.197330131773924,15.809041677275673,18.281027252972127,25.958925556100439
LM,O,IMMEDIATE_POST,rewrite,B10_ONLY,prompt,100,0.022523977620876393,0.0043146866373717785,0.0018147143418900669,0.014820681652054191,0.027725130505859872,0.74604856967926025,100,12.789528641700745,12.371958255767822,10.913951396942139,15.138244867324829,17.412347030639648,23.516998291015625,100,12.767004664079868,12.355576663278043,10.896270826691762,15.134106537210755,17.411633356695528,23.516868003745913
LM,O,IMMEDIATE_POST,rewrite,B10_ONLY,request_cluster,100,0.022523977620876393,0.0043146866373717785,0.0018147143418900669,0.014820681652054191,0.027725130505859872,0.74604856967926025,100,12.789528641700745,12.371958255767822,10.913951396942139,15.138244867324829,17.412347030639648,23.516998291015625,100,12.767004664079868,12.355576663278043,10.896270826691762,15.134106537210755,17.411633356695528,23.516868003745913
LM,O,IMMEDIATE_POST,rephrase,ALL_BATCH_ENDPOINTS,prompt,2000,1.9204728058821565,0.35716158151626587,0.02816215343773365,2.7165985107421875,6.0304656505584724,20.703525543212891,2000,8.9503108717744464,8.7773456573486328,6.0211212635040283,11.707233905792236,14.241065883636475,25.263713836669922,2000,7.0298380658922905,7.2623565569519997,3.6816615331918001,10.674878716468811,13.713636445254087,25.256325426977128
LM,O,IMMEDIATE_POST,rephrase,ALL_BATCH_ENDPOINTS,request_cluster,1000,1.9204728058821565,0.86193464184179902,0.087397672235965729,2.9796110931783915,5.4355885562486952,18.883160591125488,1000,8.9503108717744464,8.8158842325210571,6.3867901563644409,11.269168853759766,13.779916763305664,22.442324638366699,1000,7.0298380658922905,7.2101900670677423,4.1435445044189692,10.178643657331122,12.980692615406587,22.433177178259939
LM,O,IMMEDIATE_POST,rephrase,B10_ONLY,prompt,200,1.2717815455600794,0.11773841083049774,0.022269200533628464,1.359032154083252,4.698286008834839,11.772296905517578,200,9.5030458009243013,9.2915916442871094,6.634737491607666,12.052125692367554,14.223813152313232,20.551277160644531,200,8.2312642553642217,8.7981897369027138,4.8003979325294495,11.733936181291938,14.181913032010197,20.54730074480176
LM,O,IMMEDIATE_POST,rephrase,B10_ONLY,request_cluster,100,1.2717815455600794,0.25536243990063667,0.037153068769839592,1.3552002655342221,4.9272787690162669,7.1195764541625977,100,9.5030458009243013,9.4144463539123535,6.9219509959220886,11.7337327003479,13.870861387252809,17.989284515380859,100,8.2312642553642217,8.6973762512207031,5.1753191337920725,11.443843427696265,13.800581928584142,17.976501096971333
LM,O,IMMEDIATE_POST,locality,ALL_BATCH_ENDPOINTS,prompt,10000,9.1101302536436588,9.193812370300293,6.2404590845108032,11.973459482192993,14.445428180694581,23.431537628173828,10000,4.5888244001988143,4.0198056697845459,1.5812006294727325,6.8177313804626465,9.7103474617004402,20.999975204467773,10000,-4.5213058534448445,-4.5892593860626221,-8.1243971139192581,-0.9784390926361084,2.0791579127311715,18.476884823292494
LM,O,IMMEDIATE_POST,locality,ALL_BATCH_ENDPOINTS,request_cluster,1000,9.1101302536436588,9.2283806562423703,6.701378500461578,11.377445507049561,13.552330150604249,18.429289722442626,1000,4.5888244001988152,4.2609460022300478,2.8768630447331813,5.9591992110013958,7.7036513674259188,13.116521215438842,1000,-4.5213058534448445,-4.4410265767946839,-7.2859183412976556,-1.9053227931261063,0.70846831440925695,8.1286231240024787
