cell,arm,reference,metric,n,mean,median,q25,q75,p90,max,positive,zero,negative,paired_request_order_sha256
LM,QCL,O,rewrite_success,1000,-0.0089999999999999993,0,0,0,0,1,1,989,10,018be113361157d6f4050c37a4fec14fff78e60388e3898253d66f070d78cfc3
LM,QCL,O,rephrase_prompt_success_count,1000,-0.085999999999999993,0,0,0,0,1,7,906,87,018be113361157d6f4050c37a4fec14fff78e60388e3898253d66f070d78cfc3
LM,QCL,O,rephrase_strict_success,1000,-0.068000000000000005,0,0,0,0,1,2,928,70,018be113361157d6f4050c37a4fec14fff78e60388e3898253d66f070d78cfc3
LM,QCL,O,canonical_ns_rate,1000,0.018200000000000004,0,0,0,0.099999999999999978,0.69999999999999996,167,749,84,018be113361157d6f4050c37a4fec14fff78e60388e3898253d66f070d78cfc3
LM,QCL,O,rewrite_target_new_nll,1000,0.11770580871457423,0.0025009765522554517,0.0002960620004159864,0.0099133958865422755,0.046894245501607659,9.6466045677661896,800,0,200,018be113361157d6f4050c37a4fec14fff78e60388e3898253d66f070d78cfc3
LM,QCL,O,rewrite_target_true_nll,1000,-1.3349654031433165,-1.2726283073425293,-2.5061616897583008,-0.28373289108276367,1.1614475250244147,10.520566940307617,204,0,796,018be113361157d6f4050c37a4fec14fff78e60388e3898253d66f070d78cfc3
LM,QCL,O,rephrase_target_new_nll_mean,1000,0.45881345602437795,0.16423252574168146,0.0029848097219655756,0.70307286735624075,1.5641250822576698,8.0575699284672737,770,0,230,018be113361157d6f4050c37a4fec14fff78e60388e3898253d66f070d78cfc3
LM,QCL,O,rephrase_target_true_nll_mean,1000,-0.79504191083670595,-0.69574731588363647,-1.5455945730209351,0.0021451115608215332,0.83433854579925548,9.3144347667694092,252,0,748,018be113361157d6f4050c37a4fec14fff78e60388e3898253d66f070d78cfc3
LM,QCL,O,rewrite_margin_true_minus_new,1000,-1.4526712118578908,-1.3615917503484525,-2.6290648810972925,-0.37402333610225469,1.2143554607224363,10.548101182852406,196,0,804,018be113361157d6f4050c37a4fec14fff78e60388e3898253d66f070d78cfc3
LM,QCL,O,rephrase_margin_true_minus_new_mean,1000,-1.2538553668610839,-1.0746063920669258,-2.0983171137049794,-0.2728692558594048,0.77617933961446406,9.6671137971570715,194,0,806,018be113361157d6f4050c37a4fec14fff78e60388e3898253d66f070d78cfc3
LM,NQFIX,O,rewrite_success,1000,0.0050000000000000001,0,0,0,0,1,5,995,0,018be113361157d6f4050c37a4fec14fff78e60388e3898253d66f070d78cfc3
LM,NQFIX,O,rephrase_prompt_success_count,1000,0.10299999999999999,0,0,0,0,2,95,897,8,018be113361157d6f4050c37a4fec14fff78e60388e3898253d66f070d78cfc3
LM,NQFIX,O,rephrase_strict_success,1000,0.070000000000000007,0,0,0,0,1,77,916,7,018be113361157d6f4050c37a4fec14fff78e60388e3898253d66f070d78cfc3
LM,NQFIX,O,canonical_ns_rate,1000,-0.062899999999999998,0,-0.099999999999999978,0,0,0.59999999999999998,85,595,320,018be113361157d6f4050c37a4fec14fff78e60388e3898253d66f070d78cfc3
LM,NQFIX,O,rewrite_target_new_nll,1000,-0.060999106139162908,-0.00043039557931479067,-0.0030330681038321927,0.0015732269966974854,0.013760983420070269,3.1240461736742873,365,0,635,018be113361157d6f4050c37a4fec14fff78e60388e3898253d66f070d78cfc3
LM,NQFIX,O,rewrite_target_true_nll,1000,0.87076033880934123,0.87762355804443359,-0.76013791561126709,2.5759351253509521,4.6818705558776861,16.952632691711187,664,0,336,018be113361157d6f4050c37a4fec14fff78e60388e3898253d66f070d78cfc3
LM,NQFIX,O,rephrase_target_new_nll_mean,1000,-0.67747020371223154,-0.13732895540306345,-0.98239364288747311,0.0011967586833634414,0.26076045520603663,5.7321006059646606,263,0,737,018be113361157d6f4050c37a4fec14fff78e60388e3898253d66f070d78cfc3
LM,NQFIX,O,rephrase_target_true_nll_mean,1000,1.2635594202241627,1.0389847159385681,-0.14920228719711304,2.4984173774719238,4.5025034904479986,12.982841014862061,729,0,271,018be113361157d6f4050c37a4fec14fff78e60388e3898253d66f070d78cfc3
LM,NQFIX,O,rewrite_margin_true_minus_new,1000,0.93175944494850405,0.94694493294809945,-0.76391901556780795,2.5947246916548465,4.7592253918701317,30.4562881288075,667,0,333,018be113361157d6f4050c37a4fec14fff78e60388e3898253d66f070d78cfc3
LM,NQFIX,O,rephrase_margin_true_minus_new_mean,1000,1.9410296239363942,1.564943017961923,0.21858808398246765,3.3456078534654807,5.7938080983003601,16.143893397646025,780,0,220,018be113361157d6f4050c37a4fec14fff78e60388e3898253d66f070d78cfc3
LM,ORBFH,O,rewrite_success,1000,-0.083000000000000004,0,0,0,0,1,1,915,84,018be113361157d6f4050c37a4fec14fff78e60388e3898253d66f070d78cfc3
LM,ORBFH,O,rephrase_prompt_success_count,1000,-0.153,0,0,0,0,2,31,850,119,018be113361157d6f4050c37a4fec14fff78e60388e3898253d66f070d78cfc3
LM,ORBFH,O,rephrase_strict_success,1000,-0.091999999999999998,0,0,0,0,1,18,872,110,018be113361157d6f4050c37a4fec14fff78e60388e3898253d66f070d78cfc3
LM,ORBFH,O,canonical_ns_rate,1000,-0.0066000000000000017,0,0,0,0.010000000000002271,0.70000000000000007,100,728,172,018be113361157d6f4050c37a4fec14fff78e60388e3898253d66f070d78cfc3
LM,ORBFH,O,rewrite_target_new_nll,1000,0.83413859430812587,8.0381782026961446e-05,-0.0011796283506555483,0.0012191931600682437,1.1208199739456179,20.207627769559622,550,0,450,018be113361157d6f4050c37a4fec14fff78e60388e3898253d66f070d78cfc3
LM,ORBFH,O,rewrite_target_true_nll,1000,-0.73308515890501436,-0.14535331726074219,-1.2280960083007812,0.81668710708618164,2.3777853965759284,9.1199855804443359,446,0,554,018be113361157d6f4050c37a4fec14fff78e60388e3898253d66f070d78cfc3
LM,ORBFH,O,rephrase_target_new_nll_mean,1000,0.69175990727664793,0.0065115769684780389,-0.11798336797801312,0.36410482344217598,2.4820117413997651,15.977766081690788,557,0,443,018be113361157d6f4050c37a4fec14fff78e60388e3898253d66f070d78cfc3
LM,ORBFH,O,rephrase_target_true_nll_mean,1000,-0.51754718537407463,-0.073176801204681396,-0.92269140481948853,0.50934964418411255,1.6406787395477309,7.823620080947876,454,0,546,018be113361157d6f4050c37a4fec14fff78e60388e3898253d66f070d78cfc3
LM,ORBFH,O,rewrite_margin_true_minus_new,1000,-1.5672237532131403,-0.14616635788843269,-1.3401106638630154,0.81154909991892055,2.4060730746510672,10.054309990257025,445,0,555,018be113361157d6f4050c37a4fec14fff78e60388e3898253d66f070d78cfc3
LM,ORBFH,O,rephrase_margin_true_minus_new_mean,1000,-1.2093070926507226,-0.16229443252086639,-1.1853802712867036,0.64863256923854351,2.0437573437578984,8.3144272938370705,436,0,564,018be113361157d6f4050c37a4fec14fff78e60388e3898253d66f070d78cfc3
LM,JAC,O,rewrite_success,1000,-0.082000000000000003,0,0,0,0,1,2,914,84,018be113361157d6f4050c37a4fec14fff78e60388e3898253d66f070d78cfc3
LM,JAC,O,rephrase_prompt_success_count,1000,-0.153,0,0,0,0,2,28,850,122,018be113361157d6f4050c37a4fec14fff78e60388e3898253d66f070d78cfc3
LM,JAC,O,rephrase_strict_success,1000,-0.088999999999999996,0,0,0,0,1,16,879,105,018be113361157d6f4050c37a4fec14fff78e60388e3898253d66f070d78cfc3
LM,JAC,O,canonical_ns_rate,1000,-0.0011999999999999984,0,0,0,0.099999999999999978,0.90000000000000002,145,670,185,018be113361157d6f4050c37a4fec14fff78e60388e3898253d66f070d78cfc3
LM,JAC,O,rewrite_target_new_nll,1000,0.94186648496503134,0.00016282359138131142,-0.0014199005381669849,0.0018392830970697105,0.55653223842382793,18.567551563202869,562,0,438,018be113361157d6f4050c37a4fec14fff78e60388e3898253d66f070d78cfc3
LM,JAC,O,rewrite_target_true_nll,1000,-0.85951555854175243,-0.16001129150390625,-1.6924648284912109,0.88416600227355957,2.6379978179931642,11.599432945251465,446,0,554,018be113361157d6f4050c37a4fec14fff78e60388e3898253d66f070d78cfc3
LM,JAC,O,rephrase_target_new_nll_mean,1000,0.75064161797105045,0.0067095542253809981,-0.13928765839955304,0.44140485022217035,2.6652740711550003,18.960349325789139,545,0,455,018be113361157d6f4050c37a4fec14fff78e60388e3898253d66f070d78cfc3
