cell,arm,batch,seen_requests,cumulative_Wt_all_seen_evaluation,recoverable_W_checkpoint,stored_endpoint_cohort_requests,replay_or_imputation
LA,ORBFH,9,900,NOT_RECORDED,NOT_RECORDED,100,0
LA,ORBFH,10,1000,NOT_RECORDED,NOT_RECORDED,100,0
LA,JAC,1,100,NOT_RECORDED,NOT_RECORDED,100,0
LA,JAC,2,200,NOT_RECORDED,NOT_RECORDED,100,0
LA,JAC,3,300,NOT_RECORDED,NOT_RECORDED,100,0
LA,JAC,4,400,NOT_RECORDED,NOT_RECORDED,100,0
LA,JAC,5,500,NOT_RECORDED,NOT_RECORDED,100,0
LA,JAC,6,600,NOT_RECORDED,NOT_RECORDED,100,0
LA,JAC,7,700,NOT_RECORDED,NOT_RECORDED,100,0
LA,JAC,8,800,NOT_RECORDED,NOT_RECORDED,100,0
LA,JAC,9,900,NOT_RECORDED,NOT_RECORDED,100,0
LA,JAC,10,1000,NOT_RECORDED,NOT_RECORDED,100,0
QM,O,1,100,NOT_RECORDED,NOT_RECORDED,100,0
QM,O,2,200,NOT_RECORDED,NOT_RECORDED,100,0
QM,O,3,300,NOT_RECORDED,NOT_RECORDED,100,0
QM,O,4,400,NOT_RECORDED,NOT_RECORDED,100,0
QM,O,5,500,NOT_RECORDED,NOT_RECORDED,100,0
QM,O,6,600,NOT_RECORDED,NOT_RECORDED,100,0
QM,O,7,700,NOT_RECORDED,NOT_RECORDED,100,0
QM,O,8,800,NOT_RECORDED,NOT_RECORDED,100,0
QM,O,9,900,NOT_RECORDED,NOT_RECORDED,100,0
QM,O,10,1000,NOT_RECORDED,NOT_RECORDED,100,0
QM,QCL,1,100,NOT_RECORDED,NOT_RECORDED,100,0
QM,QCL,2,200,NOT_RECORDED,NOT_RECORDED,100,0
QM,QCL,3,300,NOT_RECORDED,NOT_RECORDED,100,0
QM,QCL,4,400,NOT_RECORDED,NOT_RECORDED,100,0
QM,QCL,5,500,NOT_RECORDED,NOT_RECORDED,100,0
QM,QCL,6,600,NOT_RECORDED,NOT_RECORDED,100,0
QM,QCL,7,700,NOT_RECORDED,NOT_RECORDED,100,0
QM,QCL,8,800,NOT_RECORDED,NOT_RECORDED,100,0
QM,QCL,9,900,NOT_RECORDED,NOT_RECORDED,100,0
QM,QCL,10,1000,NOT_RECORDED,NOT_RECORDED,100,0
QM,NQFIX,1,100,NOT_RECORDED,NOT_RECORDED,100,0
QM,NQFIX,2,200,NOT_RECORDED,NOT_RECORDED,100,0
QM,NQFIX,3,300,NOT_RECORDED,NOT_RECORDED,100,0
QM,NQFIX,4,400,NOT_RECORDED,NOT_RECORDED,100,0
QM,NQFIX,5,500,NOT_RECORDED,NOT_RECORDED,100,0
QM,NQFIX,6,600,NOT_RECORDED,NOT_RECORDED,100,0
QM,NQFIX,7,700,NOT_RECORDED,NOT_RECORDED,100,0
QM,NQFIX,8,800,NOT_RECORDED,NOT_RECORDED,100,0
QM,NQFIX,9,900,NOT_RECORDED,NOT_RECORDED,100,0
QM,NQFIX,10,1000,NOT_RECORDED,NOT_RECORDED,100,0
QM,ORBFH,1,100,NOT_RECORDED,NOT_RECORDED,100,0
QM,ORBFH,2,200,NOT_RECORDED,NOT_RECORDED,100,0
QM,ORBFH,3,300,NOT_RECORDED,NOT_RECORDED,100,0
QM,ORBFH,4,400,NOT_RECORDED,NOT_RECORDED,100,0
QM,ORBFH,5,500,NOT_RECORDED,NOT_RECORDED,100,0
QM,ORBFH,6,600,NOT_RECORDED,NOT_RECORDED,100,0
QM,ORBFH,7,700,NOT_RECORDED,NOT_RECORDED,100,0
QM,ORBFH,8,800,NOT_RECORDED,NOT_RECORDED,100,0
QM,ORBFH,9,900,NOT_RECORDED,NOT_RECORDED,100,0
QM,ORBFH,10,1000,NOT_RECORDED,NOT_RECORDED,100,0
QM,JAC,1,100,NOT_RECORDED,NOT_RECORDED,100,0
QM,JAC,2,200,NOT_RECORDED,NOT_RECORDED,100,0
QM,JAC,3,300,NOT_RECORDED,NOT_RECORDED,100,0
QM,JAC,4,400,NOT_RECORDED,NOT_RECORDED,100,0
QM,JAC,5,500,NOT_RECORDED,NOT_RECORDED,100,0
QM,JAC,6,600,NOT_RECORDED,NOT_RECORDED,100,0
QM,JAC,7,700,NOT_RECORDED,NOT_RECORDED,100,0
QM,JAC,8,800,NOT_RECORDED,NOT_RECORDED,100,0
QM,JAC,9,900,NOT_RECORDED,NOT_RECORDED,100,0
QM,JAC,10,1000,NOT_RECORDED,NOT_RECORDED,100,0
QA,O,1,100,NOT_RECORDED,NOT_RECORDED,100,0
QA,O,2,200,NOT_RECORDED,NOT_RECORDED,100,0
QA,O,3,300,NOT_RECORDED,NOT_RECORDED,100,0
QA,O,4,400,NOT_RECORDED,NOT_RECORDED,100,0
QA,O,5,500,NOT_RECORDED,NOT_RECORDED,100,0
QA,O,6,600,NOT_RECORDED,NOT_RECORDED,100,0
QA,O,7,700,NOT_RECORDED,NOT_RECORDED,100,0
QA,O,8,800,NOT_RECORDED,NOT_RECORDED,100,0
QA,O,9,900,NOT_RECORDED,NOT_RECORDED,100,0
QA,O,10,1000,NOT_RECORDED,NOT_RECORDED,100,0
QA,QCL,1,100,NOT_RECORDED,NOT_RECORDED,100,0
QA,QCL,2,200,NOT_RECORDED,NOT_RECORDED,100,0
QA,QCL,3,300,NOT_RECORDED,NOT_RECORDED,100,0
QA,QCL,4,400,NOT_RECORDED,NOT_RECORDED,100,0
