role,contexts,requests,weighted_value,recorded_weighted_value,mean_nll,negative_raw_value_n,value_mean,value_median,value_p90,value_max,native_same_bank_value,state_to_native_ratio,state
Base,128,128,0.4031235204965924,0.4031235204965924,5.884034158774739,0,0.4031235204965924,0.1861318200826645,1.0972112655639648,2.324511766433716,0.03489512023043062,11.552432484386303,A0
BaseAudit,128,128,0.3773718929023744,0.3773718929023744,5.809471707732882,0,0.3773718929023744,0.15618053823709488,0.8162653744220733,2.6200790405273438,NOT_RECORDED,N/A,A0
Current,600,100,4727.240508111529,4727.240508111533,0.27229029690083206,0,4727.240508111529,3853.236079055325,10256.40697411169,21058.746898845548,NOT_RECORDED,N/A,A0
Past,256,128,0.033725210291925455,0.03372521029192546,0.5372616213260812,0,0.03372521029192546,0.0,0.004192273141628922,1.6250819720327854,0.010382720766506535,3.248205460819009,A0
PastAudit,256,128,0.03091828839761112,0.030918288397611137,0.5301827756995721,0,0.03091828839761112,0.0,0.00975089082702954,1.307909858226776,NOT_RECORDED,N/A,A0
Base,128,128,0.37248320882190455,0.37248320882190455,5.619945133614237,0,0.37248320882190455,0.05352679826319218,1.1962003707885742,4.572096347808838,0.03489512023043062,10.674363818270413,A-OS
BaseAudit,128,128,0.3041685622083605,0.3041685622083605,5.729466751217842,0,0.3041685622083605,0.158808171749115,0.6915677726268769,2.080963373184204,NOT_RECORDED,N/A,A-OS
Current,600,100,0.9051592290932904,0.9051592290932903,0.28440242789502923,0,0.9051592290932903,0.014162288868020111,0.32580707067812364,196.38780393563775,NOT_RECORDED,N/A,A-OS
Past,256,128,0.008971100119984836,0.00897110011998484,0.37739583514434116,0,0.008971100119984836,0.0,0.0003941711241334787,0.7647358761634677,0.010382720766506535,0.8640413550294614,A-OS
PastAudit,256,128,0.041319990703177926,0.041319990703177926,0.5415816961382518,0,0.041319990703177926,0.0,0.009304504345990644,3.195619297027588,NOT_RECORDED,N/A,A-OS
