state,panel,metric,success_n,denominator,success_rate,new_strict_n,true_strict_n,new_token_correct,new_token_denominator,true_token_correct,true_token_denominator,new_nll_mean,new_nll_median,new_nll_p90,new_nll_max,true_nll_mean,true_nll_median,true_nll_p90,true_nll_max,margin_mean,margin_median,margin_p90,margin_max,arm,numerator,percent,new_nll,true_nll,evidence,provenance
We,Current100,PS,53,200,0.265,4,17,5,202,22,206,8.648566141873598,8.551674842834473,12.91084098815918,18.114866256713867,6.087802741080522,6.09207558631897,10.721861362457275,16.30185317993164,-2.5607634007930757,-2.5874356031417847,2.473768520355224,9.036346912384033,,,,,,,
We_plus_D4,Current100,RS,92,100,0.92,67,1,68,101,4,103,1.931891943794908,0.6633816361427307,6.690682744979859,17.816219329833984,8.556438505351544,8.601901054382324,12.671126937866216,16.202579498291016,6.6245465615566355,7.229200499132276,12.194770899415019,16.190883518196642,,,,,,,
We_plus_D4,Current100,PS,167,200,0.835,69,5,70,202,11,206,3.604677803767845,2.959587812423706,8.40263319015503,13.749027252197266,7.968190643936396,8.252830028533936,11.934050846099854,16.070642471313477,4.363512840168551,5.057642936706543,9.530726481974124,13.974384307861328,,,,,,,
We_plus_D8,Current100,RS,72,100,0.72,40,3,41,101,5,103,4.393299694255111,2.5626211166381836,11.024582290649414,18.453092575073242,9.695526182353497,9.143837451934814,15.876698780059822,24.955963134765625,5.302226488098386,5.5909799337387085,15.55902041401714,24.95547211304074,,,,,,,
We_plus_D8,Current100,PS,129,200,0.645,47,11,48,202,16,206,5.19807421294885,4.72347617149353,10.924354648590086,15.09015941619873,8.376425124704838,8.157416820526123,13.893729686737059,22.756999969482422,3.178350911755988,3.227035164833069,11.749254523962735,22.754145884420723,,,,,,,
N4,Current100,NS,711,1000,0.711,,,,,,,8.478977380886674,,,,5.960384629011154,,,,,,,,N4,711,71.1,8.478977380886674,5.960384629011154,SH2_GIT_PUBLICATION_VERIFIED_RAW_OWNER_VERIFIED,sealed peer aggregate; no new remote raw rehash or paired inference
B-OS,Current100,NS,706,1000,0.706,,,,,,,8.19167976632528,,,,5.640649664716795,,,,,,,,B-OS,706,70.6,8.19167976632528,5.640649664716795,SH2_GIT_PUBLICATION_VERIFIED_RAW_OWNER_VERIFIED,sealed peer aggregate; no new remote raw rehash or paired inference
N4,Current100,PS,197,200,0.985,,,,,,,1.194420348558633,,,,10.573924385309219,,,,,,,,N4,197,98.5,1.194420348558633,10.573924385309219,SH2_GIT_PUBLICATION_VERIFIED_RAW_OWNER_VERIFIED,sealed peer aggregate; no new remote raw rehash or paired inference
B-OS,Current100,PS,197,200,0.985,,,,,,,0.7214872916531749,,,,10.213814483880997,,,,,,,,B-OS,197,98.5,0.7214872916531749,10.213814483880997,SH2_GIT_PUBLICATION_VERIFIED_RAW_OWNER_VERIFIED,sealed peer aggregate; no new remote raw rehash or paired inference
N4,Current100,RS,100,100,1.0,,,,,,,0.026669071845753935,,,,14.254081435203553,,,,,,,,N4,100,100.0,0.026669071845753935,14.254081435203553,SH2_GIT_PUBLICATION_VERIFIED_RAW_OWNER_VERIFIED,sealed peer aggregate; no new remote raw rehash or paired inference
B-OS,Current100,RS,100,100,1.0,,,,,,,0.03218117530559539,,,,13.86077516078949,,,,,,,,B-OS,100,100.0,0.03218117530559539,13.86077516078949,SH2_GIT_PUBLICATION_VERIFIED_RAW_OWNER_VERIFIED,sealed peer aggregate; no new remote raw rehash or paired inference
N4,Fixed100,NS,696,1000,0.696,,,,,,,8.672806901887059,,,,6.515947302433196,,,,,,,,N4,696,69.6,8.672806901887059,6.515947302433196,SH2_GIT_PUBLICATION_VERIFIED_RAW_OWNER_VERIFIED,sealed peer aggregate; no new remote raw rehash or paired inference
B-OS,Fixed100,NS,695,1000,0.695,,,,,,,8.416586308222264,,,,6.2627206521197225,,,,,,,,B-OS,695,69.5,8.416586308222264,6.2627206521197225,SH2_GIT_PUBLICATION_VERIFIED_RAW_OWNER_VERIFIED,sealed peer aggregate; no new remote raw rehash or paired inference
N4,Fixed100,PS,194,200,0.97,,,,,,,1.5020766990911216,,,,9.628624231815339,,,,,,,,N4,194,97.0,1.5020766990911216,9.628624231815339,SH2_GIT_PUBLICATION_VERIFIED_RAW_OWNER_VERIFIED,sealed peer aggregate; no new remote raw rehash or paired inference
B-OS,Fixed100,PS,192,200,0.96,,,,,,,1.227014860502386,,,,9.262561629414558,,,,,,,,B-OS,192,96.0,1.227014860502386,9.262561629414558,SH2_GIT_PUBLICATION_VERIFIED_RAW_OWNER_VERIFIED,sealed peer aggregate; no new remote raw rehash or paired inference
N4,Fixed100,RS,100,100,1.0,,,,,,,0.2273578988427471,,,,12.724215713739396,,,,,,,,N4,100,100.0,0.2273578988427471,12.724215713739396,SH2_GIT_PUBLICATION_VERIFIED_RAW_OWNER_VERIFIED,sealed peer aggregate; no new remote raw rehash or paired inference
B-OS,Fixed100,RS,100,100,1.0,,,,,,,0.21343255337298614,,,,12.511553092002869,,,,,,,,B-OS,100,100.0,0.21343255337298614,12.511553092002869,SH2_GIT_PUBLICATION_VERIFIED_RAW_OWNER_VERIFIED,sealed peer aggregate; no new remote raw rehash or paired inference
N4,Past100,NS,686,1000,0.686,,,,,,,7.743244072382921,,,,5.90732610468939,,,,,,,,N4,686,68.6,7.743244072382921,5.90732610468939,SH2_GIT_PUBLICATION_VERIFIED_RAW_OWNER_VERIFIED,sealed peer aggregate; no new remote raw rehash or paired inference
B-OS,Past100,NS,697,1000,0.697,,,,,,,7.432674278513063,,,,5.504968291766941,,,,,,,,B-OS,697,69.7,7.432674278513063,5.504968291766941,SH2_GIT_PUBLICATION_VERIFIED_RAW_OWNER_VERIFIED,sealed peer aggregate; no new remote raw rehash or paired inference
N4,Past100,PS,193,200,0.965,,,,,,,1.3197504089114955,,,,9.972619814276696,,,,,,,,N4,193,96.5,1.3197504089114955,9.972619814276696,SH2_GIT_PUBLICATION_VERIFIED_RAW_OWNER_VERIFIED,sealed peer aggregate; no new remote raw rehash or paired inference
B-OS,Past100,PS,191,200,0.955,,,,,,,1.081097199114447,,,,9.682975612133742,,,,,,,,B-OS,191,95.5,1.081097199114447,9.682975612133742,SH2_GIT_PUBLICATION_VERIFIED_RAW_OWNER_VERIFIED,sealed peer aggregate; no new remote raw rehash or paired inference
N4,Past100,RS,100,100,1.0,,,,,,,0.027742637576302513,,,,13.628888692855835,,,,,,,,N4,100,100.0,0.027742637576302513,13.628888692855835,SH2_GIT_PUBLICATION_VERIFIED_RAW_OWNER_VERIFIED,sealed peer aggregate; no new remote raw rehash or paired inference
B-OS,Past100,RS,100,100,1.0,,,,,,,0.022505554567906073,,,,13.197545928955078,,,,,,,,B-OS,100,100.0,0.022505554567906073,13.197545928955078,SH2_GIT_PUBLICATION_VERIFIED_RAW_OWNER_VERIFIED,sealed peer aggregate; no new remote raw rehash or paired inference
