comparison,panel,metric,denominator,before_n,after_n,loss_n,recovery_n,delta_pp,quantity,mean,median,p90,max,positive_n,equal_n,negative_n
A0_to_A-OS,Current100,NS,1000,682,688,7,13,0.6,new_nll_delta,-0.15245578837580978,-0.08801794052124023,0.3415063858032227,2.667755126953125,399,0,601
A0_to_A-OS,Current100,NS,1000,682,688,7,13,0.6,true_nll_delta,-0.10126010992843658,-0.03965318202972412,0.3899749279022217,4.907992839813232,443,0,557
A0_to_A-OS,Current100,NS,1000,682,688,7,13,0.6,desired_margin_delta,-0.05119567844737321,-0.04359889030456543,0.554755818843842,3.4664669036865234,450,0,550
A0_to_A-OS,Current100,PS,200,188,185,3,0,-1.5,new_nll_delta,0.029786027321242727,0.01046137185767293,0.19972552955150602,2.2529525756835938,124,0,76
A0_to_A-OS,Current100,PS,200,188,185,3,0,-1.5,true_nll_delta,-0.15052725437330083,-0.08427286148071289,0.21509652137756338,1.5941247940063477,79,0,121
A0_to_A-OS,Current100,PS,200,188,185,3,0,-1.5,desired_margin_delta,-0.18031328169454355,-0.10040658712387085,0.2664719671010971,1.9996479116380215,69,0,131
A0_to_A-OS,Current100,RS,100,97,97,0,0,0.0,new_nll_delta,0.02677212475849956,0.007988054305315018,0.07387534454464924,0.7496762275695801,88,0,12
A0_to_A-OS,Current100,RS,100,97,97,0,0,0.0,true_nll_delta,-0.5351416166871786,-0.43239688873291016,0.13013391494750998,1.3897857666015625,21,0,79
A0_to_A-OS,Current100,RS,100,97,97,0,0,0.0,desired_margin_delta,-0.5619137414456782,-0.45881037693470716,0.10978352949023253,1.4368769004940987,18,0,82
A0_to_A-OS,Fixed100,NS,1000,687,686,8,7,-0.1,new_nll_delta,-0.13943222122453153,-0.0734400749206543,0.33920879960060124,4.554009437561035,386,0,614
A0_to_A-OS,Fixed100,NS,1000,687,686,8,7,-0.1,true_nll_delta,-0.07579157849168405,-0.03719758987426758,0.4005532264709474,4.419526100158691,445,0,555
A0_to_A-OS,Fixed100,NS,1000,687,686,8,7,-0.1,desired_margin_delta,-0.06364064273284749,-0.044184088706970215,0.4523673057556153,3.700730800628662,443,0,557
A0_to_A-OS,Fixed100,PS,200,193,195,0,2,1.0,new_nll_delta,-0.04947363675833913,0.001527292188256979,0.1535322397947311,1.4212675094604492,116,0,84
A0_to_A-OS,Fixed100,PS,200,193,195,0,2,1.0,true_nll_delta,-0.10481945484876633,-0.13347959518432617,0.35078763961791964,3.2292327880859375,70,0,130
A0_to_A-OS,Fixed100,PS,200,193,195,0,2,1.0,desired_margin_delta,-0.0553458180904272,-0.110068678855896,0.41594721078872676,6.7657976150512695,71,0,129
A0_to_A-OS,Fixed100,RS,100,100,99,1,0,-1.0,new_nll_delta,0.006219846589956433,0.0009561153710819781,0.046131491754204064,1.5418834686279297,82,0,18
A0_to_A-OS,Fixed100,RS,100,100,99,1,0,-1.0,true_nll_delta,-0.41537939667701723,-0.3519754409790039,0.4236805438995366,2.1275339126586914,16,0,84
A0_to_A-OS,Fixed100,RS,100,100,99,1,0,-1.0,desired_margin_delta,-0.4215992432669736,-0.38917993678478524,0.4116151796537452,3.5505257761105895,16,0,84
