rhs,iteration,recursive_relative_residual
a,1,0.6473466130024035
a,2,0.5755138802454375
a,3,0.34382324341766574
a,4,0.26477194050702213
a,5,0.20791381236172696
a,6,0.22986465366414263
a,7,0.40899464965161586
a,8,0.2613909718794418
a,9,0.42615537641796114
a,10,0.3022615136537101
a,11,0.18907942840841038
a,12,0.12145116430615557
a,13,0.31819199887877586
a,14,0.14824340306005807
a,15,0.15961823195804165
a,16,0.13862337252167795
a,17,0.4183570125845733
a,18,0.08183060398125362
a,19,0.11733787103660735
a,20,0.11007933413414549
u,1,0.9360330744570884
u,2,2.511908831343637
u,3,1.65938095497029
u,4,1.6282433647258918
u,5,1.408899944437341
u,6,1.393217509053849
u,7,1.0823685811256931
u,8,1.0678935669579013
u,9,0.8527292641238629
u,10,0.8714993768211855
u,11,2.4917929988569396
u,12,0.6751098182703295
u,13,1.1309075153772548
u,14,0.9810944392023394
u,15,1.6107499833919865
u,16,0.8773277699236969
u,17,0.6473613528047818
u,18,1.9819153109965004
u,19,1.8148341761250917
u,20,0.6000413142828168
