rhs,absolute_residual,iterations,matvec_calls,precondition_calls,relative_residual,rhs_norm,status
a,0.9794531204664583,20,21,21,0.11007934695502454,8.897701045289054,APPROXIMATE_PCG_NONCONVERGENCE
u,401.66799660265673,20,21,21,0.6000437512054755,669.3978493996714,APPROXIMATE_PCG_NONCONVERGENCE
