role,field,residual,bound,rule,state
Base,risk,0.0,9.5367431640625e-07,"8*eps_FP32*max(1,sum_abs_weighted_terms)",A0
Base,nll,0.0,5.611452252196614e-06,"8*eps_FP32*max(1,sum_abs_weighted_terms)",A0
BaseAudit,risk,0.0,9.5367431640625e-07,"8*eps_FP32*max(1,sum_abs_weighted_terms)",A0
BaseAudit,nll,0.0,5.540343863685848e-06,"8*eps_FP32*max(1,sum_abs_weighted_terms)",A0
Current,risk,3.637978807091713e-12,0.0045082480646669865,"8*eps_FP32*max(1,sum_abs_weighted_terms)",A0
Current,nll,2.7755575615628914e-16,9.5367431640625e-07,"8*eps_FP32*max(1,sum_abs_weighted_terms)",A0
Past,risk,6.938893903907228e-18,9.5367431640625e-07,"8*eps_FP32*max(1,sum_abs_weighted_terms)",A0
Past,nll,0.0,9.5367431640625e-07,"8*eps_FP32*max(1,sum_abs_weighted_terms)",A0
PastAudit,risk,1.734723475976807e-17,9.5367431640625e-07,"8*eps_FP32*max(1,sum_abs_weighted_terms)",A0
PastAudit,nll,0.0,9.5367431640625e-07,"8*eps_FP32*max(1,sum_abs_weighted_terms)",A0
Base,risk,0.0,9.5367431640625e-07,"8*eps_FP32*max(1,sum_abs_weighted_terms)",A-OS
Base,nll,0.0,5.359597253118409e-06,"8*eps_FP32*max(1,sum_abs_weighted_terms)",A-OS
BaseAudit,risk,0.0,9.5367431640625e-07,"8*eps_FP32*max(1,sum_abs_weighted_terms)",A-OS
BaseAudit,nll,0.0,5.4640454436594155e-06,"8*eps_FP32*max(1,sum_abs_weighted_terms)",A-OS
Current,risk,1.1102230246251565e-16,9.5367431640625e-07,"8*eps_FP32*max(1,sum_abs_weighted_terms)",A-OS
Current,nll,1.1102230246251565e-16,9.5367431640625e-07,"8*eps_FP32*max(1,sum_abs_weighted_terms)",A-OS
Past,risk,5.204170427930421e-18,9.5367431640625e-07,"8*eps_FP32*max(1,sum_abs_weighted_terms)",A-OS
Past,nll,0.0,9.5367431640625e-07,"8*eps_FP32*max(1,sum_abs_weighted_terms)",A-OS
PastAudit,risk,0.0,9.5367431640625e-07,"8*eps_FP32*max(1,sum_abs_weighted_terms)",A-OS
PastAudit,nll,0.0,9.5367431640625e-07,"8*eps_FP32*max(1,sum_abs_weighted_terms)",A-OS
