panel,endpoint,metric,field,count,mean,median,p90,max
current,W0,RS,new_nll,100,10.954057842493057,11.17305612564087,15.085000705718997,22.305185317993164
current,W0,RS,true_nll,100,4.872375254426151,4.284569501876831,10.396707248687749,16.087825775146484
current,W0,RS,desired_margin,100,-6.081682588066906,-5.7876967787742615,0.023318004608157153,3.6313748359680176
current,W0,PS,new_nll,200,9.887660982608795,9.942145347595215,13.41200475692749,17.81966209411621
current,W0,PS,true_nll,200,4.715174675993621,4.300472736358643,10.039189052581786,14.000251770019531
current,W0,PS,desired_margin,200,-5.172486306615173,-4.600452780723572,0.19129943847656228,5.983369827270508
current,W0,NS,new_nll,1000,10.790036700978876,10.524291515350342,15.878274726867676,22.766624450683594
current,W0,NS,true_nll,1000,5.071620850933832,4.604413032531738,10.726613330841065,17.21577262878418
current,W0,NS,desired_margin,1000,5.718415850045043,5.570235311985016,11.765284098684788,21.20965636521578
current,ENTRY,RS,new_nll,100,9.359709929525852,9.374643802642822,14.595685863494877,18.139842987060547
current,ENTRY,RS,true_nll,100,4.649037769120187,4.097967863082886,9.070108699798586,14.225842475891113
current,ENTRY,RS,desired_margin,100,-4.710672160405665,-4.870827674865723,1.218489074707037,4.984104096889496
current,ENTRY,PS,new_nll,200,9.045167098045349,8.999000549316406,13.18447856903076,20.466482162475586
current,ENTRY,PS,true_nll,200,4.529858049349859,4.265232563018799,8.873765754699706,15.090458869934082
current,ENTRY,PS,desired_margin,200,-4.51530904869549,-4.433953046798706,0.8379182815551758,5.536441922187805
current,ENTRY,NS,new_nll,1000,9.380031179830839,9.216883659362793,13.925552082061769,21.136295318603516
current,ENTRY,NS,true_nll,1000,4.988044724141248,4.646107912063599,9.969994640350341,17.66613006591797
current,ENTRY,NS,desired_margin,1000,4.391986455689592,4.2983033657073975,10.510395419597627,20.07652729842812
current,NATIVE,RS,new_nll,100,0.0015474407577858074,0.0010864788782782853,0.0032181278569623837,0.008684721775352955
current,NATIVE,RS,true_nll,100,14.562837409973145,14.748823642730713,19.038293075561526,25.317733764648438
current,NATIVE,RS,desired_margin,100,14.561289969215359,14.746816233964637,19.03699219161063,25.315730314934626
current,NATIVE,PS,new_nll,200,1.6274989276172709,0.18516704440116882,5.218698740005492,18.100248336791992
current,NATIVE,PS,true_nll,200,10.351868263483048,10.035172939300537,15.281834602355957,20.892677307128906
current,NATIVE,PS,desired_margin,200,8.724369335865777,8.207013115286827,14.665067570481915,19.06252079003025
current,NATIVE,NS,new_nll,1000,8.915716679057107,8.856709480285645,13.496542930603027,20.9392032623291
current,NATIVE,NS,true_nll,1000,5.210955196606694,4.781385660171509,10.10270290374756,17.637374877929688
current,NATIVE,NS,desired_margin,1000,3.7047614824504125,3.749096393585205,9.491440391540529,19.87311440706253
historical,W0,RS,new_nll,128,10.746131273452193,10.484431266784668,15.885619831085204,21.025287628173828
historical,W0,RS,true_nll,128,4.630959803442238,4.144327640533447,9.360862064361571,15.337616920471191
historical,W0,RS,desired_margin,128,-6.115171470009955,-6.524173021316528,-0.4298004150390644,4.169693470001221
historical,W0,PS,new_nll,256,9.847931899130344,9.800085544586182,14.232470512390137,17.983966827392578
historical,W0,PS,true_nll,256,4.928204390424071,4.664414167404175,9.505198001861572,14.61281967163086
historical,W0,PS,desired_margin,256,-4.9197275087062735,-4.716911792755127,-0.10595130920410156,6.578112602233887
historical,W0,NS,new_nll,1280,10.659304017061368,10.728804588317871,15.505421924591065,21.389562606811523
historical,W0,NS,true_nll,1280,5.395980200551458,4.879576206207275,11.107058334350587,20.097427368164062
historical,W0,NS,desired_margin,1280,5.26332381650991,5.461524605751038,11.768965260684498,19.12648835685104
historical,ENTRY,RS,new_nll,128,0.00479201297275722,0.0010776075650937855,0.004684464260935783,0.35023313760757446
historical,ENTRY,RS,true_nll,128,14.500039007514715,14.55954647064209,19.263319587707517,24.348997116088867
historical,ENTRY,RS,desired_margin,128,14.495246994541958,14.556492345698643,19.259538558591156,24.348762539724703
historical,ENTRY,PS,new_nll,256,1.7771559022818337,0.4494299292564392,5.2257912158966064,12.91700267791748
historical,ENTRY,PS,true_nll,256,9.969571207620902,9.981886863708496,15.190871715545654,19.496252059936523
historical,ENTRY,PS,desired_margin,256,8.192415305339068,8.57613116770517,13.446474770084023,19.47245434857905
historical,ENTRY,NS,new_nll,1280,9.172460825657026,9.143882274627686,14.031677436828616,21.436613082885742
historical,ENTRY,NS,true_nll,1280,5.376851207216168,4.852736711502075,10.651641559600831,17.17999267578125
historical,ENTRY,NS,desired_margin,1280,3.795609618440858,3.90240478515625,9.974165297579024,18.408815890550613
historical,NATIVE,RS,new_nll,128,0.0074885901657353315,0.001078262401279062,0.00506087178364396,0.6652366518974304
historical,NATIVE,RS,true_nll,128,14.485749768093228,14.503190040588379,19.135821533203124,24.315261840820312
historical,NATIVE,RS,desired_margin,128,14.478261177927493,14.502104775194312,19.131955081480555,24.314937405782985
historical,NATIVE,PS,new_nll,256,1.7639767980700753,0.4214376211166382,5.3569934368133545,13.094413757324219
historical,NATIVE,PS,true_nll,256,9.95841271453537,10.0408034324646,15.115000247955322,19.131969451904297
historical,NATIVE,PS,desired_margin,256,8.194435916465295,8.672807037830353,13.463117222534493,19.109920635819435
historical,NATIVE,NS,new_nll,1280,9.076786905402333,9.036783695220947,13.949188613891604,21.125965118408203
historical,NATIVE,NS,true_nll,1280,5.401611001754736,4.888808250427246,10.647509098052982,17.109539031982422
historical,NATIVE,NS,desired_margin,1280,3.675175903647596,3.793572425842285,9.767537331581119,18.70834967494011
