family,batch,reported_host,reported_archive_path,recorded_file_sha256,file_bytes,local_path_present_at_design,tensor_payload_rehashed_this_design,historical_validation,provenance
BASE_ALPHAEDIT,1,server2,/mnt/raid5/janghj/ODE-edit/local/checkpoint-archives/server4-migration-20260911-v1/new177-v1/payload/local/fixed10k-native-baselines/attempt-v1/output/main-cell-1/B001/W-method-state.pt,2874b76d98ae139904c4d70525af582b3fe2a588604cb7609b7454bd737fb95e,5284846581,False,False,NOT_PERFORMED,migration-manifest-2026-09-11
BASE_ALPHAEDIT,5,server2,/mnt/raid5/janghj/ODE-edit/local/checkpoint-archives/server4-migration-20260911-v1/new177-v1/payload/local/fixed10k-native-baselines/attempt-v1/output/main-cell-1/B005/W-method-state.pt,3062fa9b6810e785087f539194571b3cd7cebbf640cbe34857eb01e6c42e9e05,5284847733,False,False,NOT_PERFORMED,migration-manifest-2026-09-11
BASE_ALPHAEDIT,10,server2,/mnt/raid5/janghj/ODE-edit/local/checkpoint-archives/server4-migration-20260911-v1/new177-v1/payload/local/fixed10k-native-baselines/attempt-v1/output/main-cell-1/B010/W-method-state.pt,c47bab2f4a503eface2b471949d40d323133ac25ac56a4398486ace6af44d5aa,5284849269,False,False,NOT_PERFORMED,migration-manifest-2026-09-11
BASE_ALPHAEDIT,20,server2,/mnt/raid5/janghj/ODE-edit/local/checkpoint-archives/server4-migration-20260911-v1/new177-v1/payload/local/fixed10k-native-baselines/attempt-v1/output/main-cell-1/B020/W-method-state.pt,a7f338ced5df28a428129703e07386eec5d038e33d63fa1b885950ef81a6803b,5284852213,False,False,NOT_PERFORMED,migration-manifest-2026-09-11
BASE_ALPHAEDIT,30,server2,/mnt/raid5/janghj/ODE-edit/local/checkpoint-archives/server4-migration-20260911-v1/new177-v1/payload/local/fixed10k-native-baselines/attempt-v1/output/main-cell-1/B030/W-method-state.pt,7d7b048f0bfbdbe7c579acb2fdca2b3e8653e1eafa00f1b7f5b30f323d2a327c,5284855221,False,False,NOT_PERFORMED,migration-manifest-2026-09-11
BASE_ALPHAEDIT,40,server2,/mnt/raid5/janghj/ODE-edit/local/checkpoint-archives/server4-migration-20260911-v1/new177-v1/payload/local/fixed10k-native-baselines/attempt-v1/output/main-cell-1/B040/W-method-state.pt,8baf0839b3ca31f9a2763d588b7d0289521c0e89231a98d25beb35bd598ead3f,5284858229,False,False,NOT_PERFORMED,migration-manifest-2026-09-11
BASE_ALPHAEDIT,50,server2,/mnt/raid5/janghj/ODE-edit/local/checkpoint-archives/server4-migration-20260911-v1/new177-v1/payload/local/fixed10k-native-baselines/attempt-v1/output/main-cell-1/B050/W-method-state.pt,afee506d0070cfa277281d41f8bac8fd0c614c477dd4e13406844c3c8263647c,5284861173,False,False,NOT_PERFORMED,migration-manifest-2026-09-11
BASE_ALPHAEDIT,60,server2,/mnt/raid5/janghj/ODE-edit/local/checkpoint-archives/server4-migration-20260911-v1/new177-v1/payload/local/fixed10k-native-baselines/attempt-v1/output/main-cell-1/B060/W-method-state.pt,23a475df19997c1c46b07750d86ac119e3bc2beabc544625c19300a7ee797186,5284864181,False,False,NOT_PERFORMED,migration-manifest-2026-09-11
BASE_ALPHAEDIT,70,server2,/mnt/raid5/janghj/ODE-edit/local/checkpoint-archives/server4-migration-20260911-v1/new177-v1/payload/local/fixed10k-native-baselines/attempt-v1/output/main-cell-1/B070/W-method-state.pt,3df77988b664964ed6d9d58314846397704f4b54bfa27df5c952ac63ad1ec665,5284867189,False,False,NOT_PERFORMED,migration-manifest-2026-09-11
BASE_ALPHAEDIT,80,server2,/mnt/raid5/janghj/ODE-edit/local/checkpoint-archives/server4-migration-20260911-v1/new177-v1/payload/local/fixed10k-native-baselines/attempt-v1/output/main-cell-1/B080/W-method-state.pt,fcabe44da95e63320c7177498f77325181a1cbc6318d780c2b273f8f03da2474,5284870197,False,False,NOT_PERFORMED,migration-manifest-2026-09-11
