past_anchor,past_cohort,future_end,future_cohort,competitor_exposure_sum,target_exposure_sum,cohort_requests,future_requests,tie_rank,past_cohort_index,future_cohort_index
20,U010_020,60,U050_060,3550,3248,1000,1000,18d84526d0ab3932c40aa7ad2cd0ceb414ac2dc76c5e76ca2a14304f663dd453,3,7
20,U010_020,70,U060_070,3677,3191,1000,1000,fa1513de7a8f32c9c19f5700d20d91d439230e62c138cc6f70241cb21031d891,3,8
20,U010_020,80,U070_080,3617,3440,1000,1000,1764d58381f94aa1edc9264ae091fd3070aa23e0fb3551473c313d4506a4dd14,3,9
20,U010_020,90,U080_090,3519,3261,1000,1000,a6742969c3dc35defde59b3241617bc82aa09d8563640c2dffd7e9094051136f,3,10
30,U020_030,60,U050_060,3596,3342,1000,1000,dae4a8739fd4d10fe21956f50ebac8aacdfd38fec7c132b16039d77f2da11d9d,4,7
30,U020_030,70,U060_070,3867,3416,1000,1000,88202235c96ed8336225bc4e48b77f2d3824f03cc3f8c2ef061f30ed13b31467,4,8
30,U020_030,80,U070_080,3991,3485,1000,1000,915c1138402d8dcfc27207be6fc208469de37880e2dd2280202516d515c96046,4,9
30,U020_030,90,U080_090,3726,3280,1000,1000,9b6a6591fa3d95d7282fc9d36e68dd553402dd7d4834819b270618a6e651e9b3,4,10
40,U030_040,60,U050_060,3459,3198,1000,1000,6e73373eea68d097ce4196a26da25a71d57773ba51ca8bab849a776dd5a44677,5,7
40,U030_040,70,U060_070,3778,3315,1000,1000,60625a1fca18856effd32d6c201bf784052d334cea84878b0f3ae40778d20063,5,8
40,U030_040,80,U070_080,3782,3495,1000,1000,ee34b5f7583e2d7558363c20ba6c93ecb29886c7c2490c87126d62961f32d59c,5,9
40,U030_040,90,U080_090,3609,3347,1000,1000,520c9e08653d5b48e7716dfb76911c573ab182d96995b151838f5b6539860117,5,10
50,U040_050,60,U050_060,3526,3372,1000,1000,e3e0159c7e30484f812768e0b6ce1a37f4e520b3dbb91bb20479c754ac293707,6,7
50,U040_050,70,U060_070,3801,3418,1000,1000,cd6eb6af96dde3ae478ba462da860b2494f848284755ddfb5e4727f2a4330589,6,8
50,U040_050,80,U070_080,3841,3557,1000,1000,f00cf834f211f150af710cad70dc3280bd59e464864ad820d87400c8b7fa9b08,6,9
50,U040_050,90,U080_090,3654,3364,1000,1000,c9e597c821cc3c9fe93c65fb9deb755728d5e7a21353e64956f016ccfb837cd1,6,10
