pair_id,family,selection,eval_t,request_count,prompts_per_request,past_anchor,past_cohort,future_end,future_cohort,competitor_exposure_sum,target_exposure_sum,cohort_requests,future_requests,tie_rank,past_cohort_index,future_cohort_index,M_state,minus_U_state,minus_V_state,minus_UV_state
BASE_ALPHAEDIT__U020__V090__T100,BASE_ALPHAEDIT,low_competitor_exposure,100,1000,3,20,U010_020,90,U080_090,3519,3261,1000,1000,a6742969c3dc35defde59b3241617bc82aa09d8563640c2dffd7e9094051136f,3,10,BASE_ALPHAEDIT__fff,BASE_ALPHAEDIT__ff7,BASE_ALPHAEDIT__bff,BASE_ALPHAEDIT__bf7
BASE_ALPHAEDIT__U020__V070__T100,BASE_ALPHAEDIT,high_competitor_exposure,100,1000,3,20,U010_020,70,U060_070,3677,3191,1000,1000,fa1513de7a8f32c9c19f5700d20d91d439230e62c138cc6f70241cb21031d891,3,8,BASE_ALPHAEDIT__fff,BASE_ALPHAEDIT__ff7,BASE_ALPHAEDIT__eff,BASE_ALPHAEDIT__ef7
BASE_MEMIT__U020__V090__T100,BASE_MEMIT,low_competitor_exposure,100,1000,3,20,U010_020,90,U080_090,3519,3261,1000,1000,a6742969c3dc35defde59b3241617bc82aa09d8563640c2dffd7e9094051136f,3,10,BASE_MEMIT__fff,BASE_MEMIT__ff7,BASE_MEMIT__bff,BASE_MEMIT__bf7
BASE_MEMIT__U020__V070__T100,BASE_MEMIT,high_competitor_exposure,100,1000,3,20,U010_020,70,U060_070,3677,3191,1000,1000,fa1513de7a8f32c9c19f5700d20d91d439230e62c138cc6f70241cb21031d891,3,8,BASE_MEMIT__fff,BASE_MEMIT__ff7,BASE_MEMIT__eff,BASE_MEMIT__ef7
BASE_ALPHAEDIT__U030__V060__T100,BASE_ALPHAEDIT,low_competitor_exposure,100,1000,3,30,U020_030,60,U050_060,3596,3342,1000,1000,dae4a8739fd4d10fe21956f50ebac8aacdfd38fec7c132b16039d77f2da11d9d,4,7,BASE_ALPHAEDIT__fff,BASE_ALPHAEDIT__fef,BASE_ALPHAEDIT__f7f,BASE_ALPHAEDIT__f6f
BASE_ALPHAEDIT__U030__V080__T100,BASE_ALPHAEDIT,high_competitor_exposure,100,1000,3,30,U020_030,80,U070_080,3991,3485,1000,1000,915c1138402d8dcfc27207be6fc208469de37880e2dd2280202516d515c96046,4,9,BASE_ALPHAEDIT__fff,BASE_ALPHAEDIT__fef,BASE_ALPHAEDIT__dff,BASE_ALPHAEDIT__def
BASE_MEMIT__U030__V060__T100,BASE_MEMIT,low_competitor_exposure,100,1000,3,30,U020_030,60,U050_060,3596,3342,1000,1000,dae4a8739fd4d10fe21956f50ebac8aacdfd38fec7c132b16039d77f2da11d9d,4,7,BASE_MEMIT__fff,BASE_MEMIT__fef,BASE_MEMIT__f7f,BASE_MEMIT__f6f
BASE_MEMIT__U030__V080__T100,BASE_MEMIT,high_competitor_exposure,100,1000,3,30,U020_030,80,U070_080,3991,3485,1000,1000,915c1138402d8dcfc27207be6fc208469de37880e2dd2280202516d515c96046,4,9,BASE_MEMIT__fff,BASE_MEMIT__fef,BASE_MEMIT__dff,BASE_MEMIT__def
BASE_ALPHAEDIT__U040__V060__T100,BASE_ALPHAEDIT,low_competitor_exposure,100,1000,3,40,U030_040,60,U050_060,3459,3198,1000,1000,6e73373eea68d097ce4196a26da25a71d57773ba51ca8bab849a776dd5a44677,5,7,BASE_ALPHAEDIT__fff,BASE_ALPHAEDIT__fdf,BASE_ALPHAEDIT__f7f,BASE_ALPHAEDIT__f5f
BASE_ALPHAEDIT__U040__V080__T100,BASE_ALPHAEDIT,high_competitor_exposure,100,1000,3,40,U030_040,80,U070_080,3782,3495,1000,1000,ee34b5f7583e2d7558363c20ba6c93ecb29886c7c2490c87126d62961f32d59c,5,9,BASE_ALPHAEDIT__fff,BASE_ALPHAEDIT__fdf,BASE_ALPHAEDIT__dff,BASE_ALPHAEDIT__ddf
BASE_MEMIT__U040__V060__T100,BASE_MEMIT,low_competitor_exposure,100,1000,3,40,U030_040,60,U050_060,3459,3198,1000,1000,6e73373eea68d097ce4196a26da25a71d57773ba51ca8bab849a776dd5a44677,5,7,BASE_MEMIT__fff,BASE_MEMIT__fdf,BASE_MEMIT__f7f,BASE_MEMIT__f5f
BASE_MEMIT__U040__V080__T100,BASE_MEMIT,high_competitor_exposure,100,1000,3,40,U030_040,80,U070_080,3782,3495,1000,1000,ee34b5f7583e2d7558363c20ba6c93ecb29886c7c2490c87126d62961f32d59c,5,9,BASE_MEMIT__fff,BASE_MEMIT__fdf,BASE_MEMIT__dff,BASE_MEMIT__ddf
BASE_ALPHAEDIT__U050__V060__T100,BASE_ALPHAEDIT,low_competitor_exposure,100,1000,3,50,U040_050,60,U050_060,3526,3372,1000,1000,e3e0159c7e30484f812768e0b6ce1a37f4e520b3dbb91bb20479c754ac293707,6,7,BASE_ALPHAEDIT__fff,BASE_ALPHAEDIT__fbf,BASE_ALPHAEDIT__f7f,BASE_ALPHAEDIT__f3f
BASE_ALPHAEDIT__U050__V080__T100,BASE_ALPHAEDIT,high_competitor_exposure,100,1000,3,50,U040_050,80,U070_080,3841,3557,1000,1000,f00cf834f211f150af710cad70dc3280bd59e464864ad820d87400c8b7fa9b08,6,9,BASE_ALPHAEDIT__fff,BASE_ALPHAEDIT__fbf,BASE_ALPHAEDIT__dff,BASE_ALPHAEDIT__dbf
BASE_MEMIT__U050__V060__T100,BASE_MEMIT,low_competitor_exposure,100,1000,3,50,U040_050,60,U050_060,3526,3372,1000,1000,e3e0159c7e30484f812768e0b6ce1a37f4e520b3dbb91bb20479c754ac293707,6,7,BASE_MEMIT__fff,BASE_MEMIT__fbf,BASE_MEMIT__f7f,BASE_MEMIT__f3f
BASE_MEMIT__U050__V080__T100,BASE_MEMIT,high_competitor_exposure,100,1000,3,50,U040_050,80,U070_080,3841,3557,1000,1000,f00cf834f211f150af710cad70dc3280bd59e464864ad820d87400c8b7fa9b08,6,9,BASE_MEMIT__fff,BASE_MEMIT__fbf,BASE_MEMIT__dff,BASE_MEMIT__dbf
